team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,draw_reg,win_ot,lose_ot,win_pk,lose_pk
Costa Rica,1.9,Cuba,0.3,0.893,0.107,0.770,0.051,0.179,0.078,0.010,0.046,0.046
Costa Rica,1.5,Haiti,0.4,0.813,0.187,0.647,0.092,0.261,0.089,0.019,0.076,0.076
Costa Rica,0.9,Jamaica,0.5,0.634,0.366,0.430,0.200,0.370,0.081,0.043,0.123,0.123
Costa Rica,0.5,Mexico,1.0,0.352,0.648,0.198,0.454,0.347,0.042,0.082,0.111,0.111
Costa Rica,0.8,Panama,0.7,0.542,0.458,0.352,0.280,0.368,0.070,0.058,0.120,0.120
Costa Rica,1.3,Trinidad and Tobago,0.5,0.732,0.268,0.556,0.148,0.297,0.088,0.031,0.089,0.089
Costa Rica,0.6,USA,1.4,0.271,0.729,0.162,0.566,0.273,0.033,0.086,0.077,0.077
Cuba,0.3,Costa Rica,1.9,0.107,0.893,0.051,0.770,0.179,0.010,0.078,0.046,0.046
Cuba,0.6,Haiti,0.9,0.387,0.613,0.227,0.422,0.351,0.048,0.079,0.112,0.112
Cuba,0.4,Jamaica,1.3,0.214,0.786,0.105,0.608,0.286,0.022,0.091,0.087,0.087
Cuba,0.2,Mexico,2.6,0.046,0.954,0.021,0.877,0.103,0.003,0.055,0.022,0.022
Cuba,0.3,Panama,1.8,0.133,0.867,0.065,0.728,0.207,0.013,0.083,0.056,0.056
Cuba,0.5,Trinidad and Tobago,1.3,0.269,0.731,0.152,0.558,0.290,0.031,0.087,0.086,0.086
Cuba,0.3,USA,3.7,0.017,0.983,0.009,0.947,0.044,0.001,0.029,0.007,0.007
Haiti,0.4,Costa Rica,1.5,0.187,0.813,0.092,0.647,0.261,0.019,0.089,0.076,0.076
Haiti,0.9,Cuba,0.6,0.613,0.387,0.422,0.227,0.351,0.079,0.048,0.112,0.112
Haiti,0.4,Jamaica,1.0,0.314,0.686,0.161,0.482,0.357,0.035,0.087,0.118,0.118
Haiti,0.3,Mexico,1.9,0.098,0.902,0.044,0.778,0.179,0.008,0.078,0.046,0.046
Haiti,0.4,Panama,1.3,0.221,0.779,0.110,0.602,0.288,0.023,0.090,0.087,0.087
Haiti,0.6,Trinidad and Tobago,1.0,0.383,0.617,0.226,0.428,0.346,0.047,0.079,0.110,0.110
Haiti,0.3,USA,2.7,0.048,0.952,0.025,0.879,0.097,0.004,0.054,0.020,0.020
Jamaica,0.5,Costa Rica,0.9,0.366,0.634,0.200,0.430,0.370,0.043,0.081,0.123,0.123
Jamaica,1.3,Cuba,0.4,0.786,0.214,0.608,0.105,0.286,0.091,0.022,0.087,0.087
Jamaica,1.0,Haiti,0.4,0.686,0.314,0.482,0.161,0.357,0.087,0.035,0.118,0.118
Jamaica,0.4,Mexico,1.2,0.240,0.760,0.116,0.569,0.315,0.025,0.091,0.099,0.099
Jamaica,0.5,Panama,0.8,0.405,0.595,0.227,0.389,0.384,0.049,0.076,0.130,0.130
Jamaica,0.9,Trinidad and Tobago,0.6,0.589,0.411,0.392,0.240,0.368,0.076,0.051,0.121,0.121
Jamaica,0.4,USA,1.7,0.164,0.836,0.086,0.690,0.224,0.017,0.085,0.061,0.061
Mexico,1.0,Costa Rica,0.5,0.648,0.352,0.454,0.198,0.347,0.082,0.042,0.111,0.111
Mexico,2.6,Cuba,0.2,0.954,0.046,0.877,0.021,0.103,0.055,0.003,0.022,0.022
Mexico,1.9,Haiti,0.3,0.902,0.098,0.778,0.044,0.179,0.078,0.008,0.046,0.046
Mexico,1.2,Jamaica,0.4,0.760,0.240,0.569,0.116,0.315,0.091,0.025,0.099,0.099
Mexico,1.1,Panama,0.5,0.685,0.315,0.492,0.171,0.337,0.086,0.037,0.107,0.107
Mexico,1.7,Trinidad and Tobago,0.4,0.848,0.152,0.701,0.076,0.223,0.085,0.015,0.061,0.061
Mexico,0.8,USA,1.0,0.432,0.568,0.281,0.398,0.321,0.056,0.073,0.096,0.096
Panama,0.7,Costa Rica,0.8,0.458,0.542,0.280,0.352,0.368,0.058,0.070,0.120,0.120
Panama,1.8,Cuba,0.3,0.867,0.133,0.728,0.065,0.207,0.083,0.013,0.056,0.056
Panama,1.3,Haiti,0.4,0.779,0.221,0.602,0.110,0.288,0.090,0.023,0.087,0.087
Panama,0.8,Jamaica,0.5,0.595,0.405,0.389,0.227,0.384,0.076,0.049,0.130,0.130
Panama,0.5,Mexico,1.1,0.315,0.685,0.171,0.492,0.337,0.037,0.086,0.107,0.107
Panama,1.2,Trinidad and Tobago,0.5,0.692,0.308,0.509,0.173,0.318,0.086,0.036,0.098,0.098
Panama,0.6,USA,1.5,0.234,0.766,0.135,0.607,0.257,0.027,0.087,0.072,0.072
Trinidad and Tobago,0.5,Costa Rica,1.3,0.268,0.732,0.148,0.556,0.297,0.031,0.088,0.089,0.089
Trinidad and Tobago,1.3,Cuba,0.5,0.731,0.269,0.558,0.152,0.290,0.087,0.031,0.086,0.086
Trinidad and Tobago,1.0,Haiti,0.6,0.617,0.383,0.428,0.226,0.346,0.079,0.047,0.110,0.110
Trinidad and Tobago,0.6,Jamaica,0.9,0.411,0.589,0.240,0.392,0.368,0.051,0.076,0.121,0.121
Trinidad and Tobago,0.4,Mexico,1.7,0.152,0.848,0.076,0.701,0.223,0.015,0.085,0.061,0.061
Trinidad and Tobago,0.5,Panama,1.2,0.308,0.692,0.173,0.509,0.318,0.036,0.086,0.098,0.098
Trinidad and Tobago,0.4,USA,2.4,0.087,0.913,0.048,0.815,0.137,0.008,0.068,0.030,0.030
USA,1.4,Costa Rica,0.6,0.729,0.271,0.566,0.162,0.273,0.086,0.033,0.077,0.077
USA,3.7,Cuba,0.3,0.983,0.017,0.947,0.009,0.044,0.029,0.001,0.007,0.007
USA,2.7,Haiti,0.3,0.952,0.048,0.879,0.025,0.097,0.054,0.004,0.020,0.020
USA,1.7,Jamaica,0.4,0.836,0.164,0.690,0.086,0.224,0.085,0.017,0.061,0.061
USA,1.0,Mexico,0.8,0.568,0.432,0.398,0.281,0.321,0.073,0.056,0.096,0.096
USA,1.5,Panama,0.6,0.766,0.234,0.607,0.135,0.257,0.087,0.027,0.072,0.072
USA,2.4,Trinidad and Tobago,0.4,0.913,0.087,0.815,0.048,0.137,0.068,0.008,0.030,0.030
