team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Brazil,4.3,Iran,3.3,0.642,0.358,0.566,0.296,0.139,0.046,0.033,0.030,0.030
Brazil,5.2,Italy,3.4,0.731,0.269,0.663,0.220,0.117,0.045,0.026,0.023,0.023
Brazil,5.0,Japan,2.8,0.804,0.196,0.739,0.155,0.106,0.043,0.019,0.022,0.022
Brazil,4.3,Portugal,4.0,0.540,0.460,0.468,0.392,0.140,0.043,0.040,0.029,0.029
Brazil,4.7,Russia,3.5,0.675,0.325,0.603,0.268,0.129,0.046,0.031,0.026,0.026
Brazil,7.0,Switzerland,4.5,0.777,0.223,0.722,0.187,0.092,0.040,0.021,0.015,0.015
Brazil,7.2,Tahiti,3.9,0.847,0.153,0.799,0.126,0.076,0.036,0.015,0.012,0.012
Iran,3.3,Brazil,4.3,0.358,0.642,0.296,0.566,0.139,0.033,0.046,0.030,0.030
Iran,3.6,Italy,3.1,0.583,0.417,0.501,0.344,0.155,0.046,0.037,0.036,0.036
Iran,3.5,Japan,2.5,0.669,0.331,0.584,0.262,0.154,0.048,0.031,0.038,0.038
Iran,3.0,Portugal,3.6,0.402,0.598,0.329,0.516,0.155,0.036,0.046,0.036,0.036
Iran,3.3,Russia,3.1,0.528,0.472,0.446,0.393,0.160,0.044,0.041,0.038,0.038
Iran,4.9,Switzerland,4.1,0.612,0.388,0.542,0.328,0.131,0.045,0.035,0.025,0.025
Iran,5.0,Tahiti,3.5,0.701,0.299,0.631,0.246,0.123,0.045,0.028,0.024,0.024
Italy,3.4,Brazil,5.2,0.269,0.731,0.220,0.663,0.117,0.026,0.045,0.023,0.023
Italy,3.1,Iran,3.6,0.417,0.583,0.344,0.501,0.155,0.037,0.046,0.036,0.036
Italy,3.6,Japan,3.0,0.600,0.400,0.518,0.328,0.155,0.046,0.036,0.036,0.036
Italy,3.1,Portugal,4.3,0.315,0.685,0.256,0.608,0.135,0.030,0.047,0.029,0.029
Italy,3.4,Russia,3.8,0.443,0.557,0.371,0.479,0.151,0.039,0.045,0.034,0.034
Italy,5.0,Switzerland,4.9,0.518,0.482,0.453,0.419,0.128,0.041,0.040,0.024,0.024
Italy,5.1,Tahiti,4.2,0.620,0.380,0.552,0.321,0.127,0.045,0.034,0.024,0.024
Japan,2.8,Brazil,5.0,0.196,0.804,0.155,0.739,0.106,0.019,0.043,0.022,0.022
Japan,2.5,Iran,3.5,0.331,0.669,0.262,0.584,0.154,0.031,0.048,0.038,0.038
Japan,3.0,Italy,3.6,0.400,0.600,0.328,0.518,0.155,0.036,0.046,0.036,0.036
Japan,2.5,Portugal,4.2,0.240,0.760,0.188,0.685,0.127,0.023,0.046,0.029,0.029
Japan,2.7,Russia,3.7,0.350,0.650,0.282,0.567,0.151,0.033,0.047,0.036,0.036
Japan,4.0,Switzerland,4.8,0.401,0.599,0.339,0.529,0.133,0.036,0.045,0.026,0.026
Japan,4.2,Tahiti,4.1,0.501,0.499,0.431,0.428,0.141,0.042,0.042,0.029,0.029
Portugal,4.0,Brazil,4.3,0.460,0.540,0.392,0.468,0.140,0.040,0.043,0.029,0.029
Portugal,3.6,Iran,3.0,0.598,0.402,0.516,0.329,0.155,0.046,0.036,0.036,0.036
Portugal,4.3,Italy,3.1,0.685,0.315,0.608,0.256,0.135,0.047,0.030,0.029,0.029
Portugal,4.2,Japan,2.5,0.760,0.240,0.685,0.188,0.127,0.046,0.023,0.029,0.029
Portugal,4.0,Russia,3.1,0.629,0.371,0.550,0.304,0.146,0.047,0.034,0.033,0.033
Portugal,5.9,Switzerland,4.0,0.726,0.274,0.662,0.228,0.109,0.044,0.026,0.020,0.020
Portugal,6.0,Tahiti,3.5,0.801,0.199,0.743,0.162,0.095,0.041,0.020,0.017,0.017
Russia,3.5,Brazil,4.7,0.325,0.675,0.268,0.603,0.129,0.031,0.046,0.026,0.026
