Round Number,Date,Location,Home Team,Away Team,Result
1,19/08/2017 18:00,Juventus Stadium,Juventus,Cagliari,3 - 0
1,19/08/2017 20:45,Stadio Marc'Antonio Bentegodi,Verona,Napoli,1 - 3
1,20/08/2017 18:00,Stadio Atleti Azzurri d'Italia,Atalanta,Roma,0 - 1
1,20/08/2017 20:45,Stadio Renato Dall'Ara,Bologna,Torino,1 - 1
1,20/08/2017 20:45,San Siro Stadium,Inter Milan,Fiorentina,3 - 0
1,20/08/2017 20:45,Stadio Olimpico,Lazio,Spal,0 - 0
1,20/08/2017 20:45,Stadio Luigi Ferraris,Sampdoria,Benevento,2 - 1
1,20/08/2017 20:45,Mapei Stadium - Città del Tricolore,Sassuolo,Genoa,0 - 0
1,20/08/2017 20:45,Stadio Friuli,Udinese,Chievo,1 - 2
1,21/08/2017 20:45,Stadio Ezio Scida,Crotone,AC Milan,0 - 3
2,26/08/2017 18:00,Stadio Luigi Ferraris,Genoa,Juventus,2 - 4
2,26/08/2017 18:00,Stadio Ciro Vigorito,Benevento,Bologna,0 - 1
2,26/08/2017 20:45,Stadio Olimpico,Roma,Inter Milan,1 - 3
2,27/08/2017 18:00,Stadio Olimpico Grande Torino,Torino,Sassuolo,3 - 0
2,27/08/2017 20:45,San Siro Stadium,AC Milan,Cagliari,2 - 1
2,27/08/2017 20:45,Stadio Marc'Antonio Bentegodi,Chievo,Lazio,1 - 2
2,27/08/2017 20:45,Stadio Ezio Scida,Crotone,Verona,0 - 0
2,27/08/2017 20:45,Stadio Artemio Franchi,Fiorentina,Sampdoria,1 - 2
2,27/08/2017 20:45,Stadio San Paolo,Napoli,Atalanta,3 - 1
2,27/08/2017 20:45,Stadio Paolo Mazza,Spal,Udinese,3 - 2
3,09/09/2017 18:00,Juventus Stadium,Juventus,Chievo,3 - 0
3,10/09/2017 12:30,San Siro Stadium,Inter Milan,Spal,2 - 0
3,10/09/2017 15:00,Stadio Atleti Azzurri d'Italia,Atalanta,Sassuolo,2 - 1
3,10/09/2017 15:00,Stadio Sant'Elia,Cagliari,Crotone,1 - 0
3,10/09/2017 15:00,Stadio Friuli,Udinese,Genoa,1 - 0
