Round Number,Date,Location,Home Team,Away Team,Result
1,18/08/2018 18:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Juventus,2 - 3
1,18/08/2018 20:30,Stadio Olimpico,Lazio,Napoli,1 - 2
1,19/08/2018 18:00,Stadio Olimpico Grande Torino,Torino,Roma,0 - 1
1,19/08/2018 20:30,Stadio Renato Dall'Ara,Bologna,Spal,0 - 1
1,19/08/2018 20:30,Stadio Carlo Castellani,Empoli,Cagliari,2 - 0
1,19/08/2018 20:30,Stadio Ennio Tardini,Parma,Udinese,2 - 2
1,19/08/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Inter,1 - 0
1,20/08/2018 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Frosinone,4 - 0
2,25/08/2018 18:00,Allianz Stadium,Juventus,Lazio,2 - 0
2,25/08/2018 20:30,Stadio San Paolo,Napoli,Milan,3 - 2
2,26/08/2018 18:00,Stadio Renato Dall'Ara,Spal,Parma,1 - 0
2,26/08/2018 20:30,Sardegna Arena,Cagliari,Sassuolo,2 - 2
2,26/08/2018 20:30,Stadio Artemio Franchi,Fiorentina,Chievoverona,6 - 1
2,26/08/2018 20:30,Stadio Olimpico Grande Torino,Frosinone,Bologna,0 - 0
2,26/08/2018 20:30,Stadio Luigi Ferraris,Genoa,Empoli,2 - 1
2,26/08/2018 20:30,Stadio Giuseppe Meazza,Inter,Torino,2 - 2
2,26/08/2018 20:30,Stadio Friuli,Udinese,Sampdoria,1 - 0
2,27/08/2018 20:30,Stadio Olimpico,Roma,Atalanta,3 - 3
3,31/08/2018 20:30,Stadio Giuseppe Meazza,Milan,Roma,2 - 1
3,01/09/2018 18:00,Stadio Renato Dall'Ara,Bologna,Inter,0 - 3
3,01/09/2018 20:30,Stadio Ennio Tardini,Parma,Juventus,1 - 2
3,02/09/2018 18:00,Stadio Artemio Franchi,Fiorentina,Udinese,1 - 0
3,02/09/2018 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Cagliari,0 - 1
3,02/09/2018 20:30,Stadio Marc'Antonio Bentegodi,Chievoverona,Empoli,0 - 0
3,02/09/2018 20:30,Stadio Olimpico,Lazio,Frosinone,1 - 0
3,02/09/2018 20:30,Stadio Luigi Ferraris,Sampdoria,Napoli,3 - 0
3,02/09/2018 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Genoa,5 - 3
3,02/09/2018 20:30,Stadio Olimpico Grande Torino,Torino,Spal,1 - 0
4,15/09/2018 15:00,Stadio Giuseppe Meazza,Inter,Parma,0 - 1
4,15/09/2018 18:00,Stadio San Paolo,Napoli,Fiorentina,1 - 0
4,15/09/2018 20:30,Stadio Benito Stirpe,Frosinone,Sampdoria,0 - 5
4,16/09/2018 12:30,Stadio Olimpico,Roma,Chievoverona,2 - 2
