Round Number,Date,Location,Home Team,Away Team,Result
1,19/09/2020 18:00,Artemio Franchi,Fiorentina,Torino,1 - 0
1,19/09/2020 20:45,Marcantonio Bentegodi,Hellas Verona,Roma,0 - 0
1,20/09/2020 12:30,Ennio Tardini,Parma,Napoli,0 - 2
1,20/09/2020 15:00,Luigi Ferraris,Genoa,Crotone,4 - 1
1,20/09/2020 18:00,Mapei Stadium,Sassuolo,Cagliari,1 - 1
1,20/09/2020 20:45,Allianz Stadium,Juventus,Sampdoria,3 - 0
1,21/09/2020 20:45,Giuseppe Meazza,Milan,Bologna,2 - 0
2,26/09/2020 15:00,Olimpico Grande Torino,Torino,Atalanta,2 - 4
2,26/09/2020 18:00,Sardegna Arena,Cagliari,Lazio,0 - 2
2,26/09/2020 18:00,Luigi Ferraris,Sampdoria,Benevento,2 - 3
2,26/09/2020 20:45,Giuseppe Meazza,Inter,Fiorentina,4 - 3
2,27/09/2020 12:30,Orogel Stadium,Spezia,Sassuolo,1 - 4
2,27/09/2020 15:00,Marcantonio Bentegodi,Hellas Verona,Udinese,1 - 0
2,27/09/2020 18:00,Diego Armando Maradona,Napoli,Genoa,6 - 0
2,27/09/2020 18:00,Ezio Scida,Crotone,Milan,0 - 2
2,27/09/2020 20:45,Olimpico,Roma,Juventus,2 - 2
2,28/09/2020 20:45,Renato Dall'Ara,Bologna,Parma,4 - 1
2,30/09/2020 18:00,Ciro Vigorito,Benevento,Inter,2 - 5
2,30/09/2020 18:00,Stadio Friuli,Udinese,Spezia,0 - 2
2,30/09/2020 20:45,Olimpico,Lazio,Atalanta,1 - 4
3,02/10/2020 20:45,Artemio Franchi,Fiorentina,Sampdoria,1 - 2
3,03/10/2020 15:00,Mapei Stadium,Sassuolo,Crotone,4 - 1
3,03/10/2020 20:45,Stadio Friuli,Udinese,Roma,0 - 1
3,04/10/2020 12:30,Gewiss Stadium,Atalanta,Cagliari,5 - 2
3,04/10/2020 15:00,Ciro Vigorito,Benevento,Bologna,1 - 0
3,04/10/2020 15:00,Olimpico,Lazio,Inter,1 - 1
3,04/10/2020 15:00,Ennio Tardini,Parma,Hellas Verona,1 - 0
3,04/10/2020 18:00,Giuseppe Meazza,Milan,Spezia,3 - 0
4,17/10/2020 15:00,Diego Armando Maradona,Napoli,Atalanta,4 - 1
4,17/10/2020 18:00,Giuseppe Meazza,Inter,Milan,1 - 2
4,17/10/2020 18:00,Luigi Ferraris,Sampdoria,Lazio,3 - 0
4,17/10/2020 20:45,Ezio Scida,Crotone,Juventus,1 - 1
4,18/10/2020 12:30,Renato Dall'Ara,Bologna,Sassuolo,3 - 4
4,18/10/2020 15:00,Orogel Stadium,Spezia,Fiorentina,2 - 2
4,18/10/2020 15:00,Olimpico Grande Torino,Torino,Cagliari,2 - 3
4,18/10/2020 18:00,Stadio Friuli,Udinese,Parma,3 - 2
4,18/10/2020 20:45,Olimpico,Roma,Benevento,5 - 2
4,19/10/2020 20:45,Marcantonio Bentegodi,Hellas Verona,Genoa,0 - 0
5,23/10/2020 20:45,Mapei Stadium,Sassuolo,Torino,3 - 3
5,24/10/2020 15:00,Gewiss Stadium,Atalanta,Sampdoria,1 - 3
5,24/10/2020 18:00,Luigi Ferraris,Genoa,Inter,0 - 2
5,25/10/2020 12:30,Sardegna Arena,Cagliari,Crotone,4 - 2
5,25/10/2020 12:30,Olimpico,Lazio,Bologna,2 - 1
5,25/10/2020 15:00,Ciro Vigorito,Benevento,Napoli,1 - 2
5,25/10/2020 15:00,Ennio Tardini,Parma,Spezia,2 - 2
5,25/10/2020 18:00,Artemio Franchi,Fiorentina,Udinese,3 - 2
5,25/10/2020 20:45,Allianz Stadium,Juventus,Hellas Verona,1 - 1
