541897,2019,french+ligue+1,177,8C3140,Metz,3170,ef2f24,Dijon FCO
541898,2019,french+ligue+1,7730,ef2f24,Nimes,166,ffe566,Lille
541899,2019,french+ligue+1,6997,ef2f24,Brest,274,011F68,Montpellier
541900,2019,french+ligue+1,176,94cbf6,Marseille,2502,C60000,Nice
541901,2019,french+ligue+1,3243,ef2f24,Stade de Reims,160,00003e,Paris Saint-Germain 
541902,2019,french+ligue+1,165,ffff00,Nantes,3335,1a1a1a,SC Amiens
541903,2019,french+ligue+1,169,ef2f24,Stade Rennes,180,0000bf,Strasbourg
541904,2019,french+ligue+1,159,00003e,Bordeaux,179,6000bf,Toulouse
541905,2019,french+ligue+1,3170,ef2f24,Dijon FCO,7868,1a1a1a,Angers
541906,2019,french+ligue+1,174,E91514,AS Monaco,159,00003e,Bordeaux
541907,2019,french+ligue+1,180,0000bf,Strasbourg,6997,ef2f24,Brest
541908,2019,french+ligue+1,167,0000bf,Lyon,176,94cbf6,Marseille
541909,2019,french+ligue+1,169,ef2f24,Stade Rennes,177,8C3140,Metz
541910,2019,french+ligue+1,179,6000bf,Toulouse,165,ffff00,Nantes
541911,2019,french+ligue+1,166,ef2f24,Lille,2502,e6e6e6,Nice
541912,2019,french+ligue+1,3335,1a1a1a,SC Amiens,7730,ef2f24,Nimes
541913,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,178,000099,Saint-Etienne
541914,2019,french+ligue+1,274,011F68,Montpellier,3243,ef2f24,Stade de Reims
541915,2019,french+ligue+1,6997,ef2f24,Brest,174,1a1a1a,AS Monaco
541916,2019,french+ligue+1,176,94cbf6,Marseille,3170,ef2f24,Dijon FCO
541917,2019,french+ligue+1,177,8C3140,Metz,166,ef2f24,Lille
541918,2019,french+ligue+1,165,ffff00,Nantes,167,0000bf,Lyon
541919,2019,french+ligue+1,7730,ef2f24,Nimes,274,011F68,Montpellier
541920,2019,french+ligue+1,7868,1a1a1a,Angers,160,ef2f24,Paris Saint-Germain 
541921,2019,french+ligue+1,159,00003e,Bordeaux,3335,000099,SC Amiens
541922,2019,french+ligue+1,178,C8142F,Saint-Etienne,169,0000bf,Stade Rennes
541923,2019,french+ligue+1,2502,C60000,Nice,180,0000bf,Strasbourg
541924,2019,french+ligue+1,3243,ef2f24,Stade de Reims,179,6000bf,Toulouse
541925,2019,french+ligue+1,180,0000bf,Strasbourg,7868,1a1a1a,Angers
541926,2019,french+ligue+1,274,011F68,Montpellier,166,ef2f24,Lille
541927,2019,french+ligue+1,6997,ef2f24,Brest,176,94cbf6,Marseille
541928,2019,french+ligue+1,160,00003e,Paris Saint-Germain ,177,8C3140,Metz
541929,2019,french+ligue+1,174,E91514,AS Monaco,165,ffff00,Nantes
541930,2019,french+ligue+1,3170,ef2f24,Dijon FCO,2502,e6e6e6,Nice
541931,2019,french+ligue+1,167,0000bf,Lyon,7730,ef2f24,Nimes
541932,2019,french+ligue+1,179,6000bf,Toulouse,178,000099,Saint-Etienne
541933,2019,french+ligue+1,3335,1a1a1a,SC Amiens,169,ef2f24,Stade Rennes
541934,2019,french+ligue+1,159,00003e,Bordeaux,3243,ef2f24,Stade de Reims
541935,2019,french+ligue+1,166,ef2f24,Lille,174,1a1a1a,AS Monaco
541936,2019,french+ligue+1,7730,ef2f24,Nimes,159,00003e,Bordeaux
541937,2019,french+ligue+1,177,8C3140,Metz,6997,ef2f24,Brest
541938,2019,french+ligue+1,169,ef2f24,Stade Rennes,167,0000bf,Lyon
541939,2019,french+ligue+1,2502,C60000,Nice,274,011F68,Montpellier
541940,2019,french+ligue+1,3243,ef2f24,Stade de Reims,165,ffff00,Nantes
541941,2019,french+ligue+1,176,94cbf6,Marseille,160,00003e,Paris Saint-Germain 
541942,2019,french+ligue+1,3170,ef2f24,Dijon FCO,3335,1a1a1a,SC Amiens
541943,2019,french+ligue+1,178,C8142F,Saint-Etienne,180,0000bf,Strasbourg
541944,2019,french+ligue+1,7868,1a1a1a,Angers,179,6000bf,Toulouse
