team_name,e_goals,opponent_name,e_goals,win,lose,tie
Australia,0.8,Brazil,1.2,0.245,0.461,0.294
Australia,2.6,Cameroon,0.3,0.859,0.031,0.110
Australia,0.8,Canada,1.5,0.203,0.529,0.268
Australia,1.2,China PR,0.7,0.480,0.216,0.304
Australia,1.8,Colombia,0.6,0.652,0.124,0.223
Australia,3.5,Costa Rica,0.5,0.913,0.022,0.065
Australia,5.7,Cote d'Ivoire,0.6,0.979,0.005,0.016
Australia,4.1,Ecuador,0.3,0.959,0.008,0.033
Australia,1.0,England,1.5,0.254,0.491,0.255
Australia,0.7,France,2.0,0.116,0.686,0.199
Australia,0.7,Germany,2.6,0.075,0.786,0.139
Australia,0.8,Japan,1.7,0.173,0.594,0.234
Australia,1.3,Korea Republic,0.9,0.448,0.271,0.282
Australia,1.9,Mexico,0.8,0.614,0.164,0.222
Australia,1.3,Netherlands,1.3,0.384,0.352,0.264
Australia,1.4,New Zealand,0.9,0.480,0.241,0.278
Australia,2.5,Nigeria,0.6,0.792,0.065,0.143
Australia,1.3,Norway,1.3,0.381,0.354,0.265
Australia,1.3,Spain,1.0,0.431,0.291,0.278
Australia,1.1,Sweden,1.8,0.236,0.532,0.231
Australia,2.1,Switzerland,1.3,0.563,0.229,0.207
Australia,5.7,Thailand,0.4,0.986,0.003,0.011
Australia,0.7,USA,2.5,0.077,0.777,0.146
Brazil,1.2,Australia,0.8,0.461,0.245,0.294
Brazil,2.0,Cameroon,0.2,0.820,0.024,0.155
Brazil,0.6,Canada,0.7,0.264,0.346,0.390
Brazil,0.9,China PR,0.4,0.485,0.139,0.376
Brazil,1.4,Colombia,0.3,0.641,0.084,0.275
Brazil,2.7,Costa Rica,0.2,0.888,0.019,0.093
Brazil,4.4,Cote d'Ivoire,0.3,0.969,0.005,0.026
Brazil,3.2,Ecuador,0.2,0.936,0.008,0.057
Brazil,0.8,England,0.8,0.325,0.319,0.355
Brazil,0.5,France,1.0,0.185,0.471,0.344
Brazil,0.5,Germany,1.3,0.148,0.567,0.285
Brazil,0.6,Japan,0.9,0.245,0.395,0.360
Brazil,1.0,Korea Republic,0.5,0.477,0.174,0.349
Brazil,1.4,Mexico,0.4,0.624,0.109,0.267
Brazil,1.0,Netherlands,0.6,0.440,0.226,0.334
Brazil,1.0,New Zealand,0.4,0.502,0.156,0.343
Brazil,1.9,Nigeria,0.3,0.770,0.048,0.182
Brazil,1.0,Norway,0.6,0.436,0.227,0.337
Brazil,1.0,Spain,0.5,0.467,0.186,0.346
Brazil,0.9,Sweden,0.9,0.321,0.349,0.330
Brazil,1.6,Switzerland,0.7,0.610,0.148,0.242
Brazil,4.4,Thailand,0.2,0.976,0.003,0.021
Brazil,0.5,USA,1.3,0.148,0.558,0.294
Cameroon,0.3,Australia,2.6,0.031,0.859,0.110
Cameroon,0.2,Brazil,2.0,0.024,0.820,0.155
Cameroon,0.2,Canada,2.4,0.017,0.868,0.115
Cameroon,0.2,China PR,1.1,0.080,0.594,0.326
Cameroon,0.4,Colombia,1.0,0.132,0.510,0.358
Cameroon,0.7,Costa Rica,0.7,0.306,0.319,0.375
Cameroon,1.2,Cote d'Ivoire,0.9,0.416,0.285,0.299
Cameroon,0.8,Ecuador,0.5,0.412,0.203,0.385
Cameroon,0.2,England,2.5,0.020,0.873,0.107
Cameroon,0.1,France,3.2,0.006,0.942,0.052
Cameroon,0.1,Germany,4.2,0.003,0.976,0.021
Cameroon,0.2,Japan,2.8,0.011,0.911,0.077
Cameroon,0.3,Korea Republic,1.5,0.061,0.698,0.241
Cameroon,0.4,Mexico,1.4,0.103,0.617,0.280
Cameroon,0.3,Netherlands,2.0,0.040,0.798,0.162
Cameroon,0.3,New Zealand,1.4,0.071,0.665,0.264
Cameroon,0.5,Nigeria,0.9,0.196,0.436,0.368
Cameroon,0.3,Norway,2.0,0.040,0.798,0.162
Cameroon,0.3,Spain,1.7,0.055,0.725,0.219
Cameroon,0.2,Sweden,2.9,0.015,0.907,0.077
Cameroon,0.4,Switzerland,2.1,0.065,0.765,0.170
Cameroon,1.2,Thailand,0.6,0.493,0.193,0.314
