Season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,Regular Season,1,Fri,2020-09-11,19:45,Watford,1–0,Middlesbrough,,Vicarage Road Stadium,Keith Stroud,Match Report,
2021,Regular Season,1,Sat,2020-09-12,12:30,Wycombe,0–1,Rotherham Utd,,Adams Park,James Linington,Match Report,
2021,Regular Season,1,Sat,2020-09-12,12:30,Birmingham City,1–0,Brentford,,St Andrew's Trillion Trophy Stadium,Tony Harrington,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Bournemouth,3–2,Blackburn,,Vitality Stadium,Gavin Ward,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Huddersfield,0–1,Norwich City,,The John Smith's Stadium,Geoff Eltringham,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Bristol City,2–1,Coventry City,,Ashton Gate Stadium,John Brooks,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Derby County,0–2,Reading,,iPro Stadium,Darren Bond,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Preston,0–1,Swansea City,,Deepdale Stadium,Robert Jones,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Cardiff City,0–2,Sheffield Weds,,Cardiff City Stadium,Andy Madley,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Millwall,0–0,Stoke City,,The Den,Jeremy Simpson,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,Barnsley,0–1,Luton Town,,Oakwell Stadium,Jarred Gillett,Match Report,
2021,Regular Season,1,Sat,2020-09-12,15:00,QPR,2–0,Nott'ham Forest,,Loftus Road Stadium,Tim Robinson,Match Report,
2021,Regular Season,2,Fri,2020-09-18,19:45,Coventry City,3–2,QPR,,St Andrew's Trillion Trophy Stadium,Steve Martin,Match Report,
2021,Regular Season,2,Sat,2020-09-19,12:30,Nott'ham Forest,0–2,Cardiff City,,The City Ground,James Linington,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Middlesbrough,1–1,Bournemouth,1000,Riverside Stadium,Matt Donohue,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Blackburn,5–0,Wycombe,,Ewood Park,Peter Bankes,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Reading,2–0,Barnsley,,Madejski Stadium,Tim Robinson,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Sheffield Weds,0–0,Watford,,Hillsborough Stadium,Jarred Gillett,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Brentford,3–0,Huddersfield,,Brentford Community Stadium,Craig Pawson,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Swansea City,0–0,Birmingham City,,Liberty Stadium,Gavin Ward,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Rotherham Utd,0–1,Millwall,,New York Stadium,Leigh Doughty,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Norwich City,2–2,Preston,,Carrow Road,John Brooks,Match Report,
2021,Regular Season,2,Sat,2020-09-19,15:00,Luton Town,2–1,Derby County,,Kenilworth Road Stadium,Dean Whitestone,Match Report,
