Season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020,Regular Season,1,Fri,2019-08-02,19:45,Luton Town,3–3,Middlesbrough,10053,Kenilworth Road Stadium,Oliver Langford,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Blackburn,1–2,Charlton Ath,14184,Ewood Park,Andy Woolmer,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Barnsley,1–0,Fulham,14823,Oakwell Stadium,Andrew Davies,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Millwall,1–0,Preston,14923,The Den,Steve Martin,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Reading,1–3,Sheffield Weds,16319,Madejski Stadium,James Linington,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Swansea City,2–1,Hull City,15741,Liberty Stadium,John Brooks,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Stoke City,1–2,QPR,24004,Bet365 Stadium,Darren Bond,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Brentford,0–1,Birmingham City,11332,Griffin Park,Gavin Ward,Match Report,
2020,Regular Season,1,Sat,2019-08-03,15:00,Wigan Athletic,3–2,Cardiff City,12169,The DW Stadium,David Webb,Match Report,
2020,Regular Season,1,Sat,2019-08-03,17:30,Nott'ham Forest,1–2,West Brom,27592,The City Ground,Darren England,Match Report,
2020,Regular Season,1,Sun,2019-08-04,16:30,Bristol City,1–3,Leeds United,23553,Ashton Gate Stadium,Tim Robinson,Match Report,
2020,Regular Season,1,Mon,2019-08-05,19:45,Huddersfield,1–2,Derby County,22596,The John Smith's Stadium,Geoff Eltringham,Match Report,
2020,Regular Season,2,Sat,2019-08-10,12:30,Leeds United,1–1,Nott'ham Forest,35453,Elland Road,Robert Jones,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Fulham,2–0,Blackburn,17987,Craven Cottage,Keith Stroud,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,QPR,1–1,Huddersfield,14377,Loftus Road Stadium,Dean Whitestone,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Derby County,0–0,Swansea City,27337,iPro Stadium,Jarred Gillett,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Sheffield Weds,2–0,Barnsley,28028,Hillsborough Stadium,Tony Harrington,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Middlesbrough,0–1,Brentford,21911,Riverside Stadium,Steve Martin,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,West Brom,1–1,Millwall,24305,The Hawthorns,David Webb,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Hull City,2–1,Reading,10673,Kingston Communications Stadium,Matt Donohue,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Cardiff City,2–1,Luton Town,24724,Cardiff City Stadium,Darren Bond,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Charlton Ath,3–1,Stoke City,17848,The Valley,Simon Hooper,Match Report,
2020,Regular Season,2,Sat,2019-08-10,15:00,Birmingham City,1–1,Bristol City,21808,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,
