BEGIN
CREATE TABLE
INSERT 0 649
 rk  |            team            |              league               |  str  |  ofs  |  dfs  |  sos  
 619 | Deportivo Anzoategui       | Venezuelan Primera Profesional    | 0.228 | 0.496 | 2.177 | 0.564
 620 | Bangkok United             | Thai Premier League               | 0.215 | 0.616 | 2.862 | 0.450
 621 | Connah's Quay              | Welsh Premier League              | 0.207 | 0.589 | 2.844 | 0.430
 622 | Aragua                     | Venezuelan Primera Profesional    | 0.205 | 0.448 | 2.186 | 0.567
 623 | Destroyers                 | Bolivian Liga Profesional         | 0.199 | 0.506 | 2.544 | 0.588
 624 | Portuguesa                 | Venezuelan Primera Profesional    | 0.193 | 0.449 | 2.326 | 0.568
 625 | Universitario de Sucre     | Bolivian Liga Profesional         | 0.185 | 0.479 | 2.588 | 0.590
 626 | Bangkok Glass              | Thai Premier League               | 0.182 | 0.502 | 2.764 | 0.456
 627 | Linfield                   | Northern Irish Premiership        | 0.174 | 0.476 | 2.736 | 0.379
 628 | Suphanburi                 | Thai Premier League               | 0.163 | 0.429 | 2.628 | 0.460
 629 | Barry Town                 | Welsh Premier League              | 0.159 | 0.491 | 3.096 | 0.440
 630 | Real Potosí                | Bolivian Liga Profesional         | 0.157 | 0.575 | 3.664 | 0.587
 631 | Limerick FC                | Irish Premier Division            | 0.151 | 0.396 | 2.627 | 0.609
 632 | Chonburi                   | Thai Premier League               | 0.144 | 0.476 | 3.300 | 0.464
 633 | Newtown                    | Welsh Premier League              | 0.142 | 0.456 | 3.209 | 0.444
 634 | Caernarfon                 | Welsh Premier League              | 0.137 | 0.412 | 3.015 | 0.445
 635 | Bray                       | Irish Premier Division            | 0.131 | 0.443 | 3.396 | 0.614
 636 | Navy Football Club         | Thai Premier League               | 0.129 | 0.458 | 3.552 | 0.468
 637 | Ballymena                  | Northern Irish Premiership        | 0.128 | 0.445 | 3.469 | 0.385
 638 | Glenavon                   | Northern Irish Premiership        | 0.127 | 0.443 | 3.491 | 0.385
 639 | Police Tero                | Thai Premier League               | 0.124 | 0.448 | 3.614 | 0.469
 640 | Crusaders                  | Northern Irish Premiership        | 0.119 | 0.438 | 3.678 | 0.387
 641 | Coleraine                  | Northern Irish Premiership        | 0.116 | 0.411 | 3.556 | 0.392
 642 | Cliftonville               | Northern Irish Premiership        | 0.112 | 0.450 | 4.018 | 0.413
 643 | Carmarthen                 | Welsh Premier League              | 0.111 | 0.432 | 3.880 | 0.408
 644 | Cefn Druids                | Welsh Premier League              | 0.108 | 0.387 | 3.599 | 0.409
 645 | Aberystwyth                | Welsh Premier League              | 0.102 | 0.377 | 3.690 | 0.410
 646 | Dungannon Swifts           | Northern Irish Premiership        | 0.100 | 0.357 | 3.567 | 0.390
 647 | Glentoran                  | Northern Irish Premiership        | 0.088 | 0.341 | 3.892 | 0.393
 648 | Institute                  | Northern Irish Premiership        | 0.078 | 0.393 | 5.014 | 0.396
 649 | Llanelli                   | Welsh Premier League              | 0.075 | 0.368 | 4.909 | 0.421
(649 rows)

COPY 649
COMMIT
