rk,team,league,str,ofs,dfs,sos
1,Barcelona,Spanish Primera División,6.539,3.054,0.467,1.425
2,Real Madrid,Spanish Primera División,4.695,2.765,0.589,1.424
3,Bayern Munich,German Bundesliga,4.151,2.211,0.533,1.337
4,Atletico Madrid,Spanish Primera División,3.862,1.831,0.474,1.466
5,Chelsea,English Premier League,3.491,2.020,0.579,1.329
6,Manchester City,English Premier League,3.426,2.246,0.656,1.375
7,Valencia,Spanish Primera División,3.373,2.021,0.599,1.393
8,Juventus,Italian Serie A,3.270,1.757,0.537,1.286
9,Arsenal,English Premier League,3.255,2.004,0.616,1.324
10,Sevilla FC,Spanish Primera División,3.206,2.071,0.646,1.353
11,Paris Saint-Germain,French Ligue 1,3.172,2.040,0.643,1.292
12,River Plate,Primera División de Argentina,3.066,1.594,0.520,1.328
13,Boca Juniors,Primera División de Argentina,2.918,1.684,0.577,1.316
14,Manchester United,English Premier League,2.905,1.832,0.630,1.318
15,FC Porto,Portuguese Liga,2.786,1.695,0.608,1.131
16,VfL Wolfsburg,German Bundesliga,2.767,2.001,0.723,1.289
17,Bayer Leverkusen,German Bundesliga,2.702,1.747,0.646,1.320
18,Southampton,English Premier League,2.681,1.582,0.590,1.337
19,Borussia Monchengladbach,German Bundesliga,2.590,1.578,0.609,1.302
20,Racing Club,Primera División de Argentina,2.569,1.610,0.627,1.305
21,Benfica,Portuguese Liga,2.563,1.715,0.669,1.157
22,Lyon,French Ligue 1,2.555,1.765,0.691,1.224
23,AS Monaco,French Ligue 1,2.535,1.327,0.523,1.293
24,Lazio,Italian Serie A,2.509,1.696,0.676,1.230
25,Villarreal,Spanish Primera División,2.477,1.564,0.632,1.399
26,Zenit St Petersburg,Russian Premier League,2.403,1.481,0.616,1.231
27,Marseille,French Ligue 1,2.380,1.802,0.757,1.224
28,Celta Vigo,Spanish Primera División,2.288,1.545,0.675,1.395
29,Emelec,Primera A de Ecuador,2.271,1.562,0.688,1.165
30,America,Mexican Liga MX,2.248,1.595,0.709,1.271
31,Tottenham Hotspur,English Premier League,2.240,1.714,0.765,1.297
32,Athletic Bilbao,Spanish Primera División,2.235,1.456,0.651,1.419
33,Toluca,Mexican Liga MX,2.204,1.455,0.660,1.269
34,Espanyol,Spanish Primera División,2.202,1.501,0.682,1.409
35,U.A.N.L,Mexican Liga MX,2.200,1.413,0.643,1.258
36,Everton,English Premier League,2.180,1.544,0.708,1.350
37,Borussia Dortmund,German Bundesliga,2.158,1.564,0.725,1.319
38,Independiente Santa Fe,Fútbol Profesional Colombiano,2.123,1.440,0.679,1.237
39,St Etienne,French Ligue 1,2.121,1.354,0.638,1.238
40,Tigre,Primera División de Argentina,2.121,1.606,0.757,1.359
41,Málaga,Spanish Primera División,2.116,1.430,0.676,1.388
42,Lanús,Primera División de Argentina,2.110,1.494,0.708,1.353
43,Liverpool,English Premier League,2.104,1.430,0.680,1.346
44,Swansea City,English Premier League,2.098,1.531,0.730,1.303
45,Napoli,Italian Serie A,2.094,1.694,0.809,1.257
46,Fiorentina,Italian Serie A,2.082,1.546,0.742,1.255
47,Arsenal de Sarandí,Primera División de Argentina,2.062,1.525,0.740,1.353
48,Peñarol,Primera División de Uruguay,2.062,1.583,0.768,1.154
49,Stoke City,English Premier League,2.054,1.518,0.739,1.304
50,San Lorenzo,Primera División de Argentina,2.041,1.348,0.660,1.339
51,Gamba Osaka,Japanese J League,2.038,1.518,0.745,1.141
52,Crystal Palace,English Premier League,2.036,1.540,0.757,1.328
53,Vélez Sarsfield,Primera División de Argentina,2.007,1.350,0.673,1.364
54,Real Sociedad,Spanish Primera División,1.995,1.441,0.722,1.384
55,AS Roma,Italian Serie A,1.989,1.393,0.701,1.303
56,Atlético Nacional,Fútbol Profesional Colombiano,1.988,1.255,0.631,1.265
57,Libertad,Primera División de Paraguay,1.987,1.473,0.742,1.135
58,Nacional,Primera División de Uruguay,1.987,1.515,0.763,1.149
59,Belgrano de Córdoba,Primera División de Argentina,1.987,1.495,0.752,1.354
60,Independiente,Primera División de Argentina,1.984,1.593,0.803,1.355
61,Cruz Azul,Mexican Liga MX,1.981,1.431,0.722,1.283
62,León,Mexican Liga MX,1.977,1.610,0.814,1.307
63,Pumas UNAM,Mexican Liga MX,1.977,1.542,0.780,1.251
64,AFC Bournemouth,English League Championship,1.974,1.634,0.828,1.042
65,CSKA Moscow,Russian Premier League,1.974,1.501,0.760,1.241
66,Santos,Mexican Liga MX,1.969,1.854,0.941,1.274
67,Internazionale,Italian Serie A,1.964,1.465,0.746,1.280
68,Guaraní,Primera División de Paraguay,1.939,1.800,0.928,1.156
69,Sporting CP,Portuguese Liga,1.938,1.539,0.794,1.143
70,Pachuca,Mexican Liga MX,1.935,1.479,0.764,1.277
71,Gimnasia La Plata,Primera División de Argentina,1.935,1.163,0.601,1.352
72,Banfield,Primera División de Argentina,1.927,1.450,0.752,1.366
73,Estudiantes La Plata,Primera División de Argentina,1.908,1.362,0.714,1.364
74,Genoa,Italian Serie A,1.898,1.498,0.789,1.225
75,West Bromwich Albion,English Premier League,1.882,1.414,0.751,1.318
76,Newell's Old Boys,Primera División de Argentina,1.876,1.360,0.725,1.356
77,Leicester City,English Premier League,1.875,1.443,0.770,1.344
78,West Ham United,English Premier League,1.868,1.377,0.737,1.354
79,River Plate,Primera División de Uruguay,1.863,1.510,0.810,1.154
80,PSV Eindhoven,Dutch Eredivisie,1.839,1.642,0.893,1.012
81,Schalke 04,German Bundesliga,1.838,1.450,0.789,1.353
82,LA Galaxy,Major League Soccer,1.837,1.571,0.855,1.126
83,FC Augsburg,German Bundesliga,1.829,1.388,0.759,1.307
84,Chiapas,Mexican Liga MX,1.821,1.455,0.799,1.257
85,Krasnodar,Russian Premier League,1.818,1.431,0.787,1.212
86,Atletico Rafaela,Primera División de Argentina,1.815,1.435,0.790,1.357
87,Kashima Antlers,Japanese J League,1.815,1.561,0.860,1.145
88,Atlético Huila,Fútbol Profesional Colombiano,1.814,1.295,0.714,1.258
89,Rosario Central,Primera División de Argentina,1.801,1.365,0.758,1.398
90,Torino,Italian Serie A,1.786,1.342,0.752,1.208
91,Braga,Portuguese Liga,1.783,1.353,0.759,1.087
92,TSG Hoffenheim,German Bundesliga,1.775,1.570,0.884,1.282
93,Urawa Red Diamonds,Japanese J League,1.768,1.391,0.787,1.146
94,AA Ponte Preta,Brasileirao B,1.764,1.475,0.836,1.155
95,Rayo Vallecano,Spanish Primera División,1.763,1.550,0.879,1.426
96,América Mineiro,Brasileirao B,1.757,1.403,0.798,1.149
97,Tijuana,Mexican Liga MX,1.753,1.373,0.783,1.280
98,Bordeaux,French Ligue 1,1.750,1.326,0.757,1.235
99,Middlesbrough,English League Championship,1.749,1.265,0.723,1.056
100,Kawasaki Frontale,Japanese J League,1.749,1.503,0.859,1.139
101,Olimpo de Bahía Blanca,Primera División de Argentina,1.743,1.212,0.696,1.358
102,Sampdoria,Italian Serie A,1.739,1.281,0.737,1.229
103,Monterrey,Mexican Liga MX,1.739,1.335,0.768,1.282
104,Mainz,German Bundesliga,1.736,1.404,0.809,1.289
105,Dinamo Moscow,Russian Premier League,1.735,1.385,0.798,1.155
106,Joinville,Brasileirao B,1.735,1.275,0.735,1.146
107,Norwich City,English League Championship,1.731,1.481,0.856,1.047
108,Godoy Cruz de Mendoza,Primera División de Argentina,1.724,1.596,0.926,1.382
109,U. de G.,Mexican Liga MX,1.712,1.311,0.765,1.247
110,Deportivo Cali,Fútbol Profesional Colombiano,1.709,1.435,0.839,1.243
111,Eintracht Frankfurt,German Bundesliga,1.708,1.643,0.962,1.314
112,Cerro Porteño,Primera División de Paraguay,1.702,1.621,0.953,1.139
113,Querétaro,Mexican Liga MX,1.695,1.365,0.805,1.268
114,Montpellier,French Ligue 1,1.693,1.232,0.728,1.237
115,Celtic,Scottish Premiership,1.677,1.359,0.811,0.860
116,Flamengo,Futebol Brasileiro,1.671,1.551,0.928,1.219
117,FC Cologne,German Bundesliga,1.670,1.224,0.733,1.308
118,Seattle Sounders FC,Major League Soccer,1.663,1.552,0.933,1.118
119,Once Caldas,Fútbol Profesional Colombiano,1.660,1.354,0.816,1.283
120,FC Tokyo,Japanese J League,1.657,1.302,0.786,1.148
121,Colo Colo,Primera División de Chile,1.656,1.395,0.843,1.096
122,CR Vasco da Gama,Brasileirao B,1.656,1.235,0.746,1.159
123,SC Freiburg,German Bundesliga,1.648,1.312,0.796,1.302
124,Goiás EC,Futebol Brasileiro,1.632,1.410,0.864,1.239
125,Fluminense FC,Futebol Brasileiro,1.630,1.537,0.943,1.220
126,Newcastle United,English Premier League,1.630,1.330,0.816,1.355
127,Defensa y Justicia,Primera División de Argentina,1.629,1.316,0.808,1.371
128,Watford,English League Championship,1.628,1.460,0.897,1.047
129,Atlas,Mexican Liga MX,1.628,1.236,0.759,1.264
130,Cruzeiro,Futebol Brasileiro,1.627,1.497,0.920,1.223
131,EC Vitória,Futebol Brasileiro,1.626,1.403,0.863,1.236
132,Santa Cruz FC,Brasileirao B,1.621,1.276,0.787,1.147
133,Criciúma,Futebol Brasileiro,1.619,1.434,0.886,1.230
134,Palmeiras,Futebol Brasileiro,1.618,1.480,0.915,1.220
135,Real Valladolid,Spanish Segunda Division,1.618,1.239,0.766,1.051
136,Chapecoense AF,Futebol Brasileiro,1.617,1.442,0.891,1.228
137,Sport,Futebol Brasileiro,1.617,1.372,0.848,1.231
138,AC Milan,Italian Serie A,1.617,1.405,0.869,1.269
139,Internacional,Futebol Brasileiro,1.616,1.593,0.986,1.241
140,Eibar,Spanish Primera División,1.614,1.239,0.768,1.406
141,Independiente Medellín,Fútbol Profesional Colombiano,1.611,1.401,0.870,1.264
142,Figueirense FC,Futebol Brasileiro,1.610,1.350,0.839,1.225
143,Botafogo,Futebol Brasileiro,1.610,1.442,0.896,1.215
144,Hull City,English Premier League,1.609,1.212,0.753,1.371
145,Lokomotiv Moscow,Russian Premier League,1.607,1.204,0.749,1.164
146,Corinthians,Futebol Brasileiro,1.606,1.406,0.875,1.223
147,Melbourne Victory,Australian A-League,1.606,1.459,0.909,1.025
148,Atlético MG,Futebol Brasileiro,1.600,1.418,0.886,1.238
149,Santos FC,Futebol Brasileiro,1.599,1.550,0.970,1.226
150,Real Betis,Spanish Segunda Division,1.598,1.359,0.850,1.039
151,Bahia,Futebol Brasileiro,1.598,1.167,0.730,1.225
152,Gremio,Futebol Brasileiro,1.597,1.130,0.707,1.231
153,Coritiba FBC,Futebol Brasileiro,1.596,1.469,0.921,1.232
154,Deportivo La Coruña,Spanish Primera División,1.590,1.283,0.807,1.415
