BEGIN
CREATE TABLE
INSERT 0 719
 rk  |             team             |               league               |  str  |  ofs  |  dfs  |  sos  
-----+------------------------------+------------------------------------+-------+-------+-------+-------
   1 | Real Madrid                  | Spanish Primera División           | 5.169 | 2.546 | 0.493 | 1.393
   2 | Barcelona                    | Spanish Primera División           | 4.954 | 2.814 | 0.568 | 1.405
   3 | Paris Saint-Germain          | French Ligue 1                     | 4.415 | 2.254 | 0.510 | 1.260
   4 | Bayern Munich                | German Bundesliga                  | 4.340 | 2.150 | 0.495 | 1.354
   5 | Atletico Madrid              | Spanish Primera División           | 3.875 | 1.699 | 0.438 | 1.409
   6 | Borussia Dortmund            | German Bundesliga                  | 3.455 | 2.255 | 0.653 | 1.289
   7 | Juventus                     | Italian Serie A                    | 3.374 | 1.781 | 0.528 | 1.278
   8 | Manchester City              | English Premier League             | 3.133 | 2.085 | 0.666 | 1.407
   9 | Tottenham Hotspur            | English Premier League             | 3.032 | 1.840 | 0.607 | 1.371
  10 | Arsenal                      | English Premier League             | 2.979 | 1.833 | 0.615 | 1.385
  11 | Napoli                       | Italian Serie A                    | 2.894 | 1.902 | 0.657 | 1.216
  12 | San Lorenzo                  | Primera División de Argentina      | 2.846 | 1.582 | 0.556 | 1.351
  13 | Leicester City               | English Premier League             | 2.803 | 1.810 | 0.646 | 1.293
  14 | Boca Juniors                 | Primera División de Argentina      | 2.682 | 1.731 | 0.645 | 1.350
  15 | Rosario Central              | Primera División de Argentina      | 2.669 | 1.694 | 0.635 | 1.337
  16 | Athletic Bilbao              | Spanish Primera División           | 2.655 | 1.744 | 0.657 | 1.413
  17 | Manchester United            | English Premier League             | 2.626 | 1.544 | 0.588 | 1.326
  18 | Independiente                | Primera División de Argentina      | 2.618 | 1.522 | 0.581 | 1.343
  19 | Benfica                      | Portuguese Liga                    | 2.581 | 1.774 | 0.687 | 1.179
  20 | Racing Club                  | Primera División de Argentina      | 2.551 | 1.530 | 0.600 | 1.358
  21 | Southampton                  | English Premier League             | 2.536 | 1.700 | 0.670 | 1.297
  22 | Sevilla FC                   | Spanish Primera División           | 2.508 | 1.676 | 0.668 | 1.387
  23 | Liverpool                    | English Premier League             | 2.481 | 1.639 | 0.660 | 1.316
  24 | Atlético Nacional            | Fútbol Profesional Colombiano      | 2.472 | 1.563 | 0.632 | 1.267
  25 | AS Roma                      | Italian Serie A                    | 2.466 | 1.883 | 0.764 | 1.311
  26 | River Plate                  | Primera División de Argentina      | 2.387 | 1.651 | 0.692 | 1.362
  27 | Villarreal                   | Spanish Primera División           | 2.379 | 1.378 | 0.579 | 1.368
  28 | West Ham United              | English Premier League             | 2.367 | 1.697 | 0.717 | 1.319
  29 | Chelsea                      | English Premier League             | 2.350 | 1.749 | 0.744 | 1.374
  30 | Sporting CP                  | Portuguese Liga                    | 2.317 | 1.702 | 0.734 | 1.113
  31 | U.A.N.L                      | Mexican Liga MX                    | 2.286 | 1.435 | 0.628 | 1.293
  32 | Bayer Leverkusen             | German Bundesliga                  | 2.270 | 1.643 | 0.724 | 1.350
  33 | Borussia Monchengladbach     | German Bundesliga                  | 2.268 | 1.880 | 0.829 | 1.333
