BEGIN
CREATE TABLE
INSERT 0 115
 rk  |          team           |           league            |  str  |  ofs  |  dfs  |  sos  
-----+-------------------------+-----------------------------+-------+-------+-------+-------
   1 | Liverpool               | English Premier League      | 2.607 | 1.769 | 0.678 | 1.284
   2 | Arsenal                 | English Premier League      | 2.602 | 1.901 | 0.731 | 1.314
   3 | Manchester City         | English Premier League      | 2.468 | 1.737 | 0.704 | 1.341
   4 | Tottenham Hotspur       | English Premier League      | 2.381 | 1.656 | 0.696 | 1.326
   5 | Swansea City            | English Premier League      | 2.319 | 1.645 | 0.710 | 1.298
   6 | Everton                 | English Premier League      | 2.276 | 1.504 | 0.661 | 1.314
   7 | Manchester United       | English Premier League      | 2.180 | 1.571 | 0.721 | 1.301
   8 | Chelsea                 | English Premier League      | 2.168 | 1.678 | 0.774 | 1.324
   9 | Middlesbrough           | English Premier League      | 2.143 | 1.534 | 0.716 | 1.296
  10 | Hull City               | English Premier League      | 2.023 | 1.398 | 0.691 | 1.269
  11 | Southampton             | English Premier League      | 1.915 | 1.384 | 0.722 | 1.341
  12 | Crystal Palace          | English Premier League      | 1.871 | 1.318 | 0.705 | 1.303
  13 | AFC Bournemouth         | English Premier League      | 1.814 | 1.317 | 0.726 | 1.310
  14 | Burnley                 | English Premier League      | 1.787 | 1.326 | 0.742 | 1.294
  15 | West Bromwich Albion    | English Premier League      | 1.766 | 1.322 | 0.749 | 1.310
  16 | Sunderland              | English Premier League      | 1.764 | 1.359 | 0.771 | 1.329
  17 | Leicester City          | English Premier League      | 1.684 | 1.406 | 0.835 | 1.300
  18 | Watford                 | English Premier League      | 1.639 | 1.336 | 0.815 | 1.293
  19 | Stoke City              | English Premier League      | 1.589 | 1.338 | 0.842 | 1.325
  20 | West Ham United         | English Premier League      | 1.583 | 1.416 | 0.894 | 1.315
  21 | Newcastle United        | English League Championship | 1.583 | 1.388 | 0.877 | 0.998
  22 | Barnsley                | English League Championship | 1.357 | 1.354 | 0.998 | 1.007
  23 | Norwich City            | English League Championship | 1.324 | 1.304 | 0.984 | 1.017
  24 | Fulham                  | English League Championship | 1.310 | 1.181 | 0.901 | 1.025
  25 | Brighton & Hove Albion  | English League Championship | 1.294 | 1.211 | 0.936 | 1.011
