rk,team,league,str,ofs,dfs,sos
82,CSKA Moscow,Russian Premier League,2.052,1.307,0.637,1.287
83,Eintracht Frankfurt,German Bundesliga,2.047,1.267,0.619,1.377
84,Deportivo La Coruña,Spanish Primera División,2.035,1.472,0.723,1.461
85,Necaxa,Mexican Liga MX,2.029,1.477,0.728,1.284
86,Fluminense FC,Futebol Brasileiro,2.024,1.392,0.688,1.358
87,Leicester City,English Premier League,2.024,1.554,0.768,1.451
88,America,Mexican Liga MX,2.022,1.597,0.790,1.299
89,Gremio,Futebol Brasileiro,2.016,1.350,0.670,1.363
90,Godoy Cruz de Mendoza,Primera División de Argentina,2.016,1.435,0.712,1.322
91,Ajax Amsterdam,Dutch Eredivisie,2.014,1.542,0.766,1.099
92,Chapecoense AF,Futebol Brasileiro,2.002,1.392,0.695,1.354
93,Krasnodar,Russian Premier League,1.988,1.369,0.689,1.235
94,EC Vitória,Futebol Brasileiro,1.981,1.531,0.773,1.364
95,PSV Eindhoven,Dutch Eredivisie,1.978,1.429,0.723,1.117
96,Fiorentina,Italian Serie A,1.976,1.490,0.754,1.302
97,Lokomotiv Moscow,Russian Premier League,1.974,1.321,0.669,1.225
98,Coritiba FBC,Futebol Brasileiro,1.972,1.351,0.685,1.363
99,Tigre,Primera División de Argentina,1.966,1.422,0.723,1.320
100,Werder Bremen,German Bundesliga,1.960,1.649,0.841,1.408
101,Toulouse,French Ligue 1,1.951,1.275,0.653,1.282
102,Independiente Santa Fe,Fútbol Profesional Colombiano,1.950,1.260,0.646,1.190
103,FC Copenhagen,Danish SAS-Ligaen,1.950,1.332,0.683,0.960
104,Guadalajara,Mexican Liga MX,1.946,1.294,0.665,1.271
105,Kawasaki Frontale,Japanese J League,1.936,1.608,0.831,1.146
106,León,Mexican Liga MX,1.935,1.649,0.852,1.287
107,Burnley,English Premier League,1.930,1.308,0.678,1.362
108,AA Ponte Preta,Futebol Brasileiro,1.922,1.477,0.769,1.356
109,Internacional,Futebol Brasileiro,1.913,1.248,0.652,1.361
110,Guangzhou Evergrande,Chinese Super League,1.910,1.396,0.731,1.054
111,Stoke City,English Premier League,1.900,1.386,0.730,1.405
112,Crystal Palace,English Premier League,1.897,1.449,0.764,1.382
113,Bordeaux,French Ligue 1,1.887,1.454,0.770,1.293
114,St Etienne,French Ligue 1,1.886,1.151,0.610,1.283
115,Málaga,Spanish Primera División,1.885,1.477,0.784,1.446
116,Kashima Antlers,Japanese J League,1.885,1.392,0.738,1.157
117,Real Betis,Spanish Primera División,1.882,1.371,0.728,1.461
118,Swansea City,English Premier League,1.878,1.622,0.864,1.393
119,Sport,Futebol Brasileiro,1.871,1.448,0.774,1.358
120,Huracán,Primera División de Argentina,1.869,1.208,0.647,1.300
121,Anderlecht,Belgian Jupiler League,1.865,1.631,0.874,1.128
122,Sporting CP,Portuguese Liga,1.858,1.473,0.793,1.200
123,AFC Bournemouth,English Premier League,1.857,1.547,0.833,1.396
124,Guingamp,French Ligue 1,1.856,1.384,0.746,1.290
125,Independiente Medellín,Fútbol Profesional Colombiano,1.856,1.407,0.758,1.175
126,Istanbul Buyuksehir BSK,Turkish Super Lig,1.847,1.426,0.772,1.092
127,Unión de Santa Fe,Primera División de Argentina,1.845,1.373,0.744,1.330
128,Tijuana,Mexican Liga MX,1.841,1.385,0.752,1.272
129,Sampdoria,Italian Serie A,1.837,1.323,0.720,1.295
130,Banfield,Primera División de Argentina,1.832,1.341,0.732,1.336
131,Brighton & Hove Albion,English League Championship,1.826,1.403,0.768,1.070
132,VfL Wolfsburg,German Bundesliga,1.819,1.303,0.716,1.408
133,Chacarita Juniors,Nacional B de Argentina,1.818,1.252,0.689,1.126
134,Levante,Spanish Segunda Division,1.807,1.273,0.705,1.093
135,Cruz Azul,Mexican Liga MX,1.802,1.480,0.821,1.277
136,Fenerbahce,Turkish Super Lig,1.795,1.393,0.776,1.163
137,Mainz,German Bundesliga,1.793,1.485,0.828,1.398
138,Celtic,Scottish Premiership,1.781,1.483,0.833,0.952
139,Olimpia,Primera División de Paraguay,1.779,1.609,0.904,1.091
140,Braga,Portuguese Liga,1.779,1.369,0.770,1.133
141,Leganes,Spanish Primera División,1.777,1.241,0.698,1.469
142,FC Basel,Swiss Super League,1.770,1.503,0.849,1.022
143,Patronato,Primera División de Argentina,1.766,1.271,0.719,1.317
144,Watford,English Premier League,1.766,1.358,0.769,1.363
145,Nacional,Primera División de Uruguay,1.759,1.313,0.747,1.207
146,Olympiakos,Greek Super League,1.759,1.219,0.693,1.038
147,Toluca,Mexican Liga MX,1.758,1.348,0.767,1.274
148,Hapoel Be'er,Israeli Premier League,1.758,1.331,0.757,1.013
149,Sydney FC,Australian A-League,1.757,1.273,0.724,1.006
150,Pumas UNAM,Mexican Liga MX,1.756,1.482,0.844,1.246
151,Millonarios,Fútbol Profesional Colombiano,1.738,1.317,0.758,1.182
152,Guillermo Brown,Nacional B de Argentina,1.736,1.366,0.787,1.127
153,Colón de Santa Fe,Primera División de Argentina,1.723,1.332,0.773,1.320
154,SC Freiburg,German Bundesliga,1.721,1.504,0.874,1.383
155,Udinese,Italian Serie A,1.719,1.349,0.785,1.281
156,Sporting Gijón,Spanish Primera División,1.697,1.413,0.833,1.469
157,Angers,French Ligue 1,1.691,1.271,0.751,1.292
158,FC Salzburg,Austrian Bundesliga,1.688,1.357,0.804,0.990
159,FK Amkar Perm,Russian Premier League,1.683,1.103,0.655,1.231
160,Belgrano de Córdoba,Primera División de Argentina,1.679,1.203,0.717,1.333
161,West Ham United,English Premier League,1.678,1.487,0.887,1.407
162,Yokohama F. Marinos,Japanese J League,1.676,1.368,0.816,1.145
