        team         | p | w | d | l | gf | ga | gd | pts 
---------------------+---+---+---+---+----+----+----+-----
 Paris Saint-Germain | 5 | 3 | 1 | 1 | 12 |  4 |  8 |  10
 AS Monaco           | 4 | 3 | 1 | 0 | 10 |  4 |  6 |  10
 Nice                | 4 | 3 | 1 | 0 |  6 |  3 |  3 |  10
 Metz                | 4 | 3 | 0 | 1 |  8 |  5 |  3 |   9
 Bordeaux            | 4 | 3 | 0 | 1 |  8 |  7 |  1 |   9
 Guingamp            | 4 | 2 | 2 | 0 |  7 |  4 |  3 |   8
 Stade Rennes        | 4 | 2 | 1 | 1 |  5 |  2 |  3 |   7
 Lyon                | 4 | 2 | 0 | 2 |  8 |  7 |  1 |   6
 Bastia              | 4 | 2 | 0 | 2 |  5 |  4 |  1 |   6
 Caen                | 5 | 2 | 0 | 3 |  5 | 12 | -7 |   6
 Toulouse            | 4 | 1 | 2 | 1 |  5 |  3 |  2 |   5
 St Etienne          | 4 | 1 | 2 | 1 |  6 |  5 |  1 |   5
 Montpellier         | 4 | 1 | 2 | 1 |  4 |  5 | -1 |   5
 Marseille           | 4 | 1 | 1 | 2 |  5 |  5 |  0 |   4
 Lille               | 4 | 1 | 1 | 2 |  5 |  8 | -3 |   4
 Dijon FCO           | 4 | 1 | 0 | 3 |  5 |  7 | -2 |   3
 Angers              | 4 | 1 | 0 | 3 |  3 |  5 | -2 |   3
 Nantes              | 4 | 1 | 0 | 3 |  1 |  5 | -4 |   3
 AS Nancy Lorraine   | 4 | 1 | 0 | 3 |  2 |  7 | -5 |   3
 Lorient             | 4 | 0 | 0 | 4 |  2 | 10 | -8 |   0
(20 rows)

