Round Number,Date,Location,Home Team,Away Team,Result
1,06/10/2017 08:50,AAMI Park,Melbourne City,Brisbane Roar,2 - 0
1,07/10/2017 06:35,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,1 - 5
1,07/10/2017 08:50,Etihad Stadium,Melbourne Victory,Sydney FC,0 - 1
1,08/10/2017 04:00,Westpac Stadium,Wellington Phoenix,Adelaide United,1 - 1
1,08/10/2017 07:00,Spotless Stadium,Western Sydney Wanderers,Perth Glory,2 - 1
2,13/10/2017 08:50,Suncorp Stadium,Brisbane Roar,Adelaide United,1 - 2
2,14/10/2017 06:35,Spotless Stadium,Western Sydney Wanderers,Central Coast Mariners,2 - 2
2,14/10/2017 08:50,Etihad Stadium,Melbourne Victory,Melbourne City,1 - 2
2,15/10/2017 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,2 - 2
2,15/10/2017 08:00,Allianz Stadium,Sydney FC,Wellington Phoenix,3 - 2
3,20/10/2017 08:50,Adelaide Oval,Adelaide United,Melbourne Victory,2 - 2
3,21/10/2017 06:35,AAMI Park,Melbourne City,Wellington Phoenix,1 - 0
3,21/10/2017 08:50,Allianz Stadium,Sydney FC,Western Sydney Wanderers,2 - 2
3,22/10/2017 06:00,Suncorp Stadium,Brisbane Roar,Newcastle Jets,1 - 2
3,22/10/2017 08:00,nib Stadium,Perth Glory,Central Coast Mariners,2 - 1
4,27/10/2017 08:50,Allianz Stadium,Sydney FC,Perth Glory,2 - 0
4,28/10/2017 06:35,Westpac Stadium,Wellington Phoenix,Brisbane Roar,3 - 3
4,28/10/2017 08:50,Coopers Stadium,Adelaide United,Melbourne City,0 - 2
4,29/10/2017 06:00,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,1 - 1
4,29/10/2017 08:00,Central Coast Stadium,Central Coast Mariners,Melbourne Victory,1 - 1
5,03/11/2017 08:50,AAMI Park,Melbourne City,Sydney FC,0 - 1
5,04/11/2017 08:50,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,3 - 0
5,04/11/2017 11:00,nib Stadium,Perth Glory,Adelaide United,1 - 0
5,05/11/2017 06:00,Suncorp Stadium,Brisbane Roar,Central Coast Mariners,0 - 0
5,06/11/2017 08:50,Etihad Stadium,Melbourne Victory,Western Sydney Wanderers,1 - 1
6,10/11/2017 08:50,Central Coast Stadium,Central Coast Mariners,Sydney FC,2 - 0
6,11/11/2017 06:35,Coopers Stadium,Adelaide United,Newcastle Jets,1 - 2
6,11/11/2017 08:50,Etihad Stadium,Melbourne Victory,Brisbane Roar,1 - 1
6,12/11/2017 03:30,Westpac Stadium,Wellington Phoenix,Perth Glory,5 - 2
6,12/11/2017 08:00,AAMI Park,Melbourne City,Western Sydney Wanderers,1 - 1
7,16/11/2017 08:50,Central Coast Stadium,Central Coast Mariners,Adelaide United,1 - 2
7,17/11/2017 08:50,Suncorp Stadium,Brisbane Roar,Melbourne City,3 - 1
7,18/11/2017 08:50,Allianz Stadium,Sydney FC,Newcastle Jets,2 - 1
7,19/11/2017 08:00,nib Stadium,Perth Glory,Melbourne Victory,0 - 2
8,23/11/2017 08:50,McDonald Jones Stadium,Newcastle Jets,Melbourne Victory,4 - 1
8,24/11/2017 08:50,AAMI Park,Melbourne City,Perth Glory,1 - 3
8,25/11/2017 06:35,Westpac Stadium,Wellington Phoenix,Central Coast Mariners,1 - 4
8,25/11/2017 08:50,Allianz Stadium,Sydney FC,Brisbane Roar,3 - 1
8,26/11/2017 08:00,Coopers Stadium,Adelaide United,Western Sydney Wanderers,2 - 0
9,01/12/2017 08:50,Coopers Stadium,Adelaide United,Sydney FC,0 - 1
9,02/12/2017 06:35,Spotless Stadium,Western Sydney Wanderers,Brisbane Roar,0 - 2
9,02/12/2017 08:50,McDonald Jones Stadium,Newcastle Jets,Melbourne City,1 - 2
9,03/12/2017 03:30,Westpac Stadium,Wellington Phoenix,Melbourne Victory,2 - 3
9,03/12/2017 06:00,Central Coast Stadium,Central Coast Mariners,Perth Glory,1 - 0
10,08/12/2017 08:50,Etihad Stadium,Melbourne Victory,Adelaide United,1 - 2
10,09/12/2017 06:35,CBUS Super Stadium,Brisbane Roar,Wellington Phoenix,0 - 0
10,09/12/2017 08:50,ANZ Stadium,Western Sydney Wanderers,Sydney FC,0 - 5
10,09/12/2017 11:00,nib Stadium,Perth Glory,Newcastle Jets,1 - 2
10,10/12/2017 08:00,AAMI Park,Melbourne City,Central Coast Mariners,1 - 0
11,15/12/2017 08:50,Allianz Stadium,Sydney FC,Melbourne City,3 - 1
11,16/12/2017 06:35,McDonald Jones Stadium,Newcastle Jets,Adelaide United,2 - 1
11,16/12/2017 08:50,Central Coast Stadium,Central Coast Mariners,Western Sydney Wanderers,0 - 2
11,16/12/2017 11:00,nib Stadium,Perth Glory,Wellington Phoenix,1 - 0
11,17/12/2017 08:00,Suncorp Stadium,Brisbane Roar,Melbourne Victory,1 - 2
12,21/12/2017 08:50,Suncorp Stadium,Brisbane Roar,Perth Glory,1 - 2
12,22/12/2017 08:50,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,4 - 0
12,23/12/2017 06:35,Westpac Stadium,Wellington Phoenix,Sydney FC,1 - 4
12,23/12/2017 08:50,AAMI Park,Melbourne City,Melbourne Victory,0 - 1
12,26/12/2017 08:50,Coopers Stadium,Adelaide United,Central Coast Mariners,1 - 0
13,29/12/2017 08:50,AAMI Park,Melbourne Victory,Newcastle Jets,2 - 1
13,30/12/2017 06:35,Coopers Stadium,Adelaide United,Brisbane Roar,1 - 2
13,30/12/2017 08:50,Allianz Stadium,Sydney FC,Perth Glory,6 - 0
13,31/12/2017 08:00,Central Coast Stadium,Central Coast Mariners,Wellington Phoenix,0 - 0
13,01/01/2018 08:50,ANZ Stadium,Western Sydney Wanderers,Melbourne City,2 - 1
14,03/01/2018 08:50,Allianz Stadium,Sydney FC,Newcastle Jets,2 - 2
14,05/01/2018 08:50,Suncorp Stadium,Brisbane Roar,Western Sydney Wanderers,0 - 2
14,05/01/2018 11:00,nib Stadium,Perth Glory,Adelaide United,0 - 3
14,06/01/2018 07:00,GMHBA Stadium,Melbourne Victory,Central Coast Mariners,1 - 1
14,06/01/2018 08:50,AAMI Park,Melbourne City,Wellington Phoenix,2 - 1
15,08/01/2018 08:50,Suncorp Stadium,Brisbane Roar,Sydney FC,0 - 3
15,09/01/2018 08:50,McDonald Jones Stadium,Newcastle Jets,Central Coast Mariners,2 - 0
15,09/01/2018 11:00,nib Stadium,Perth Glory,Melbourne City,0 - 2
15,10/01/2018 06:35,Westpac Stadium,Wellington Phoenix,Melbourne Victory,2 - 1
15,10/01/2018 08:50,ANZ Stadium,Western Sydney Wanderers,Adelaide United,1 - 1
16,12/01/2018 08:50,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar,1 - 0
16,13/01/2018 06:35,Westpac Stadium,Wellington Phoenix,Western Sydney Wanderers,1 - 1
16,13/01/2018 08:50,AAMI Park,Melbourne Victory,Perth Glory,3 - 2
16,14/01/2018 06:00,Central Coast Stadium,Central Coast Mariners,Melbourne City,2 - 2
16,14/01/2018 08:00,Coopers Stadium,Adelaide United,Sydney FC,0 - 0
17,18/01/2018 08:50,Suncorp Stadium,Brisbane Roar,Perth Glory,3 - 2
17,19/01/2018 08:50,ANZ Stadium,Western Sydney Wanderers,Melbourne Victory,0 - 3
17,20/01/2018 06:35,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,2 - 3
17,20/01/2018 08:50,Allianz Stadium,Sydney FC,Central Coast Mariners,1 - 1
17,21/01/2018 08:00,AAMI Park,Melbourne City,Adelaide United,5 - 0
