Round Number,Date,Location,Home Team,Away Team,Result
1,19/10/2018 08:50,Coopers Stadium,Adelaide United,Sydney FC,1 - 1
1,20/10/2018 08:50,Marvel Stadium,Melbourne Victory,Melbourne City,1 - 2
1,21/10/2018 04:00,Westpac Stadium,Wellington Phoenix,Newcastle Jets,2 - 1
1,21/10/2018 06:00,Suncorp Stadium,Brisbane Roar,Central Coast Mariners,1 - 1
1,21/10/2018 08:00,HBF Park,Perth Glory,Western Sydney Wanderers,1 - 1
2,26/10/2018 08:50,Coopers Stadium,Adelaide United,Newcastle Jets,1 - 1
2,27/10/2018 06:35,Central Coast Stadium,Central Coast Mariners,Melbourne City,1 - 1
2,27/10/2018 08:50,Sydney Cricket Ground,Sydney FC,Western Sydney Wanderers,2 - 0
2,28/10/2018 06:00,Suncorp Stadium,Brisbane Roar,Wellington Phoenix,0 - 0
2,28/10/2018 08:00,AAMI Park,Melbourne Victory,Perth Glory,2 - 3
3,02/11/2018 08:50,AAMI Park,Melbourne City,Sydney FC,0 - 3
3,03/11/2018 06:35,Westpac Stadium,Wellington Phoenix,Western Sydney Wanderers,0 - 3
3,03/11/2018 08:50,McDonald Jones Stadium,Newcastle Jets,Melbourne Victory,0 - 1
3,03/11/2018 11:00,HBF Park,Perth Glory,Brisbane Roar,2 - 1
3,04/11/2018 06:00,Central Coast Stadium,Central Coast Mariners,Adelaide United,0 - 2
4,09/11/2018 08:50,AAMI Park,Melbourne City,Wellington Phoenix,2 - 0
4,10/11/2018 06:35,Glen Willow Sporting Field,Western Sydney Wanderers,Brisbane Roar,2 - 2
4,10/11/2018 08:50,McDonald Jones Stadium,Newcastle Jets,Sydney FC,1 - 1
4,11/11/2018 06:00,Coopers Stadium,Adelaide United,Perth Glory,0 - 2
4,11/11/2018 08:00,AAMI Park,Melbourne Victory,Central Coast Mariners,4 - 1
5,23/11/2018 08:50,Spotless Stadium,Western Sydney Wanderers,Newcastle Jets,0 - 2
5,24/11/2018 06:35,Westpac Stadium,Wellington Phoenix,Adelaide United,1 - 3
5,24/11/2018 08:50,Suncorp Stadium,Brisbane Roar,Melbourne City,2 - 0
5,25/11/2018 06:00,Jubilee Oval,Sydney FC,Melbourne Victory,1 - 2
5,25/11/2018 08:00,HBF Park,Perth Glory,Central Coast Mariners,3 - 2
6,30/11/2018 08:50,Coopers Stadium,Adelaide United,Brisbane Roar,2 - 1
6,01/12/2018 06:35,Central Coast Stadium,Central Coast Mariners,Sydney FC,1 - 2
6,01/12/2018 08:50,Marvel Stadium,Melbourne Victory,Western Sydney Wanderers,4 - 0
6,02/12/2018 06:00,Westpac Stadium,Wellington Phoenix,Perth Glory,1 - 1
6,02/12/2018 08:00,AAMI Park,Melbourne City,Newcastle Jets,3 - 0
7,07/12/2018 08:50,Spotless Stadium,Western Sydney Wanderers,Central Coast Mariners,2 - 0
7,08/12/2018 06:35,Jubilee Oval,Sydney FC,Wellington Phoenix,1 - 3
7,08/12/2018 08:50,Marvel Stadium,Melbourne Victory,Adelaide United,2 - 0
7,08/12/2018 11:00,HBF Park,Perth Glory,Melbourne City,1 - 0
7,09/12/2018 06:00,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar,2 - 0
8,14/12/2018 08:50,Suncorp Stadium,Brisbane Roar,Melbourne Victory,2 - 4
8,15/12/2018 06:35,Westpac Stadium,Wellington Phoenix,Central Coast Mariners,2 - 0
8,15/12/2018 08:50,ANZ Stadium,Western Sydney Wanderers,Sydney FC,1 - 3
8,16/12/2018 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,0 - 2
8,16/12/2018 08:00,Coopers Stadium,Adelaide United,Melbourne City,0 - 2
9,21/12/2018 10:00,HBF Park,Perth Glory,Sydney FC,1 - 2
9,22/12/2018 06:35,Westpac Stadium,Wellington Phoenix,Brisbane Roar,4 - 1
9,22/12/2018 08:50,AAMI Park,Melbourne City,Melbourne Victory,1 - 1
9,23/12/2018 06:00,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,1 - 2
9,26/12/2018 08:50,Coopers Stadium,Adelaide United,Western Sydney Wanderers,2 - 2
10,28/12/2018 08:50,AAMI Park,Melbourne Victory,Wellington Phoenix,1 - 1
10,29/12/2018 08:50,Jubilee Oval,Sydney FC,Brisbane Roar,2 - 1
10,30/12/2018 08:30,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1 - 2
10,31/12/2018 08:00,Central Coast Stadium,Central Coast Mariners,Perth Glory,1 - 4
10,01/01/2019 08:50,ANZ Stadium,Western Sydney Wanderers,Melbourne City,0 - 2
11,02/01/2019 08:50,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar,2 - 2
11,08/01/2019 08:50,ANZ Stadium,Western Sydney Wanderers,Wellington Phoenix,2 - 3
11,09/01/2019 08:50,Coopers Stadium,Adelaide United,Melbourne Victory,2 - 0
11,09/01/2019 11:00,HBF Park,Perth Glory,Sydney FC,3 - 1
11,16/01/2019 08:50,Central Coast Stadium,Central Coast Mariners,Melbourne City,2 - 1
12,04/01/2019 08:50,Jubilee Oval,Sydney FC,Central Coast Mariners,5 - 2
12,05/01/2019 06:35,Coopers Stadium,Adelaide United,Wellington Phoenix,0 - 0
12,05/01/2019 08:50,ANZ Stadium,Western Sydney Wanderers,Melbourne Victory,1 - 2
12,06/01/2019 06:00,AAMI Park,Melbourne City,Newcastle Jets,2 - 1
12,06/01/2019 08:00,Suncorp Stadium,Brisbane Roar,Perth Glory,2 - 4
13,11/01/2019 08:50,AAMI Park,Melbourne City,Brisbane Roar,1 - 0
13,12/01/2019 06:35,Westpac Stadium,Wellington Phoenix,Central Coast Mariners,3 - 2
13,12/01/2019 08:50,AAMI Park,Melbourne Victory,Newcastle Jets,2 - 1
13,13/01/2019 07:00,Jubilee Oval,Sydney FC,Adelaide United,2 - 1
