Round Number,Date,Location,Home Team,Away Team,Result
1,07/10/2016 08:50,Suncorp Stadium,Brisbane Roar,Melbourne Victory,1 - 1
1,08/10/2016 06:35,Westpac Stadium,Wellington Phoenix,Melbourne City,0 - 1
1,08/10/2016 08:50,ANZ Stadium,Western Sydney Wanderers,Sydney FC,0 - 4
1,08/10/2016 11:00,nib Stadium,Perth Glory,Central Coast Mariners,3 - 3
1,09/10/2016 06:00,Hunter Stadium,Newcastle Jets,Adelaide United,1 - 1
2,14/10/2016 08:50,Coopers Stadium,Adelaide United,Western Sydney Wanderers,1 - 2
2,15/10/2016 06:35,Allianz Stadium,Sydney FC,Central Coast Mariners,4 - 0
2,15/10/2016 08:50,Etihad Stadium,Melbourne Victory,Melbourne City,1 - 4
2,16/10/2016 06:00,Hunter Stadium,Newcastle Jets,Brisbane Roar,4 - 0
2,16/10/2016 08:00,nib Stadium,Perth Glory,Wellington Phoenix,2 - 0
3,21/10/2016 08:50,AAMI Park,Melbourne City,Perth Glory,2 - 3
3,22/10/2016 06:35,Central Coast Stadium,Central Coast Mariners,Brisbane Roar,0 - 1
3,22/10/2016 08:50,Coopers Stadium,Adelaide United,Melbourne Victory,1 - 2
3,23/10/2016 06:00,Westpac Stadium,Wellington Phoenix,Sydney FC,0 - 1
3,23/10/2016 08:00,Spotless Stadium,Western Sydney Wanderers,Newcastle Jets,2 - 2
4,28/10/2016 08:50,AAMI Park,Melbourne City,Adelaide United,2 - 1
4,29/10/2016 06:35,Hunter Stadium,Newcastle Jets,Sydney FC,0 - 2
4,29/10/2016 08:50,Spotless Stadium,Western Sydney Wanderers,Central Coast Mariners,1 - 1
4,30/10/2016 06:00,Suncorp Stadium,Brisbane Roar,Perth Glory,2 - 1
4,31/10/2016 08:50,Etihad Stadium,Melbourne Victory,Wellington Phoenix,6 - 1
5,04/11/2016 08:50,Suncorp Stadium,Brisbane Roar,Melbourne City,1 - 0
5,05/11/2016 06:35,Westpac Stadium,Wellington Phoenix,Newcastle Jets,2 - 0
5,05/11/2016 08:50,Allianz Stadium,Sydney FC,Melbourne Victory,2 - 1
5,06/11/2016 07:00,Coopers Stadium,Adelaide United,Central Coast Mariners,1 - 2
5,06/11/2016 08:00,nib Stadium,Perth Glory,Western Sydney Wanderers,2 - 2
6,10/11/2016 08:50,Suncorp Stadium,Melbourne City,Newcastle Jets,2 - 1
6,11/11/2016 08:50,Coopers Stadium,Adelaide United,Brisbane Roar,1 - 1
6,12/11/2016 06:35,GIO Stadium,Central Coast Mariners,Wellington Phoenix,0 - 2
6,12/11/2016 08:50,Etihad Stadium,Melbourne Victory,Western Sydney Wanderers,3 - 0
6,13/11/2016 06:00,Allianz Stadium,Sydney FC,Perth Glory,4 - 1
7,18/11/2016 08:50,Spotless Stadium,Western Sydney Wanderers,Melbourne City,1 - 1
7,18/11/2016 11:00,nib Stadium,Perth Glory,Adelaide United,3 - 1
7,19/11/2016 06:35,Westpac Stadium,Wellington Phoenix,Melbourne Victory,
7,19/11/2016 08:50,Suncorp Stadium,Brisbane Roar,Sydney FC,1 - 1
7,20/11/2016 06:00,Hunter Stadium,Newcastle Jets,Central Coast Mariners,1 - 1
8,24/11/2016 08:50,Central Coast Stadium,Central Coast Mariners,Perth Glory,2 - 0
8,25/11/2016 08:50,Spotless Stadium,Western Sydney Wanderers,Brisbane Roar,1 - 1
8,26/11/2016 06:35,AAMI Park,Melbourne Victory,Newcastle Jets,2 - 0
8,26/11/2016 08:50,Allianz Stadium,Sydney FC,Adelaide United,0 - 0
8,27/11/2016 06:00,AAMI Park,Melbourne City,Wellington Phoenix,2 - 1
9,02/12/2016 08:50,AAMI Park,Melbourne Victory,Perth Glory,1 - 1
9,03/12/2016 06:35,Central Coast Stadium,Central Coast Mariners,Western Sydney Wanderers,1 - 4
9,03/12/2016 08:50,AAMI Park,Melbourne City,Brisbane Roar,1 - 1
9,04/12/2016 06:00,Hunter Stadium,Newcastle Jets,Sydney FC,0 - 2
9,04/12/2016 08:00,Coopers Stadium,Adelaide United,Wellington Phoenix,2 - 0
10,09/12/2016 08:50,Allianz Stadium,Sydney FC,Melbourne City,1 - 1
10,10/12/2016 08:35,Waikato Stadium,Wellington Phoenix,Central Coast Mariners,3 - 0
10,10/12/2016 08:50,ANZ Stadium,Western Sydney Wanderers,Melbourne Victory,0 - 3
10,10/12/2016 11:00,nib Stadium,Perth Glory,Newcastle Jets,1 - 2
10,11/12/2016 06:00,Suncorp Stadium,Brisbane Roar,Adelaide United,4 - 0
11,16/12/2016 08:50,Hunter Stadium,Newcastle Jets,Adelaide United,2 - 1
11,17/12/2016 06:35,Mt Smart Stadium,Wellington Phoenix,Western Sydney Wanderers,2 - 2
11,17/12/2016 08:50,AAMI Park,Melbourne City,Melbourne Victory,1 - 2
11,17/12/2016 11:00,nib Stadium,Perth Glory,Sydney FC,1 - 4
11,18/12/2016 06:00,Central Coast Stadium,Central Coast Mariners,Brisbane Roar,1 - 2
12,23/12/2016 08:50,Suncorp Stadium,Brisbane Roar,Western Sydney Wanderers,1 - 1
