Round Number,Date,Location,Home Team,Away Team,Result
1,11/10/2019 08:30,Coopers Stadium,Adelaide United,Sydney FC,2 - 3
1,12/10/2019 06:00,Bankwest Stadium,Western Sydney Wanderers FC,Central Coast Mariners,2 - 1
1,12/10/2019 08:30,Marvel Stadium,Melbourne Victory,Melbourne City FC,0 - 0
1,13/10/2019 05:00,Sky Stadium,Wellington Phoenix,Western United FC,0 - 1
1,13/10/2019 07:00,HBF Park,Perth Glory,Brisbane Roar FC,1 - 1
2,18/10/2019 08:30,Marvel Stadium,Melbourne Victory,Western Sydney Wanderers FC,1 - 2
2,19/10/2019 06:00,GMHBA Stadium,Western United FC,Perth Glory,1 - 1
2,19/10/2019 08:30,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,1 - 1
2,20/10/2019 05:00,AAMI Park,Melbourne City FC,Adelaide United,2 - 1
2,20/10/2019 07:00,Leichhardt Oval,Sydney FC,Wellington Phoenix,2 - 1
3,25/10/2019 08:30,Suncorp Stadium,Brisbane Roar FC,Melbourne Victory,0 - 1
3,26/10/2019 06:00,McDonald Jones Stadium,Newcastle Jets,Adelaide United,1 - 2
3,26/10/2019 08:30,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,1 - 0
3,27/10/2019 05:00,Sky Stadium,Wellington Phoenix,Perth Glory,1 - 2
3,27/10/2019 07:00,GMHBA Stadium,Western United FC,Melbourne City FC,1 - 2
4,01/11/2019 08:30,Leichhardt Oval,Sydney FC,Newcastle Jets,4 - 1
4,02/11/2019 06:00,Bankwest Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,0 - 0
4,02/11/2019 08:30,Marvel Stadium,Melbourne Victory,Western United FC,2 - 3
4,03/11/2019 05:00,AAMI Park,Melbourne City FC,Wellington Phoenix,3 - 2
4,03/11/2019 07:00,HBF Park,Perth Glory,Central Coast Mariners,1 - 2
5,08/11/2019 08:30,AAMI Park,Melbourne City FC,Central Coast Mariners,3 - 1
5,09/11/2019 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,1 - 1
5,09/11/2019 08:30,GMHBA Stadium,Western United FC,Western Sydney Wanderers FC,2 - 1
5,10/11/2019 05:00,AAMI Park,Melbourne Victory,Wellington Phoenix,1 - 1
5,10/11/2019 07:00,Coopers Stadium,Adelaide United,Brisbane Roar FC,1 - 0
6,16/11/2019 06:00,Central Coast Stadium,Central Coast Mariners,Adelaide United,1 - 3
6,16/11/2019 08:30,GMHBA Stadium,Western United FC,Newcastle Jets,0 - 1
6,17/11/2019 05:00,Dolphin Stadium,Brisbane Roar FC,Melbourne City FC,4 - 3
6,17/11/2019 07:30,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,2 - 1
7,22/11/2019 09:06,Bankwest Stadium,Western Sydney Wanderers FC,Melbourne City FC,2 - 3
7,23/11/2019 06:00,Sky Stadium,Wellington Phoenix,Brisbane Roar FC,2 - 1
7,23/11/2019 08:30,Coopers Stadium,Adelaide United,Melbourne Victory,3 - 1
7,23/11/2019 10:45,HBF Park,Perth Glory,Sydney FC,1 - 3
7,24/11/2019 07:00,Central Coast Stadium,Central Coast Mariners,Western United FC,1 - 0
8,29/11/2019 08:30,AAMI Park,Melbourne Victory,Perth Glory,1 - 0
8,30/11/2019 06:00,Suncorp Stadium,Brisbane Roar FC,Central Coast Mariners,2 - 0
8,30/11/2019 08:30,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers FC,2 - 0
8,01/12/2019 05:00,GMHBA Stadium,Western United FC,Sydney FC,0 - 2
8,01/12/2019 07:00,Coopers Stadium,Adelaide United,Wellington Phoenix,1 - 2
9,06/12/2019 08:30,AAMI Park,Melbourne City FC,Perth Glory,0 - 3
9,07/12/2019 06:00,Eden Park,Wellington Phoenix,Western Sydney Wanderers FC,2 - 1
9,07/12/2019 08:30,Netstrata Jubilee Stadium,Sydney FC,Brisbane Roar FC,5 - 1
9,08/12/2019 05:00,GMHBA Stadium,Western United FC,Melbourne Victory,3 - 1
9,08/12/2019 07:00,Coopers Stadium,Adelaide United,Newcastle Jets,2 - 1
10,13/12/2019 08:30,Suncorp Stadium,Brisbane Roar FC,Western United FC,0 - 2
10,14/12/2019 06:00,AAMI Park,Melbourne Victory,Wellington Phoenix,0 - 0
10,14/12/2019 08:30,Netstrata Jubilee Stadium,Sydney FC,Central Coast Mariners,1 - 0
10,14/12/2019 10:45,HBF Park,Perth Glory,Western Sydney Wanderers FC,2 - 0
10,15/12/2019 07:30,McDonald Jones Stadium,Newcastle Jets,Melbourne City FC,0 - 4
11,20/12/2019 08:30,Bankwest Stadium,Western Sydney Wanderers FC,Western United FC,1 - 1
11,21/12/2019 03:45,Sky Stadium,Wellington Phoenix,Sydney FC,2 - 2
11,21/12/2019 06:00,AAMI Park,Melbourne City FC,Melbourne Victory,1 - 2
11,21/12/2019 08:30,HBF Park,Perth Glory,Newcastle Jets,6 - 2
11,22/12/2019 07:00,Central Coast Stadium,Central Coast Mariners,Adelaide United,2 - 1
12,27/12/2019 08:30,Coopers Stadium,Adelaide United,Western Sydney Wanderers FC,2 - 3
