419983,2015,french+ligue+1,360,DA020E,Manchester United,160,000040,Paris Saint-Germain 
419987,2015,french+ligue+1,160,000040,Paris Saint-Germain ,363,034694,Chelsea
419992,2015,french+ligue+1,160,000040,Paris Saint-Germain ,109,792DCD,Fiorentina
419993,2015,french+ligue+1,1929,ca281d,Benfica,160,000040,Paris Saint-Germain 
424365,2015,french+ligue+1,169,ef2f24,Stade Rennes,173,0000bf,Bastia
424366,2015,french+ligue+1,2927,0000bf,Caen,159,00003e,Bordeaux
424367,2015,french+ligue+1,273,ff4a00,Lorient,7707,96bfdb,GFC Ajaccio
424368,2015,french+ligue+1,178,009f00,St Etienne,166,ef2f24,Lille
424369,2015,french+ligue+1,3243,ef2f24,Stade de Reims,167,0000bf,Lyon
424370,2015,french+ligue+1,170,0000bf,Troyes,176,6AAEC3,Marseille
424371,2015,french+ligue+1,174,E91514,AS Monaco,274,0000bf,Montpellier
424372,2015,french+ligue+1,160,000040,Paris Saint-Germain ,165,ffff00,Nantes
424373,2015,french+ligue+1,171,ef2f24,Guingamp,2502,1a1a1a,Nice
424374,2015,french+ligue+1,7868,1a1a1a,Angers,179,6000bf,Toulouse
424375,2015,french+ligue+1,173,0000bf,Bastia,7868,1a1a1a,Angers
424376,2015,french+ligue+1,165,ffff00,Nantes,2927,0000bf,Caen
424377,2015,french+ligue+1,166,ef2f24,Lille,171,1a1a1a,Guingamp
424378,2015,french+ligue+1,159,00003e,Bordeaux,273,ff4a00,Lorient
424379,2015,french+ligue+1,167,0000bf,Lyon,174,E91514,AS Monaco
424380,2015,french+ligue+1,7707,E91514,GFC Ajaccio,160,000040,Paris Saint-Germain 
424381,2015,french+ligue+1,176,6AAEC3,Marseille,3243,ef2f24,Stade de Reims
424382,2015,french+ligue+1,274,0000bf,Montpellier,169,ef2f24,Stade Rennes
424383,2015,french+ligue+1,2502,C60000,Nice,178,009f00,St Etienne
424384,2015,french+ligue+1,179,6000bf,Toulouse,170,0000bf,Troyes
424385,2015,french+ligue+1,2927,0000bf,Caen,173,C8142F,Bastia
424386,2015,french+ligue+1,170,0000bf,Troyes,159,00003e,Bordeaux
424387,2015,french+ligue+1,167,0000bf,Lyon,7707,E91514,GFC Ajaccio
424388,2015,french+ligue+1,174,E91514,AS Monaco,171,1a1a1a,Guingamp
424389,2015,french+ligue+1,273,ff4a00,Lorient,166,ffff00,Lille
424390,2015,french+ligue+1,7868,1a1a1a,Angers,176,6AAEC3,Marseille
424391,2015,french+ligue+1,3243,ef2f24,Stade de Reims,274,0000bf,Montpellier
424392,2015,french+ligue+1,165,ffff00,Nantes,2502,C60000,Nice
424393,2015,french+ligue+1,160,000040,Paris Saint-Germain ,169,ef2f24,Stade Rennes
424394,2015,french+ligue+1,178,009f00,St Etienne,179,6000bf,Toulouse
424395,2015,french+ligue+1,166,ef2f24,Lille,7868,1a1a1a,Angers
424396,2015,french+ligue+1,7707,E91514,GFC Ajaccio,173,0000bf,Bastia
424397,2015,french+ligue+1,171,ef2f24,Guingamp,2927,0000bf,Caen
424398,2015,french+ligue+1,178,009f00,St Etienne,273,ff4a00,Lorient
424399,2015,french+ligue+1,179,6000bf,Toulouse,167,0000bf,Lyon
424400,2015,french+ligue+1,169,ef2f24,Stade Rennes,174,00003e,AS Monaco
424401,2015,french+ligue+1,176,6AAEC3,Marseille,165,ffff00,Nantes
424402,2015,french+ligue+1,159,00003e,Bordeaux,160,C60000,Paris Saint-Germain 
424403,2015,french+ligue+1,2502,C60000,Nice,3243,1a1a1a,Stade de Reims
424404,2015,french+ligue+1,274,0000bf,Montpellier,170,00003e,Troyes
424405,2015,french+ligue+1,159,00003e,Bordeaux,7868,ff4000,Angers
424406,2015,french+ligue+1,160,000040,Paris Saint-Germain ,2927,0000bf,Caen
424407,2015,french+ligue+1,169,ef2f24,Stade Rennes,171,1a1a1a,Guingamp
424408,2015,french+ligue+1,7707,E91514,GFC Ajaccio,166,ffff00,Lille
424409,2015,french+ligue+1,174,E91514,AS Monaco,176,6AAEC3,Marseille
424410,2015,french+ligue+1,165,ffff00,Nantes,274,0000bf,Montpellier
424411,2015,french+ligue+1,167,0000bf,Lyon,2502,C60000,Nice
424412,2015,french+ligue+1,170,0000bf,Troyes,3243,ef2f24,Stade de Reims
424413,2015,french+ligue+1,173,0000bf,Bastia,178,009f00,St Etienne
424414,2015,french+ligue+1,273,ff4a00,Lorient,179,6000bf,Toulouse
424415,2015,french+ligue+1,179,6000bf,Toulouse,173,0000bf,Bastia
424416,2015,french+ligue+1,176,6AAEC3,Marseille,159,00003e,Bordeaux
424417,2015,french+ligue+1,7868,1a1a1a,Angers,7707,E91514,GFC Ajaccio
424418,2015,french+ligue+1,2927,0000bf,Caen,273,ff4a00,Lorient
424419,2015,french+ligue+1,274,0000bf,Montpellier,167,1a1a1a,Lyon
424420,2015,french+ligue+1,166,ef2f24,Lille,174,00003e,AS Monaco
424421,2015,french+ligue+1,3243,ef2f24,Stade de Reims,165,ffff00,Nantes
424422,2015,french+ligue+1,171,ef2f24,Guingamp,160,000040,Paris Saint-Germain 
424423,2015,french+ligue+1,2502,C60000,Nice,169,1a1a1a,Stade Rennes
424424,2015,french+ligue+1,178,009f00,St Etienne,170,0000bf,Troyes
424425,2015,french+ligue+1,170,0000bf,Troyes,7868,1a1a1a,Angers
424426,2015,french+ligue+1,174,E91514,AS Monaco,159,00003e,Bordeaux
424427,2015,french+ligue+1,179,6000bf,Toulouse,2927,0000bf,Caen
424428,2015,french+ligue+1,165,ffff00,Nantes,166,ef2f24,Lille
424429,2015,french+ligue+1,273,ff4a00,Lorient,167,0000bf,Lyon
424430,2015,french+ligue+1,173,0000bf,Bastia,176,6AAEC3,Marseille
424431,2015,french+ligue+1,171,ef2f24,Guingamp,274,0000bf,Montpellier
424432,2015,french+ligue+1,160,000040,Paris Saint-Germain ,2502,C60000,Nice
424433,2015,french+ligue+1,169,ef2f24,Stade Rennes,3243,1a1a1a,Stade de Reims
424434,2015,french+ligue+1,7707,E91514,GFC Ajaccio,178,009f00,St Etienne
424435,2015,french+ligue+1,159,00003e,Bordeaux,173,0000bf,Bastia
424436,2015,french+ligue+1,2502,C60000,Nice,7707,96bfdb,GFC Ajaccio
424437,2015,french+ligue+1,3243,ef2f24,Stade de Reims,171,1a1a1a,Guingamp
424438,2015,french+ligue+1,7868,1a1a1a,Angers,273,ff4a00,Lorient
424439,2015,french+ligue+1,160,000040,Paris Saint-Germain ,174,E91514,AS Monaco
424440,2015,french+ligue+1,178,009f00,St Etienne,274,0000bf,Montpellier
424441,2015,french+ligue+1,167,0000bf,Lyon,165,ffff00,Nantes
424442,2015,french+ligue+1,176,6AAEC3,Marseille,169,ef2f24,Stade Rennes
424443,2015,french+ligue+1,166,ef2f24,Lille,179,6000bf,Toulouse
424444,2015,french+ligue+1,2927,0000bf,Caen,170,00003e,Troyes
424445,2015,french+ligue+1,165,ffff00,Nantes,7868,1a1a1a,Angers
424446,2015,french+ligue+1,179,6000bf,Toulouse,159,00003e,Bordeaux
424447,2015,french+ligue+1,7707,E91514,GFC Ajaccio,2927,0000bf,Caen
424448,2015,french+ligue+1,173,0000bf,Bastia,166,ef2f24,Lille
424449,2015,french+ligue+1,169,ef2f24,Stade Rennes,167,0000bf,Lyon
424450,2015,french+ligue+1,273,ff4a00,Lorient,176,6AAEC3,Marseille
424451,2015,french+ligue+1,274,0000bf,Montpellier,2502,C60000,Nice
424452,2015,french+ligue+1,170,0000bf,Troyes,160,000040,Paris Saint-Germain 
424453,2015,french+ligue+1,174,E91514,AS Monaco,3243,1a1a1a,Stade de Reims
424454,2015,french+ligue+1,171,ef2f24,Guingamp,178,009f00,St Etienne
424455,2015,french+ligue+1,159,00003e,Bordeaux,7707,E91514,GFC Ajaccio
424456,2015,french+ligue+1,167,0000bf,Lyon,171,ef2f24,Guingamp
424457,2015,french+ligue+1,173,0000bf,Bastia,273,ff4a00,Lorient
424458,2015,french+ligue+1,2927,0000bf,Caen,174,E91514,AS Monaco
424459,2015,french+ligue+1,160,000040,Paris Saint-Germain ,274,0000bf,Montpellier
424460,2015,french+ligue+1,169,ef2f24,Stade Rennes,165,ffff00,Nantes
424461,2015,french+ligue+1,166,ef2f24,Lille,3243,1a1a1a,Stade de Reims
424462,2015,french+ligue+1,7868,1a1a1a,Angers,178,009f00,St Etienne
424463,2015,french+ligue+1,176,6AAEC3,Marseille,179,6000bf,Toulouse
424464,2015,french+ligue+1,2502,C60000,Nice,170,0000bf,Troyes
424465,2015,french+ligue+1,171,ef2f24,Guingamp,7868,1a1a1a,Angers
424466,2015,french+ligue+1,2502,C60000,Nice,173,0000bf,Bastia
424467,2015,french+ligue+1,3243,ef2f24,Stade de Reims,159,00003e,Bordeaux
424468,2015,french+ligue+1,178,009f00,St Etienne,2927,0000bf,Caen
424469,2015,french+ligue+1,274,0000bf,Montpellier,166,ef2f24,Lille
424470,2015,french+ligue+1,170,0000bf,Troyes,273,ff4a00,Lorient
424471,2015,french+ligue+1,7707,E91514,GFC Ajaccio,176,6AAEC3,Marseille
424472,2015,french+ligue+1,165,ffff00,Nantes,174,E91514,AS Monaco
424473,2015,french+ligue+1,167,0000bf,Lyon,160,000040,Paris Saint-Germain 
424474,2015,french+ligue+1,179,6000bf,Toulouse,169,ef2f24,Stade Rennes
424475,2015,french+ligue+1,179,6000bf,Toulouse,7707,E91514,GFC Ajaccio
424476,2015,french+ligue+1,273,ff4a00,Lorient,171,1a1a1a,Guingamp
424477,2015,french+ligue+1,166,ef2f24,Lille,167,0000bf,Lyon
424478,2015,french+ligue+1,7868,1a1a1a,Angers,274,0000bf,Montpellier
424479,2015,french+ligue+1,173,0000bf,Bastia,165,ffff00,Nantes
424480,2015,french+ligue+1,159,00003e,Bordeaux,2502,C60000,Nice
424481,2015,french+ligue+1,160,000040,Paris Saint-Germain ,3243,ef2f24,Stade de Reims
424482,2015,french+ligue+1,2927,0000bf,Caen,169,ef2f24,Stade Rennes
424483,2015,french+ligue+1,176,6AAEC3,Marseille,178,009f00,St Etienne
424484,2015,french+ligue+1,174,E91514,AS Monaco,170,0000bf,Troyes
424485,2015,french+ligue+1,169,ef2f24,Stade Rennes,7868,1a1a1a,Angers
424486,2015,french+ligue+1,3243,ef2f24,Stade de Reims,173,0000bf,Bastia
424487,2015,french+ligue+1,171,ef2f24,Guingamp,159,00003e,Bordeaux
424488,2015,french+ligue+1,167,0000bf,Lyon,2927,C60000,Caen
424489,2015,french+ligue+1,170,0000bf,Troyes,7707,E91514,GFC Ajaccio
424490,2015,french+ligue+1,160,000040,Paris Saint-Germain ,166,ef2f24,Lille
424491,2015,french+ligue+1,165,ffff00,Nantes,273,ff4a00,Lorient
424492,2015,french+ligue+1,2502,C60000,Nice,176,6AAEC3,Marseille
424493,2015,french+ligue+1,178,009f00,St Etienne,174,E91514,AS Monaco
424494,2015,french+ligue+1,274,0000bf,Montpellier,179,6000bf,Toulouse
424495,2015,french+ligue+1,7707,E91514,GFC Ajaccio,171,1a1a1a,Guingamp
424496,2015,french+ligue+1,7868,1a1a1a,Angers,167,0000bf,Lyon
424497,2015,french+ligue+1,273,ff4a00,Lorient,274,0000bf,Montpellier
424498,2015,french+ligue+1,179,6000bf,Toulouse,165,ffff00,Nantes
424499,2015,french+ligue+1,174,E91514,AS Monaco,2502,1a1a1a,Nice
424500,2015,french+ligue+1,176,6AAEC3,Marseille,160,000040,Paris Saint-Germain 
424501,2015,french+ligue+1,2927,0000bf,Caen,3243,ef2f24,Stade de Reims
424502,2015,french+ligue+1,166,ef2f24,Lille,169,1a1a1a,Stade Rennes
424503,2015,french+ligue+1,159,00003e,Bordeaux,178,009f00,St Etienne
424504,2015,french+ligue+1,173,0000bf,Bastia,170,00003e,Troyes
424505,2015,french+ligue+1,3243,ef2f24,Stade de Reims,7868,1a1a1a,Angers
424506,2015,french+ligue+1,174,E91514,AS Monaco,173,0000bf,Bastia
424507,2015,french+ligue+1,167,0000bf,Lyon,159,00003e,Bordeaux
424508,2015,french+ligue+1,166,ef2f24,Lille,2927,0000bf,Caen
424509,2015,french+ligue+1,165,ffff00,Nantes,7707,E91514,GFC Ajaccio
424510,2015,french+ligue+1,160,000040,Paris Saint-Germain ,273,ff4a00,Lorient
424511,2015,french+ligue+1,274,0000bf,Montpellier,176,6AAEC3,Marseille
424512,2015,french+ligue+1,169,ef2f24,Stade Rennes,178,009f00,St Etienne
424513,2015,french+ligue+1,2502,C60000,Nice,179,6000bf,Toulouse
424514,2015,french+ligue+1,171,ef2f24,Guingamp,170,0000bf,Troyes
424515,2015,french+ligue+1,179,6000bf,Toulouse,171,ef2f24,Guingamp
424516,2015,french+ligue+1,176,6AAEC3,Marseille,166,ef2f24,Lille
424517,2015,french+ligue+1,173,0000bf,Bastia,167,1a1a1a,Lyon
424518,2015,french+ligue+1,7868,1a1a1a,Angers,174,E91514,AS Monaco
424519,2015,french+ligue+1,7707,E91514,GFC Ajaccio,274,0000bf,Montpellier
424520,2015,french+ligue+1,170,0000bf,Troyes,165,ffff00,Nantes
424521,2015,french+ligue+1,2927,0000bf,Caen,2502,C60000,Nice
424522,2015,french+ligue+1,178,009f00,St Etienne,160,000040,Paris Saint-Germain 
424523,2015,french+ligue+1,273,ff4a00,Lorient,3243,1a1a1a,Stade de Reims
424524,2015,french+ligue+1,159,00003e,Bordeaux,169,ef2f24,Stade Rennes
424525,2015,french+ligue+1,160,000040,Paris Saint-Germain ,7868,ff4000,Angers
424526,2015,french+ligue+1,171,ef2f24,Guingamp,173,0000bf,Bastia
424527,2015,french+ligue+1,165,ffff00,Nantes,159,00003e,Bordeaux
424528,2015,french+ligue+1,274,0000bf,Montpellier,2927,C60000,Caen
424529,2015,french+ligue+1,169,ef2f24,Stade Rennes,7707,96bfdb,GFC Ajaccio
424530,2015,french+ligue+1,2502,C60000,Nice,273,ff4a00,Lorient
424531,2015,french+ligue+1,167,0000bf,Lyon,176,6AAEC3,Marseille
424532,2015,french+ligue+1,3243,ef2f24,Stade de Reims,178,009f00,St Etienne
424533,2015,french+ligue+1,174,E91514,AS Monaco,179,6000bf,Toulouse
424534,2015,french+ligue+1,166,ef2f24,Lille,170,0000bf,Troyes
424535,2015,french+ligue+1,2502,C60000,Nice,7868,1a1a1a,Angers
424536,2015,french+ligue+1,159,00003e,Bordeaux,166,ef2f24,Lille
424537,2015,french+ligue+1,178,009f00,St Etienne,167,0000bf,Lyon
424538,2015,french+ligue+1,2927,0000bf,Caen,176,6AAEC3,Marseille
424539,2015,french+ligue+1,273,ff4a00,Lorient,174,00003e,AS Monaco
424540,2015,french+ligue+1,173,0000bf,Bastia,274,F7AA25,Montpellier
424541,2015,french+ligue+1,171,ef2f24,Guingamp,165,ffff00,Nantes
424542,2015,french+ligue+1,179,6000bf,Toulouse,160,000040,Paris Saint-Germain 
424543,2015,french+ligue+1,7707,E91514,GFC Ajaccio,3243,1a1a1a,Stade de Reims
424544,2015,french+ligue+1,170,0000bf,Troyes,169,ef2f24,Stade Rennes
424545,2015,french+ligue+1,160,000040,Paris Saint-Germain ,173,0000bf,Bastia
424546,2015,french+ligue+1,274,0000bf,Montpellier,159,00003e,Bordeaux
424547,2015,french+ligue+1,7868,1a1a1a,Angers,2927,0000bf,Caen
424548,2015,french+ligue+1,174,E91514,AS Monaco,7707,96bfdb,GFC Ajaccio
424549,2015,french+ligue+1,176,6AAEC3,Marseille,171,ef2f24,Guingamp
424550,2015,french+ligue+1,169,ef2f24,Stade Rennes,273,1a1a1a,Lorient
424551,2015,french+ligue+1,166,ef2f24,Lille,2502,1a1a1a,Nice
424552,2015,french+ligue+1,165,ffff00,Nantes,178,009f00,St Etienne
424553,2015,french+ligue+1,3243,ef2f24,Stade de Reims,179,6000bf,Toulouse
424554,2015,french+ligue+1,167,0000bf,Lyon,170,00003e,Troyes
424555,2015,french+ligue+1,178,009f00,St Etienne,7868,1a1a1a,Angers
424556,2015,french+ligue+1,179,6000bf,Toulouse,166,ef2f24,Lille
424557,2015,french+ligue+1,7707,E91514,GFC Ajaccio,167,0000bf,Lyon
424558,2015,french+ligue+1,159,00003e,Bordeaux,176,6AAEC3,Marseille
