rk,team,str,ofs,dfs,sos
1,Manchester City,1.10,0.55,-0.55,-0.03
2,Chelsea,0.76,0.32,-0.44,-0.02
3,Liverpool,0.47,0.39,-0.08,0.03
4,Manchester Utd,0.44,0.24,-0.20,0.01
5,Brighton,0.30,0.08,-0.21,0.00
6,Arsenal,0.30,0.20,-0.10,0.03
7,Leicester City,0.27,0.18,-0.09,0.02
8,West Ham,0.13,0.12,-0.01,0.04
9,Tottenham,0.03,0.07,0.03,0.04
10,Wolves,0.03,-0.16,-0.18,0.03
11,Watford,-0.04,-0.04,0.00,0.04
12,Fulham,-0.10,-0.09,0.01,0.06
13,Everton,-0.11,-0.04,0.07,0.04
14,Aston Villa,-0.12,-0.02,0.10,0.04
15,Leeds United,-0.14,0.12,0.26,0.08
16,Southampton,-0.16,-0.06,0.10,0.06
17,Burnley,-0.19,-0.07,0.12,0.06
18,Bournemouth,-0.20,0.01,0.21,0.05
19,Newcastle Utd,-0.37,-0.26,0.10,0.05
20,West Brom,-0.48,-0.25,0.23,0.05
21,Norwich City,-0.57,-0.32,0.24,0.07
22,Sheffield Utd,-0.66,-0.44,0.22,0.10
23,Crystal Palace,-0.69,-0.52,0.17,0.08
