Season,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,4,Sun,2020-10-18,12:30,Bologna,1.4,3–4,2.8,Sassuolo,1000,Stadio Renato Dall'Ara,Daniele Doveri,Match Report,
2021,4,Sun,2020-10-18,15:00,Torino,1.7,2–3,2.1,Cagliari,1000,Stadio Olimpico di Torino,Federico La Penna,Match Report,
2021,4,Sun,2020-10-18,15:00,Spezia,1.1,2–2,1.4,Fiorentina,1000,Stadio Dino Manuzzi,Gianluca Manganiello,Match Report,
2021,4,Sun,2020-10-18,18:00,Udinese,1.3,3–2,1.0,Parma,1000,Dacia Arena,Michael Fabbri,Match Report,
2021,4,Sun,2020-10-18,20:45,Roma,4.4,5–2,1.8,Benevento,1000,Stadio Olimpico,Giovanni Ayroldi,Match Report,
2021,4,Mon,2020-10-19,20:45,Hellas Verona,1.4,0–0,0.4,Genoa,10002,Stadio Marc'Antonio Bentegodi,Antonio Rapuano,Match Report,
2021,5,Fri,2020-10-23,20:45,Sassuolo,2.0,3–3,2.1,Torino,700,Stadio Città del Tricolore,Marco Guida,Match Report,
2021,5,Sat,2020-10-24,15:00,Atalanta,2.1,1–3,1.9,Sampdoria,1000,Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese,Match Report,
2021,5,Sat,2020-10-24,18:00,Genoa,0.0,0–2,1.8,Inter,1000,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
2021,5,Sat,2020-10-24,20:45,Lazio,1.0,2–1,1.5,Bologna,1000,Stadio Olimpico,Massimiliano Irrati,Match Report,
2021,5,Sun,2020-10-25,12:30,Cagliari,2.4,4–2,1.6,Crotone,1000,Sardegna Arena,Antonio Di Martino,Match Report,
2021,5,Sun,2020-10-25,15:00,Benevento,0.5,1–2,2.1,Napoli,1000,Stadio Ciro Vigorito,Daniele Doveri,Match Report,
2021,5,Sun,2020-10-25,15:00,Parma,3.2,2–2,0.9,Spezia,1000,Stadio Ennio Tardini,Valerio Marini,Match Report,
2021,5,Sun,2020-10-25,18:00,Fiorentina,1.2,3–2,1.8,Udinese,1000,Stadio Artemio Franchi,Francesco Fourneau,Match Report,
2021,5,Sun,2020-10-25,20:45,Juventus,1.8,1–1,0.7,Hellas Verona,1000,Allianz Stadium,Fabrizio Pasqua,Match Report,
2021,5,Mon,2020-10-26,20:45,Milan,2.6,3–3,2.3,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
2021,6,Sat,2020-10-31,15:00,Crotone,0.4,1–2,2.6,Atalanta,,Stadio Ezio Scida,Federico Dionisi,Match Report,
2021,6,Sat,2020-10-31,18:00,Inter,2.5,2–2,0.7,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,Match Report,
2021,6,Sat,2020-10-31,20:45,Bologna,1.4,3–2,0.6,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,Match Report,
2021,6,Sun,2020-11-01,12:30,Udinese,1.1,1–2,1.1,Milan,,Dacia Arena,Marco Di Bello,Match Report,
2021,6,Sun,2020-11-01,15:00,Torino,2.8,3–4,1.4,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,Match Report,
2021,6,Sun,2020-11-01,15:00,Spezia,0.7,1–4,3.4,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,Match Report,
2021,6,Sun,2020-11-01,18:00,Roma,3.0,2–0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,Match Report,
2021,6,Sun,2020-11-01,18:00,Napoli,2.3,0–2,1.4,Sassuolo,,Stadio San Paolo,Maurizio Mariani,Match Report,
2021,6,Sun,2020-11-01,20:45,Sampdoria,0.7,1–1,0.6,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,Match Report,
2021,6,Mon,2020-11-02,20:45,Hellas Verona,1.7,3–1,1.6,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
2021,3,Wed,2020-11-04,17:00,Genoa,1.1,1–2,0.6,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
2021,7,Fri,2020-11-06,20:45,Sassuolo,0.1,0–0,0.1,Udinese,,Stadio Città del Tricolore,Eugenio Abbattista,Match Report,
2021,7,Sat,2020-11-07,15:00,Cagliari,2.1,2–0,0.1,Sampdoria,,Sardegna Arena,Giovanni Ayroldi,Match Report,
2021,7,Sat,2020-11-07,18:00,Benevento,0.3,0–3,0.9,Spezia,,Stadio Ciro Vigorito,Gianluca Aureliano,Match Report,
2021,7,Sat,2020-11-07,20:45,Parma,0.1,0–0,0.7,Fiorentina,,Stadio Ennio Tardini,Federico La Penna,Match Report,
2021,7,Sun,2020-11-08,12:30,Lazio,0.9,1–1,1.2,Juventus,,Stadio Olimpico,Davide Massa,Match Report,
2021,7,Sun,2020-11-08,15:00,Atalanta,0.8,1–1,1.0,Inter,,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Match Report,
2021,7,Sun,2020-11-08,15:00,Genoa,0.6,1–3,2.0,Roma,,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
2021,7,Sun,2020-11-08,15:00,Torino,0.2,0–0,0.3,Crotone,,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
2021,7,Sun,2020-11-08,18:00,Bologna,0.8,0–1,1.2,Napoli,,Stadio Renato Dall'Ara,Fabrizio Pasqua,Match Report,
2021,7,Sun,2020-11-08,20:45,Milan,3.3,2–2,1.5,Hellas Verona,,Stadio Giuseppe Meazza,Marco Guida,Match Report,
2021,8,Sat,2020-11-21,15:00,Crotone,0.6,0–2,1.8,Lazio,,Stadio Ezio Scida,Juan Sacchi,Match Report,
2021,8,Sat,2020-11-21,18:00,Spezia,0.5,0–0,1.2,Atalanta,,Stadio Dino Manuzzi,Antonio Rapuano,Match Report,
2021,8,Sat,2020-11-21,20:45,Juventus,2.1,2–0,0.1,Cagliari,,Allianz Stadium,Fabio Maresca,Match Report,
2021,8,Sun,2020-11-22,12:30,Fiorentina,0.8,0–1,0.7,Benevento,,Stadio Artemio Franchi,Davide Ghersini,Match Report,
2021,8,Sun,2020-11-22,15:00,Hellas Verona,1.2,0–2,0.5,Sassuolo,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
2021,8,Sun,2020-11-22,15:00,Inter,3.6,4–2,1.9,Torino,,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
2021,8,Sun,2020-11-22,15:00,Roma,2.8,3–0,0.0,Parma,,Stadio Olimpico,Gianluca Manganiello,Match Report,
2021,8,Sun,2020-11-22,15:00,Sampdoria,0.7,1–2,1.7,Bologna,,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
2021,8,Sun,2020-11-22,18:00,Udinese,0.5,1–0,1.0,Genoa,,Dacia Arena,Giampaolo Calvarese,Match Report,
2021,8,Sun,2020-11-22,20:45,Napoli,1.7,1–3,2.6,Milan,,Stadio San Paolo,Paolo Valeri,Match Report,
2021,9,Sat,2020-11-28,15:00,Sassuolo,0.7,0–3,1.2,Inter,,Stadio Città del Tricolore,Massimiliano Irrati,Match Report,
2021,9,Sat,2020-11-28,18:00,Benevento,0.4,1–1,1.6,Juventus,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
2021,9,Sat,2020-11-28,20:45,Atalanta,1.8,0–2,1.7,Hellas Verona,,Stadio Atleti Azzurri d'Italia,Davide Massa,Match Report,
2021,9,Sun,2020-11-29,12:30,Lazio,1.3,1–3,1.1,Udinese,,Stadio Olimpico,Gianluca Aureliano,Match Report,
2021,9,Sun,2020-11-29,15:00,Milan,2.6,2–0,0.3,Fiorentina,,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,
2021,9,Sun,2020-11-29,15:00,Bologna,1.5,1–0,0.4,Crotone,,Stadio Renato Dall'Ara,Marco Serra,Match Report,
2021,9,Sun,2020-11-29,18:00,Cagliari,2.3,2–2,2.8,Spezia,,Sardegna Arena,Valerio Marini,Match Report,
2021,9,Sun,2020-11-29,20:45,Napoli,1.9,4–0,0.3,Roma,,Stadio San Paolo,Marco Di Bello,Match Report,
2021,9,Mon,2020-11-30,18:30,Torino,1.6,2–2,1.1,Sampdoria,,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
2021,9,Mon,2020-11-30,20:45,Genoa,1.4,1–2,1.1,Parma,,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
2021,10,Sat,2020-12-05,15:00,Spezia,1.7,1–2,0.3,Lazio,,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,
2021,10,Sat,2020-12-05,18:00,Juventus,1.6,2–1,0.8,Torino,,Allianz Stadium,Daniele Orsato,Match Report,
2021,10,Sat,2020-12-05,20:45,Inter,1.5,3–1,1.3,Bologna,,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
2021,10,Sun,2020-12-06,12:30,Hellas Verona,2.8,1–1,1.2,Cagliari,,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
2021,10,Sun,2020-12-06,15:00,Parma,0.4,0–0,0.3,Benevento,,Stadio Ennio Tardini,Juan Sacchi,Match Report,
2021,10,Sun,2020-12-06,15:00,Roma,1.2,0–0,0.4,Sassuolo,,Stadio Olimpico,Fabio Maresca,Match Report,
2021,10,Sun,2020-12-06,18:00,Crotone,0.5,0–4,2.2,Napoli,,Stadio Ezio Scida,Livio Marinelli,Match Report,
2021,10,Sun,2020-12-06,20:45,Sampdoria,1.1,1–2,2.5,Milan,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
2021,10,Mon,2020-12-07,20:45,Fiorentina,2.7,1–1,1.2,Genoa,,Stadio Artemio Franchi,Daniele Doveri,Match Report,
2021,11,Fri,2020-12-11,20:45,Sassuolo,1.0,1–0,2.5,Benevento,,Stadio Città del Tricolore,Simone Sozza,Match Report,
2021,11,Sat,2020-12-12,15:00,Crotone,2.2,4–1,1.2,Spezia,,Stadio Ezio Scida,Antonio Giua,Match Report,
2021,11,Sat,2020-12-12,18:00,Torino,1.0,2–3,1.2,Udinese,,Stadio Olimpico di Torino,Davide Massa,Match Report,
2021,11,Sat,2020-12-12,20:45,Lazio,1.0,1–2,1.2,Hellas Verona,,Stadio Olimpico,Rosario Abisso,Match Report,
2021,11,Sun,2020-12-13,12:45,Cagliari,1.6,1–3,3.5,Inter,,Sardegna Arena,Fabrizio Pasqua,Match Report,
2021,11,Sun,2020-12-13,15:00,Atalanta,2.6,3–0,0.4,Fiorentina,,Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Match Report,
2021,11,Sun,2020-12-13,15:00,Bologna,0.7,1–5,3.4,Roma,,Stadio Renato Dall'Ara,Giampaolo Calvarese,Match Report,
2021,11,Sun,2020-12-13,15:00,Napoli,1.1,2–1,1.1,Sampdoria,,Stadio San Paolo,Federico La Penna,Match Report,
2021,11,Sun,2020-12-13,18:00,Genoa,0.2,1–3,2.6,Juventus,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
2021,11,Sun,2020-12-13,20:45,Milan,1.8,2–2,0.6,Parma,,Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
2021,12,Tue,2020-12-15,18:30,Udinese,1.1,0–0,0.2,Crotone,,Dacia Arena,Antonio Di Martino,Match Report,
2021,12,Tue,2020-12-15,20:45,Benevento,1.4,1–1,0.8,Lazio,,Stadio Ciro Vigorito,Luca Pairetto,Match Report,
2021,12,Wed,2020-12-16,18:30,Juventus,2.7,1–1,1.1,Atalanta,,Allianz Stadium,Daniele Doveri,Match Report,
2021,12,Wed,2020-12-16,20:45,Fiorentina,2.0,1–1,1.1,Sassuolo,,Stadio Artemio Franchi,Paolo Valeri,Match Report,
2021,12,Wed,2020-12-16,20:45,Genoa,1.2,2–2,1.5,Milan,,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
2021,12,Wed,2020-12-16,20:45,Spezia,3.7,2–2,2.0,Bologna,,Stadio Dino Manuzzi,Piero Giacomelli,Match Report,
2021,12,Wed,2020-12-16,20:45,Inter,1.1,1–0,1.7,Napoli,,Stadio Giuseppe Meazza,Davide Massa,Match Report,
2021,12,Wed,2020-12-16,20:45,Hellas Verona,1.4,1–2,0.7,Sampdoria,,Stadio Marc'Antonio Bentegodi,Riccardo Ros,Match Report,
2021,12,Wed,2020-12-16,20:45,Parma,1.0,0–0,0.3,Cagliari,,Stadio Ennio Tardini,Ivan Pezzuto,Match Report,
2021,12,Thu,2020-12-17,20:45,Roma,2.6,3–1,1.5,Torino,,Stadio Olimpico,Rosario Abisso,Match Report,
2021,13,Sat,2020-12-19,15:00,Fiorentina,1.2,1–1,1.1,Hellas Verona,,Stadio Artemio Franchi,Francesco Fourneau,Match Report,
2021,13,Sat,2020-12-19,18:00,Sampdoria,1.9,3–1,0.9,Crotone,,Stadio Comunale Luigi Ferraris,Gianluca Manganiello,Match Report,
2021,13,Sat,2020-12-19,20:45,Parma,0.7,0–4,2.5,Juventus,,Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
2021,13,Sun,2020-12-20,12:30,Torino,0.9,1–1,1.6,Bologna,,Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,
2021,13,Sun,2020-12-20,15:00,Inter,1.8,2–1,0.8,Spezia,,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,
2021,13,Sun,2020-12-20,15:00,Benevento,1.6,2–0,0.3,Genoa,,Stadio Ciro Vigorito,Antonio Giua,Match Report,
2021,13,Sun,2020-12-20,15:00,Cagliari,0.5,1–1,1.4,Udinese,,Sardegna Arena,Marco Piccinini,Match Report,
2021,13,Sun,2020-12-20,15:00,Sassuolo,0.9,1–2,1.5,Milan,,Stadio Città del Tricolore,Maurizio Mariani,Match Report,
2021,13,Sun,2020-12-20,18:00,Atalanta,2.0,4–1,0.8,Roma,,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Match Report,
2021,13,Sun,2020-12-20,20:45,Lazio,0.8,2–0,0.9,Napoli,,Stadio Olimpico,Daniele Orsato,Match Report,
2021,14,Tue,2020-12-22,18:30,Crotone,0.8,2–1,1.2,Parma,,Stadio Ezio Scida,Fabio Maresca,Match Report,
2021,14,Tue,2020-12-22,20:45,Juventus,0.4,0–3,1.0,Fiorentina,,Allianz Stadium,Federico La Penna,Match Report,
2021,14,Wed,2020-12-23,18:30,Hellas Verona,0.7,1–2,2.1,Inter,,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
2021,14,Wed,2020-12-23,20:45,Sampdoria,1.7,2–3,2.1,Sassuolo,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
2021,14,Wed,2020-12-23,20:45,Udinese,1.7,0–2,0.4,Benevento,,Dacia Arena,Manuel Volpi,Match Report,
2021,14,Wed,2020-12-23,20:45,Napoli,0.9,1–1,0.5,Torino,,Stadio San Paolo,Paolo Valeri,Match Report,
2021,14,Wed,2020-12-23,20:45,Roma,3.2,3–2,1.7,Cagliari,,Stadio Olimpico,Luca Pairetto,Match Report,
2021,14,Wed,2020-12-23,20:45,Bologna,1.0,2–2,1.5,Atalanta,,Stadio Renato Dall'Ara,Daniele Chiffi,Match Report,
2021,14,Wed,2020-12-23,20:45,Milan,1.9,3–2,1.8,Lazio,,Stadio Giuseppe Meazza,Marco Di Bello,Match Report,
2021,14,Wed,2020-12-23,20:45,Spezia,0.7,1–2,1.6,Genoa,,Stadio Dino Manuzzi,Davide Massa,Match Report,
2021,15,Sun,2021-01-03,12:30,Inter,2.5,6–2,1.6,Crotone,,Stadio Giuseppe Meazza,Gianluca Aureliano,Match Report,
2021,15,Sun,2021-01-03,15:00,Fiorentina,0.3,0–0,0.7,Bologna,,Stadio Artemio Franchi,Daniele Orsato,Match Report,
2021,15,Sun,2021-01-03,15:00,Parma,1.0,0–3,1.6,Torino,,Stadio Ennio Tardini,Daniele Doveri,Match Report,
2021,15,Sun,2021-01-03,15:00,Atalanta,2.7,5–1,0.7,Sassuolo,,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
2021,15,Sun,2021-01-03,15:00,Genoa,0.9,1–1,1.4,Lazio,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
2021,15,Sun,2021-01-03,15:00,Roma,2.1,1–0,0.4,Sampdoria,,Stadio Olimpico,Daniele Chiffi,Match Report,
2021,15,Sun,2021-01-03,15:00,Cagliari,1.0,1–4,3.8,Napoli,,Sardegna Arena,Gianluca Manganiello,Match Report,
2021,15,Sun,2021-01-03,15:00,Spezia,0.8,0–1,1.7,Hellas Verona,,Stadio Dino Manuzzi,Luca Pairetto,Match Report,
2021,15,Sun,2021-01-03,18:00,Benevento,2.5,0–2,1.5,Milan,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
2021,15,Sun,2021-01-03,20:45,Juventus,2.8,4–1,1.7,Udinese,,Allianz Stadium,Piero Giacomelli,Match Report,
2021,16,Wed,2021-01-06,12:30,Cagliari,0.9,1–2,1.2,Benevento,,Sardegna Arena,Eugenio Abbattista,Match Report,
2021,16,Wed,2021-01-06,15:00,Bologna,1.0,2–2,1.6,Udinese,,Stadio Renato Dall'Ara,Giovanni Ayroldi,Match Report,
2021,16,Wed,2021-01-06,15:00,Lazio,1.2,2–1,1.6,Fiorentina,,Stadio Olimpico,Rosario Abisso,Match Report,
2021,16,Wed,2021-01-06,15:00,Sampdoria,1.2,2–1,2.5,Inter,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
2021,16,Wed,2021-01-06,15:00,Atalanta,1.7,3–0,0.0,Parma,,Stadio Atleti Azzurri d'Italia,Juan Sacchi,Match Report,
2021,16,Wed,2021-01-06,15:00,Sassuolo,1.6,2–1,1.1,Genoa,,Stadio Città del Tricolore,Michael Fabbri,Match Report,
2021,16,Wed,2021-01-06,15:00,Torino,1.4,1–1,0.4,Hellas Verona,,Stadio Olimpico di Torino,Marco Di Bello,Match Report,
2021,16,Wed,2021-01-06,15:00,Crotone,0.8,1–3,2.2,Roma,,Stadio Ezio Scida,Marco Piccinini,Match Report,
2021,16,Wed,2021-01-06,18:00,Napoli,3.6,1–2,2.0,Spezia,,Stadio San Paolo,Maurizio Mariani,Match Report,
2021,16,Wed,2021-01-06,20:45,Milan,1.3,1–3,1.7,Juventus,,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
2021,17,Sat,2021-01-09,15:00,Benevento,0.9,1–4,4.3,Atalanta,,Stadio Ciro Vigorito,Gianluca Manganiello,Match Report,
2021,17,Sat,2021-01-09,18:00,Genoa,1.4,2–0,0.5,Bologna,,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
2021,17,Sat,2021-01-09,20:45,Milan,1.6,2–0,0.6,Torino,,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
2021,17,Sun,2021-01-10,12:30,Roma,1.1,2–2,2.0,Inter,,Stadio Olimpico,Marco Di Bello,Match Report,
2021,17,Sun,2021-01-10,15:00,Udinese,2.8,1–2,1.9,Napoli,,Dacia Arena,Fabrizio Pasqua,Match Report,
2021,17,Sun,2021-01-10,15:00,Parma,0.6,0–2,3.6,Lazio,,Stadio Ennio Tardini,Luca Pairetto,Match Report,
2021,17,Sun,2021-01-10,15:00,Hellas Verona,1.1,2–1,0.7,Crotone,,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
2021,17,Sun,2021-01-10,18:00,Fiorentina,2.0,1–0,1.3,Cagliari,,Stadio Artemio Franchi,Piero Giacomelli,Match Report,
2021,17,Sun,2021-01-10,20:45,Juventus,3.6,3–1,1.1,Sassuolo,,Allianz Stadium,Davide Massa,Match Report,
2021,17,Mon,2021-01-11,20:45,Spezia,1.4,2–1,1.0,Sampdoria,,Stadio Dino Manuzzi,Marco Piccinini,Match Report,
2021,18,Fri,2021-01-15,20:45,Lazio,1.0,3–0,1.3,Roma,,Stadio Olimpico,Daniele Orsato,Match Report,
2021,18,Sat,2021-01-16,15:00,Bologna,1.8,1–0,0.9,Hellas Verona,,Stadio Renato Dall'Ara,Maurizio Mariani,Match Report,
2021,18,Sat,2021-01-16,18:00,Torino,1.0,0–0,0.4,Spezia,,Stadio Olimpico di Torino,Michael Fabbri,Match Report,
2021,18,Sat,2021-01-16,20:45,Sampdoria,1.9,2–1,1.9,Udinese,,Stadio Comunale Luigi Ferraris,Juan Sacchi,Match Report,
2021,18,Sun,2021-01-17,12:30,Napoli,1.8,6–0,0.9,Fiorentina,,Stadio San Paolo,Daniele Chiffi,Match Report,
2021,18,Sun,2021-01-17,15:00,Crotone,1.4,4–1,2.4,Benevento,,Stadio Ezio Scida,Simone Sozza,Match Report,
2021,18,Sun,2021-01-17,15:00,Sassuolo,1.8,1–1,0.9,Parma,,Stadio Città del Tricolore,Ivan Pezzuto,Match Report,
2021,18,Sun,2021-01-17,18:00,Atalanta,1.8,0–0,0.8,Genoa,,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Match Report,
2021,18,Sun,2021-01-17,20:45,Inter,2.0,2–0,0.5,Juventus,,Stadio Giuseppe Meazza,Daniele Doveri,Match Report,
2021,18,Mon,2021-01-18,20:45,Cagliari,1.2,0–2,2.0,Milan,,Sardegna Arena,Rosario Abisso,Match Report,
2021,10,Wed,2021-01-20,15:00,Udinese,0.3,1–1,1.4,Atalanta,,Dacia Arena,Giampaolo Calvarese,Match Report,
2021,19,Fri,2021-01-22,20:45,Benevento,1.9,2–2,1.5,Torino,,Stadio Ciro Vigorito,Piero Giacomelli,Match Report,
2021,19,Sat,2021-01-23,15:00,Roma,2.6,4–3,1.2,Spezia,,Stadio Olimpico,Luca Pairetto,Match Report,
2021,19,Sat,2021-01-23,18:00,Milan,1.6,0–3,2.4,Atalanta,,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
2021,19,Sat,2021-01-23,18:00,Udinese,0.5,0–0,0.8,Inter,,Dacia Arena,Fabio Maresca,Match Report,
2021,19,Sat,2021-01-23,20:45,Fiorentina,1.6,2–1,0.7,Crotone,,Stadio Artemio Franchi,Marco Piccinini,Match Report,
2021,19,Sun,2021-01-24,12:30,Juventus,2.7,2–0,0.5,Bologna,,Allianz Stadium,Juan Sacchi,Match Report,
2021,19,Sun,2021-01-24,15:00,Genoa,1.9,1–0,1.1,Cagliari,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
2021,19,Sun,2021-01-24,15:00,Hellas Verona,1.7,3–1,0.9,Napoli,,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
2021,19,Sun,2021-01-24,18:00,Lazio,1.4,2–1,0.6,Sassuolo,,Stadio Olimpico,Antonio Giua,Match Report,
2021,19,Sun,2021-01-24,20:45,Parma,0.8,0–2,1.3,Sampdoria,,Stadio Ennio Tardini,Gianluca Manganiello,Match Report,
2021,20,Fri,2021-01-29,20:45,Torino,2.1,1–1,1.3,Fiorentina,,Stadio Olimpico di Torino,Marco Di Bello,Match Report,
