Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,,Sat,2020-02-29,13:00,D.C. United,0.9,1–2,2.0,Colorado,16932,Audi Field,Nima Saghafi,Match Report,
Regular Season,,Sat,2020-02-29,15:00,Montreal,1.4,2–1,1.4,New England,21006,Olympic Stadium,Chris Penso,Match Report,
Regular Season,,Sat,2020-02-29,14:30 (15:30),Houston,0.9,1–1,1.3,LA Galaxy,22039,BBVA Compass Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-02-29,14:30 (17:30),San Jose,0.7,2–2,1.8,Toronto FC,18000,Avaya Stadium,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-02-29,17:00 (18:00),FC Dallas,1.4,2–0,0.7,Philadelphia,16219,Toyota Stadium,Robert Sibiga,Match Report,
Regular Season,,Sat,2020-02-29,18:00,Orlando City,0.7,0–0,0.2,Real Salt Lake,25527,Exploria Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-02-29,19:00 (20:00),Nashville,0.5,1–2,0.2,Atlanta,59069,Nissan Stadium,Drew Fischer,Match Report,
Regular Season,,Sat,2020-02-29,19:30 (22:30),Vancouver,1.8,1–3,0.5,Sporting KC,22120,BC Place,Ted Unkel,Match Report,
Regular Season,,Sun,2020-03-01,12:30,Columbus,1.7,1–0,0.3,NYCFC,17473,MAPFRE Stadium,Ramy Touchan,Match Report,
Regular Season,,Sun,2020-03-01,13:00,NY Red Bulls,2.1,3–2,2.1,FC Cincinnati,15703,Red Bull Arena,Dave Gantar,Match Report,
Regular Season,,Sun,2020-03-01,12:00 (15:00),Seattle,4.4,2–1,0.5,Chicago,40126,CenturyLink Field,Alex Chilowicz,Match Report,
Regular Season,,Sun,2020-03-01,14:30 (17:30),Los Angeles FC,2.1,1–0,1.5,Miami,22121,Banc of California Stadium,Allen Chapman,Match Report,
Regular Season,,Sun,2020-03-01,16:30 (19:30),Portland,1.8,1–3,1.5,Minnesota,25218,Providence Park,Ismail Elfath,Match Report,
Regular Season,,Sat,2020-03-07,13:30,New England,2.2,1–1,0.9,Chicago,15289,Gillette Stadium,Fotis Bazakos,Match Report,
Regular Season,,Sat,2020-03-07,12:00 (14:00),Real Salt Lake,3.1,1–1,0.2,NY Red Bulls,18093,Rio Tinto Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Sat,2020-03-07,14:00 (15:00),FC Dallas,1.7,2–2,1.3,Montreal,15865,Toyota Stadium,Victor Rivas,Match Report,
Regular Season,,Sat,2020-03-07,15:30,D.C. United,1.1,2–1,1.4,Miami,17183,Audi Field,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-03-07,17:00,Toronto FC,2.6,1–0,0.6,NYCFC,26171,BMO Field,Ted Unkel,Match Report,
Regular Season,,Sat,2020-03-07,19:00,Atlanta,1.9,2–1,1.4,FC Cincinnati,69301,Mercedes-Benz Stadium,Robert Sibiga,Match Report,
Regular Season,,Sat,2020-03-07,17:00 (20:00),San Jose,1.9,2–5,2.4,Minnesota,12223,Avaya Stadium,Baldomero Toledo,Match Report,
Regular Season,,Sat,2020-03-07,19:30 (20:30),Sporting KC,2.3,4–0,0.8,Houston,21188,Children's Mercy Park,Allen Chapman,Match Report,
Regular Season,,Sat,2020-03-07,19:00 (21:00),Colorado,1.0,2–1,0.6,Orlando City,13062,Dick's Sporting Goods Park,Joe Dickerson,Match Report,
Regular Season,,Sat,2020-03-07,19:00 (22:00),Seattle,2.1,1–1,1.3,Columbus,33080,CenturyLink Field,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-03-07,19:00 (22:00),LA Galaxy,0.7,0–1,1.2,Vancouver,26382,Dignity Health Sports Park,Ismail Elfath,Match Report,
Regular Season,,Sun,2020-03-08,16:00 (19:00),Portland,0.3,1–0,0.7,Nashville,25518,Providence Park,Armando Villarreal,Match Report,
Regular Season,,Sun,2020-03-08,19:30 (22:30),Los Angeles FC,2.3,3–3,1.4,Philadelphia,22112,Banc of California Stadium,Chris Penso,Match Report,
Group Stage,1,Wed,2020-07-08,20:00,Orlando City,1.6,2–1,1.4,Miami,,ESPN Wide World of Sports Complex,Rubiel Vazquez,Match Report,
Group Stage,1,Thu,2020-07-09,09:00,NYCFC,1.6,0–1,0.6,Philadelphia,,ESPN Wide World of Sports Complex,Armando Villarreal,Match Report,
Group Stage,1,Thu,2020-07-09,20:00,Montreal,1.1,0–1,1.5,New England,,ESPN Wide World of Sports Complex,Guido Gonzalez Jr.,Match Report,
Group Stage,1,Fri,2020-07-10,21:00,Seattle,1.3,0–0,1.3,San Jose,,ESPN Wide World of Sports Complex,Drew Fischer,Match Report,
Group Stage,1,Sat,2020-07-11,20:30,Atlanta,1.3,0–1,1.6,NY Red Bulls,,ESPN Wide World of Sports Complex,Allen Chapman,Match Report,
Group Stage,1,Sat,2020-07-11,23:20,FC Cincinnati,0.6,0–4,1.3,Columbus,,ESPN Wide World of Sports Complex,Ismail Elfath,Match Report,
Group Stage,1,Sun,2020-07-12,20:00,Sporting KC,1.5,1–2,1.2,Minnesota,,ESPN Wide World of Sports Complex,Joe Dickerson,Match Report,
Group Stage,1,Sun,2020-07-12,22:30,Real Salt Lake,2.4,2–0,1.2,Colorado,,ESPN Wide World of Sports Complex,Jair Marrufo,Match Report,
