Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,,Sat,2021-05-08,17:00,LA Galaxy,0.8,2–1,1.4,Los Angeles FC,7193,Dignity Health Sports Park,Allen Chapman,Match Report,
2021,,,Sat,2021-05-08,20:00,Colorado Rapids,0.9,3–2,1.1,Minnesota Utd,,Dick's Sporting Goods Park,Tim Ford,Match Report,
2021,,,Sun,2021-05-09,13:00,Inter Miami,2.4,1–1,1.3,Atlanta Utd,8074,Lockhart Stadium,Joe Dickerson,Match Report,
2021,,,Sun,2021-05-09,12:00,Portland Timbers,1.7,1–2,2.3,Seattle,,Providence Park,Chris Penso,Match Report,
2021,,,Sun,2021-05-09,18:30,Sporting KC,3.4,2–1,0.7,Austin FC,,Children's Mercy Park,Ted Unkel,Match Report,
2021,,,Wed,2021-05-12,19:00,Toronto FC,1.4,2–0,0.7,Columbus Crew,,Exploria Stadium,Fotis Bazakos,Match Report,
2021,,,Wed,2021-05-12,19:30,Philadelphia,2.1,1–1,1.4,New England,5000,Subaru Park,Tori Penso,Match Report,
2021,,,Wed,2021-05-12,19:30,Inter Miami,0.3,0–2,1.4,CF Montréal,8220,Lockhart Stadium,Guido Gonzalez Jr.,Match Report,
2021,,,Wed,2021-05-12,19:30,Houston Dynamo,1.1,1–0,1.5,Sporting KC,7054,BBVA Compass Stadium,Chris Penso,Match Report,
2021,,,Wed,2021-05-12,20:00,Minnesota Utd,1.8,1–0,0.9,Vancouver,4100,Allianz Field,Jon Freemon,Match Report,
2021,,,Wed,2021-05-12,19:30,San Jose,1.8,0–1,1.1,Seattle,5000,Avaya Stadium,Baldomero Toledo,Match Report,
2021,,,Thu,2021-05-13,20:00,D.C. United,1.2,1–0,1.8,Chicago Fire,3935,Audi Field,Ramy Touchan,Match Report,
2021,,,Sat,2021-05-15,13:00,NYCFC,1.8,1–1,0.4,Toronto FC,,Yankee Stadium,Dave Gantar,Match Report,
2021,,,Sat,2021-05-15,12:30,LA Galaxy,2.6,2–0,1.2,Austin FC,7193,Dignity Health Sports Park,Kevin Stott,Match Report,
2021,,,Sat,2021-05-15,19:00,Atlanta Utd,0.9,1–0,0.7,CF Montréal,40116,Mercedes-Benz Stadium,Silviu Petrescu,Match Report,
2021,,,Sat,2021-05-15,19:30,Philadelphia,1.5,1–0,1.2,NY Red Bulls,5000,Subaru Park,Allen Chapman,Match Report,
2021,,,Sat,2021-05-15,19:00,Minnesota Utd,1.8,1–0,0.9,FC Dallas,4100,Allianz Field,Ted Unkel,Match Report,
2021,,,Sat,2021-05-15,19:00,Colorado Rapids,1.7,3–1,0.3,Houston Dynamo,,Dick's Sporting Goods Park,Victor Rivas,Match Report,
2021,,,Sat,2021-05-15,19:30,Real Salt Lake,0.6,0–0,0.7,Nashville,10555,Rio Tinto Stadium,Marcos de Oliveira,Match Report,
2021,,,Sat,2021-05-15,19:00,San Jose,3.0,0–2,2.5,Portland Timbers,,Avaya Stadium,Tim Ford,Match Report,
2021,,,Sun,2021-05-16,13:00,Sporting KC,2.9,3–0,1.1,Vancouver,,Children's Mercy Park,Alan Kelly,Match Report,
2021,,,Sun,2021-05-16,16:00,FC Cincinnati,1.1,2–3,1.9,Inter Miami,6000,West End Stadium,Ramy Touchan,Match Report,
2021,,,Sun,2021-05-16,18:00,New England,1.5,1–0,0.4,Columbus Crew,,Gillette Stadium,Robert Sibiga,Match Report,
2021,,,Sun,2021-05-16,20:00,D.C. United,1.0,0–1,0.4,Orlando City,5280,Audi Field,Alex Chilowicz,Match Report,
2021,,,Sun,2021-05-16,18:30,Seattle,1.3,2–0,0.5,Los Angeles FC,7173,CenturyLink Field,Joe Dickerson,Match Report,
2021,,,Sat,2021-05-22,13:00,CF Montréal,2.9,1–2,1.4,FC Cincinnati,,Lockhart Stadium,Fotis Bazakos,Match Report,
2021,,,Sat,2021-05-22,12:30,Portland Timbers,3.3,3–0,1.2,LA Galaxy,,Providence Park,Alan Kelly,Match Report,
2021,,,Sat,2021-05-22,17:00,Chicago Fire,1.8,1–0,0.4,Inter Miami,10844,Soldier Field,Silviu Petrescu,Match Report,
2021,,,Sat,2021-05-22,19:00,Orlando City,2.0,1–0,1.6,Toronto FC,11525,Exploria Stadium,Victor Rivas,Match Report,
2021,,,Sat,2021-05-22,19:30,NYCFC,1.3,1–2,0.6,Columbus Crew,3154,Red Bull Arena,Drew Fischer,Match Report,
2021,,,Sat,2021-05-22,19:00,FC Dallas,2.7,2–2,1.1,Real Salt Lake,8621,Toyota Stadium,Joe Dickerson,Match Report,
2021,,,Sat,2021-05-22,20:00,New England,3.8,3–1,1.2,NY Red Bulls,,Gillette Stadium,Jair Marrufo,Match Report,
