Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,,Sun,2021-08-01,18:00,Philadelphia,,,,Chicago Fire,,Subaru Park,,Head-to-Head,
2021,,,Sun,2021-08-01,19:30,Toronto FC,,,,Nashville,,,,Head-to-Head,
2021,,,Wed,2021-08-04,,NY Red Bulls,,,,FC Cincinnati,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-08-04,19:00,New England,,,,Nashville,,Gillette Stadium,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,Orlando City,,,,Inter Miami,,Exploria Stadium,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,Columbus Crew,,,,D.C. United,,Ohio Stadium,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,Philadelphia,,,,Toronto FC,,Subaru Park,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,CF Montréal,,,,Atlanta Utd,,,,Head-to-Head,
2021,,,Wed,2021-08-04,19:00,Chicago Fire,,,,NYCFC,,Soldier Field,,Head-to-Head,
2021,,,Wed,2021-08-04,19:00,Minnesota Utd,,,,Colorado Rapids,,Allianz Field,,Head-to-Head,
2021,,,Wed,2021-08-04,20:00,Austin FC,,,,Houston Dynamo,,Q2 Stadium,,Head-to-Head,
2021,,,Wed,2021-08-04,19:00,Seattle,,,,FC Dallas,,CenturyLink Field,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,Los Angeles FC,,,,Sporting KC,,Banc of California Stadium,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,Portland Timbers,,,,San Jose,,Providence Park,,Head-to-Head,
2021,,,Wed,2021-08-04,19:30,LA Galaxy,,,,Real Salt Lake,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sat,2021-08-07,19:30,FC Cincinnati,,,,Orlando City,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-08-07,19:30,Columbus Crew,,,,Atlanta Utd,,Ohio Stadium,,Head-to-Head,
2021,,,Sun,2021-08-08,,Inter Miami,,,,Nashville,,Lockhart Stadium,,Head-to-Head,
2021,,,Sat,2021-08-07,19:00,Minnesota Utd,,,,Houston Dynamo,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-08-07,20:00,Toronto FC,,,,NYCFC,,,,Head-to-Head,
2021,,,Sat,2021-08-07,19:30,FC Dallas,,,,Austin FC,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-08-07,19:00,Colorado Rapids,,,,Sporting KC,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-08-07,19:30,Portland Timbers,,,,Real Salt Lake,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-08-08,17:00,Chicago Fire,,,,NY Red Bulls,,Soldier Field,,Head-to-Head,
2021,,,Sun,2021-08-08,18:00,New England,,,,Philadelphia,,Gillette Stadium,,Head-to-Head,
2021,,,Sun,2021-08-08,16:00,San Jose,,,,Los Angeles FC,,Avaya Stadium,,Head-to-Head,
2021,,,Sun,2021-08-08,17:00,LA Galaxy,,,,Vancouver,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sun,2021-08-08,20:00,D.C. United,,,,CF Montréal,,Audi Field,,Head-to-Head,
2021,,,Fri,2021-08-13,19:30,San Jose,,,,Vancouver,,Avaya Stadium,,Head-to-Head,
2021,,,Sat,2021-08-14,15:30,NYCFC,,,,Inter Miami,,Yankee Stadium,,Head-to-Head,
2021,,,Sat,2021-08-14,17:00,Minnesota Utd,,,,LA Galaxy,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-08-14,19:00,Chicago Fire,,,,Columbus Crew,,Soldier Field,,Head-to-Head,
2021,,,Sat,2021-08-14,20:00,FC Cincinnati,,,,Philadelphia,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-08-14,20:00,CF Montréal,,,,NY Red Bulls,,,,Head-to-Head,
2021,,,Sat,2021-08-14,20:00,Toronto FC,,,,New England,,,,Head-to-Head,
2021,,,Sat,2021-08-14,19:30,FC Dallas,,,,Sporting KC,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-08-14,19:30,Houston Dynamo,,,,Colorado Rapids,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-08-14,20:00,Real Salt Lake,,,,Austin FC,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sun,2021-08-15,16:00,Atlanta Utd,,,,Los Angeles FC,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sun,2021-08-15,18:00,Nashville,,,,D.C. United,,Nissan Stadium,,Head-to-Head,
2021,,,Sun,2021-08-15,17:30,Portland Timbers,,,,Seattle,,Providence Park,,Head-to-Head,
2021,,,Wed,2021-08-18,,Inter Miami,,,,Chicago Fire,,Lockhart Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,,NY Red Bulls,,,,Columbus Crew,,Red Bull Arena,,Head-to-Head,
2021,,,Tue,2021-08-17,19:30,LA Galaxy,,,,Colorado Rapids,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Tue,2021-08-17,19:30,San Jose,,,,Minnesota Utd,,Avaya Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:00,New England,,,,D.C. United,,Gillette Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:00,Atlanta Utd,,,,Toronto FC,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:30,FC Cincinnati,,,,CF Montréal,,West End Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:30,Philadelphia,,,,NYCFC,,Subaru Park,,Head-to-Head,
2021,,,Wed,2021-08-18,19:30,FC Dallas,,,,Seattle,,Toyota Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:30,Nashville,,,,Orlando City,,Nissan Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,19:30,Sporting KC,,,,Portland Timbers,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-08-18,20:00,Austin FC,,,,Vancouver,,Q2 Stadium,,Head-to-Head,
2021,,,Wed,2021-08-18,20:00,Real Salt Lake,,,,Houston Dynamo,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,,Inter Miami,,,,Toronto FC,,Lockhart Stadium,,Head-to-Head,
2021,,,Fri,2021-08-20,19:00,LA Galaxy,,,,San Jose,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sat,2021-08-21,14:30,Minnesota Utd,,,,Sporting KC,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-08-21,17:30,Columbus Crew,,,,Seattle,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,19:30,Orlando City,,,,Chicago Fire,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,19:30,Philadelphia,,,,CF Montréal,,Subaru Park,,Head-to-Head,
2021,,,Sat,2021-08-21,20:00,New England,,,,FC Cincinnati,,Gillette Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,20:00,NY Red Bulls,,,,NYCFC,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-08-21,20:00,D.C. United,,,,Atlanta Utd,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-08-21,19:30,Houston Dynamo,,,,FC Dallas,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,19:00,Colorado Rapids,,,,Real Salt Lake,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-08-21,20:00,Austin FC,,,,Portland Timbers,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-08-21,19:00,Vancouver,,,,Los Angeles FC,,,,Head-to-Head,
2021,,,Fri,2021-08-27,18:30,Columbus Crew,,,,FC Cincinnati,,Ohio Stadium,,Head-to-Head,
2021,,,Fri,2021-08-27,19:30,CF Montréal,,,,Toronto FC,,,,Head-to-Head,
2021,,,Fri,2021-08-27,20:30,Orlando City,,,,Inter Miami,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-08-28,15:30,Atlanta Utd,,,,Nashville,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sat,2021-08-28,18:00,NY Red Bulls,,,,Chicago Fire,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-08-28,19:30,NYCFC,,,,New England,,Yankee Stadium,,Head-to-Head,
2021,,,Sat,2021-08-28,17:00,Los Angeles FC,,,,LA Galaxy,,Banc of California Stadium,,Head-to-Head,
2021,,,Sat,2021-08-28,20:00,D.C. United,,,,Philadelphia,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-08-28,19:30,Sporting KC,,,,Colorado Rapids,,Children's Mercy Park,,Head-to-Head,
2021,,,Sat,2021-08-28,19:30,Houston Dynamo,,,,Minnesota Utd,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-08-28,19:00,Vancouver,,,,Real Salt Lake,,,,Head-to-Head,
2021,,,Sun,2021-08-29,19:00,Austin FC,,,,FC Dallas,,Q2 Stadium,,Head-to-Head,
2021,,,Sun,2021-08-29,19:30,Seattle,,,,Portland Timbers,,CenturyLink Field,,Head-to-Head,
2021,,,Fri,2021-09-03,19:00,Houston Dynamo,,,,Portland Timbers,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Fri,2021-09-03,19:00,Los Angeles FC,,,,Sporting KC,,Banc of California Stadium,,Head-to-Head,
2021,,,Sat,2021-09-04,19:30,FC Cincinnati,,,,Inter Miami,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-09-04,19:30,Orlando City,,,,Columbus Crew,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-09-04,18:00,Real Salt Lake,,,,FC Dallas,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-09-04,19:30,Nashville,,,,NYCFC,,Nissan Stadium,,Head-to-Head,
2021,,,Sat,2021-09-04,19:00,San Jose,,,,Colorado Rapids,,Avaya Stadium,,Head-to-Head,
2021,,,Fri,2021-09-10,19:00,Atlanta Utd,,,,Orlando City,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sat,2021-09-11,,Inter Miami,,,,Columbus Crew,,Lockhart Stadium,,Head-to-Head,
2021,,,Fri,2021-09-10,19:00,Vancouver,,,,Portland Timbers,,,,Head-to-Head,
2021,,,Sat,2021-09-11,15:30,Colorado Rapids,,,,LA Galaxy,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-09-11,14:00,Seattle,,,,Minnesota Utd,,CenturyLink Field,,Head-to-Head,
2021,,,Sat,2021-09-11,19:00,New England,,,,NYCFC,,Gillette Stadium,,Head-to-Head,
2021,,,Sat,2021-09-11,19:00,NY Red Bulls,,,,D.C. United,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-09-11,20:00,FC Cincinnati,,,,Toronto FC,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-09-11,19:30,FC Dallas,,,,San Jose,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-09-11,19:30,Houston Dynamo,,,,Austin FC,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-09-11,19:30,Sporting KC,,,,Chicago Fire,,Children's Mercy Park,,Head-to-Head,
2021,,,Sun,2021-09-12,13:00,CF Montréal,,,,Nashville,,,,Head-to-Head,
2021,,,Sun,2021-09-12,19:30,Los Angeles FC,,,,Real Salt Lake,,Banc of California Stadium,,Head-to-Head,
2021,,,Tue,2021-09-14,19:30,NYCFC,,,,FC Dallas,,Yankee Stadium,,Head-to-Head,
2021,,,Tue,2021-09-14,19:30,Toronto FC,,,,Inter Miami,,,,Head-to-Head,
2021,,,Tue,2021-09-14,19:30,Columbus Crew,,,,NY Red Bulls,,Ohio Stadium,,Head-to-Head,
2021,,,Wed,2021-09-15,19:00,Atlanta Utd,,,,FC Cincinnati,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Wed,2021-09-15,19:30,Orlando City,,,,CF Montréal,,Exploria Stadium,,Head-to-Head,
2021,,,Wed,2021-09-15,19:30,Philadelphia,,,,New England,,Subaru Park,,Head-to-Head,
2021,,,Wed,2021-09-15,20:00,D.C. United,,,,Chicago Fire,,Audi Field,,Head-to-Head,
2021,,,Wed,2021-09-15,19:30,Sporting KC,,,,Minnesota Utd,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-09-15,20:00,Austin FC,,,,Los Angeles FC,,Q2 Stadium,,Head-to-Head,
2021,,,Wed,2021-09-15,19:00,Seattle,,,,Vancouver,,CenturyLink Field,,Head-to-Head,
2021,,,Wed,2021-09-15,19:00,Portland Timbers,,,,Colorado Rapids,,Providence Park,,Head-to-Head,
2021,,,Wed,2021-09-15,19:30,LA Galaxy,,,,Houston Dynamo,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Wed,2021-09-15,19:30,San Jose,,,,Real Salt Lake,,Avaya Stadium,,Head-to-Head,
2021,,,Fri,2021-09-17,19:00,Inter Miami,,,,NY Red Bulls,,Lockhart Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,15:30,Atlanta Utd,,,,D.C. United,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,19:00,New England,,,,Columbus Crew,,Gillette Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,19:30,FC Cincinnati,,,,NYCFC,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,19:30,Toronto FC,,,,Nashville,,,,Head-to-Head,
2021,,,Sat,2021-09-18,19:00,Minnesota Utd,,,,LA Galaxy,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-09-18,19:30,Houston Dynamo,,,,FC Dallas,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,20:00,Austin FC,,,,San Jose,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-09-18,19:30,Real Salt Lake,,,,Seattle,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sun,2021-09-19,13:00,CF Montréal,,,,Chicago Fire,,,,Head-to-Head,
2021,,,Sun,2021-09-19,16:00,Philadelphia,,,,Orlando City,,Subaru Park,,Head-to-Head,
2021,,,Sun,2021-09-19,15:00,Portland Timbers,,,,Los Angeles FC,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-09-19,19:00,Colorado Rapids,,,,Vancouver,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Wed,2021-09-22,,Inter Miami,,,,Nashville,,Lockhart Stadium,,Head-to-Head,
2021,,,Sat,2021-09-25,15:30,Philadelphia,,,,Atlanta Utd,,Subaru Park,,Head-to-Head,
2021,,,Sat,2021-09-25,19:00,New England,,,,Orlando City,,Gillette Stadium,,Head-to-Head,
2021,,,Sat,2021-09-25,19:30,Columbus Crew,,,,CF Montréal,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-09-25,19:30,D.C. United,,,,FC Cincinnati,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-09-25,19:30,NYCFC,,,,NY Red Bulls,,Yankee Stadium,,Head-to-Head,
2021,,,Sun,2021-09-26,,Austin FC,,,,LA Galaxy,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-09-25,18:00,Colorado Rapids,,,,Toronto FC,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-09-25,19:00,Minnesota Utd,,,,Houston Dynamo,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-09-25,19:00,Vancouver,,,,FC Dallas,,,,Head-to-Head,
2021,,,Sat,2021-09-25,19:00,San Jose,,,,Los Angeles FC,,Avaya Stadium,,Head-to-Head,
2021,,,Sat,2021-09-25,19:30,Portland Timbers,,,,Real Salt Lake,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-09-26,00:00,Chicago Fire,,,,Nashville,,Soldier Field,,Head-to-Head,
2021,,,Sun,2021-09-26,17:00,Sporting KC,,,,Seattle,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-09-29,,NY Red Bulls,,,,Philadelphia,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-09-29,19:00,Toronto FC,,,,FC Cincinnati,,,,Head-to-Head,
2021,,,Wed,2021-09-29,19:30,CF Montréal,,,,New England,,,,Head-to-Head,
2021,,,Wed,2021-09-29,19:30,Atlanta Utd,,,,Inter Miami,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,19:00,Chicago Fire,,,,NYCFC,,Soldier Field,,Head-to-Head,
2021,,,Wed,2021-09-29,19:00,FC Dallas,,,,Sporting KC,,Toyota Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,20:00,D.C. United,,,,Minnesota Utd,,Audi Field,,Head-to-Head,
2021,,,Wed,2021-09-29,19:30,Nashville,,,,Orlando City,,Nissan Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,19:00,Colorado Rapids,,,,Austin FC,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Wed,2021-09-29,20:00,Houston Dynamo,,,,Vancouver,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,19:30,Real Salt Lake,,,,LA Galaxy,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,19:00,Los Angeles FC,,,,Portland Timbers,,Banc of California Stadium,,Head-to-Head,
2021,,,Wed,2021-09-29,19:30,San Jose,,,,Seattle,,Avaya Stadium,,Head-to-Head,
2021,,,Sat,2021-10-02,14:30,Austin FC,,,,Real Salt Lake,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-10-02,19:00,CF Montréal,,,,Atlanta Utd,,,,Head-to-Head,
2021,,,Sat,2021-10-02,19:30,FC Cincinnati,,,,NY Red Bulls,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-10-02,19:30,Orlando City,,,,D.C. United,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-10-02,19:30,Philadelphia,,,,Columbus Crew,,Subaru Park,,Head-to-Head,
2021,,,Sun,2021-10-03,,Sporting KC,,,,Houston Dynamo,,Children's Mercy Park,,Head-to-Head,
2021,,,Sun,2021-10-03,,Portland Timbers,,,,Inter Miami,,Providence Park,,Head-to-Head,
2021,,,Sat,2021-10-02,19:00,FC Dallas,,,,Minnesota Utd,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-10-02,19:00,Vancouver,,,,San Jose,,,,Head-to-Head,
2021,,,Sun,2021-10-03,16:00,Toronto FC,,,,Chicago Fire,,,,Head-to-Head,
2021,,,Sun,2021-10-03,18:00,NYCFC,,,,Nashville,,Red Bull Arena,,Head-to-Head,
2021,,,Sun,2021-10-03,17:00,LA Galaxy,,,,Los Angeles FC,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sun,2021-10-03,19:00,Seattle,,,,Colorado Rapids,,CenturyLink Field,,Head-to-Head,
2021,,,Sat,2021-10-16,13:00,CF Montréal,,,,Philadelphia,,,,Head-to-Head,
2021,,,Sat,2021-10-16,12:30,Los Angeles FC,,,,San Jose,,Banc of California Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,18:00,Columbus Crew,,,,Inter Miami,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,19:00,New England,,,,Chicago Fire,,Gillette Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,Toronto FC,,,,Atlanta Utd,,,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,FC Cincinnati,,,,Orlando City,,West End Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,D.C. United,,,,Nashville,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,Houston Dynamo,,,,Seattle,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,20:00,Austin FC,,,,Minnesota Utd,,Q2 Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,Real Salt Lake,,,,Colorado Rapids,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sat,2021-10-16,19:30,LA Galaxy,,,,Portland Timbers,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sun,2021-10-17,13:00,NY Red Bulls,,,,NYCFC,,Red Bull Arena,,Head-to-Head,
2021,,,Sun,2021-10-17,19:00,Vancouver,,,,Sporting KC,,,,Head-to-Head,
2021,,,Wed,2021-10-20,,Inter Miami,,,,Toronto FC,,Lockhart Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,Orlando City,,,,CF Montréal,,Exploria Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,Atlanta Utd,,,,NYCFC,,Mercedes-Benz Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,FC Cincinnati,,,,Chicago Fire,,West End Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:00,Minnesota Utd,,,,Philadelphia,,Allianz Field,,Head-to-Head,
2021,,,Wed,2021-10-20,19:00,FC Dallas,,,,Los Angeles FC,,Toyota Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,20:00,D.C. United,,,,New England,,Audi Field,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,Houston Dynamo,,,,LA Galaxy,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,Nashville,,,,Columbus Crew,,Nissan Stadium,,Head-to-Head,
2021,,,Wed,2021-10-20,19:00,Colorado Rapids,,,,Seattle,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Wed,2021-10-20,19:00,Portland Timbers,,,,Vancouver,,Providence Park,,Head-to-Head,
2021,,,Wed,2021-10-20,19:30,San Jose,,,,Austin FC,,Avaya Stadium,,Head-to-Head,
2021,,,Sat,2021-10-23,,Inter Miami,,,,FC Cincinnati,,,,Head-to-Head,
2021,,,Sat,2021-10-23,,Toronto FC,,,,CF Montréal,,,,Head-to-Head,
2021,,,Sat,2021-10-23,12:30,LA Galaxy,,,,FC Dallas,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sat,2021-10-23,18:00,Columbus Crew,,,,NY Red Bulls,,Ohio Stadium,,Head-to-Head,
2021,,,Sat,2021-10-23,19:30,Philadelphia,,,,Nashville,,Subaru Park,,Head-to-Head,
2021,,,Sat,2021-10-23,19:30,NYCFC,,,,D.C. United,,Red Bull Arena,,Head-to-Head,
2021,,,Sun,2021-10-24,,Orlando City,,,,New England,,Exploria Stadium,,Head-to-Head,
2021,,,Sat,2021-10-23,19:00,Chicago Fire,,,,Real Salt Lake,,,,Head-to-Head,
2021,,,Sat,2021-10-23,19:00,Minnesota Utd,,,,Los Angeles FC,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-10-23,18:00,Seattle,,,,Sporting KC,,CenturyLink Field,,Head-to-Head,
2021,,,Sat,2021-10-23,19:00,Colorado Rapids,,,,Portland Timbers,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sat,2021-10-23,19:00,San Jose,,,,Vancouver,,Avaya Stadium,,Head-to-Head,
2021,,,Sun,2021-10-24,15:00,Austin FC,,,,Houston Dynamo,,Q2 Stadium,,Head-to-Head,
2021,,,Tue,2021-10-26,19:30,Los Angeles FC,,,,Seattle,,Banc of California Stadium,,Head-to-Head,
2021,,,Wed,2021-10-27,19:00,New England,,,,Colorado Rapids,,Gillette Stadium,,Head-to-Head,
2021,,,Wed,2021-10-27,19:30,FC Cincinnati,,,,Nashville,,,,Head-to-Head,
2021,,,Wed,2021-10-27,19:30,Columbus Crew,,,,Orlando City,,Ohio Stadium,,Head-to-Head,
2021,,,Wed,2021-10-27,19:30,Toronto FC,,,,Philadelphia,,,,Head-to-Head,
2021,,,Wed,2021-10-27,19:30,Atlanta Utd,,,,Inter Miami,,,,Head-to-Head,
2021,,,Thu,2021-10-28,,NYCFC,,,,Chicago Fire,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-10-27,19:00,FC Dallas,,,,Real Salt Lake,,Toyota Stadium,,Head-to-Head,
2021,,,Wed,2021-10-27,20:00,D.C. United,,,,NY Red Bulls,,Audi Field,,Head-to-Head,
2021,,,Wed,2021-10-27,19:30,Sporting KC,,,,LA Galaxy,,Children's Mercy Park,,Head-to-Head,
2021,,,Wed,2021-10-27,19:00,Vancouver,,,,Minnesota Utd,,,,Head-to-Head,
2021,,,Wed,2021-10-27,19:00,Portland Timbers,,,,San Jose,,Providence Park,,Head-to-Head,
2021,,,Sat,2021-10-30,15:00,NY Red Bulls,,,,CF Montréal,,Red Bull Arena,,Head-to-Head,
2021,,,Sat,2021-10-30,15:30,Inter Miami,,,,NYCFC,,,,Head-to-Head,
2021,,,Sat,2021-10-30,18:00,Atlanta Utd,,,,Toronto FC,,,,Head-to-Head,
2021,,,Sat,2021-10-30,19:30,D.C. United,,,,Columbus Crew,,Audi Field,,Head-to-Head,
2021,,,Sat,2021-10-30,19:30,Philadelphia,,,,FC Cincinnati,,Subaru Park,,Head-to-Head,
2021,,,Sun,2021-10-31,,Minnesota Utd,,,,Sporting KC,,Allianz Field,,Head-to-Head,
2021,,,Sat,2021-10-30,20:00,FC Dallas,,,,Austin FC,,Toyota Stadium,,Head-to-Head,
2021,,,Sat,2021-10-30,20:30,Real Salt Lake,,,,San Jose,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sun,2021-10-31,13:00,Chicago Fire,,,,New England,,,,Head-to-Head,
2021,,,Sun,2021-10-31,15:30,Houston Dynamo,,,,Colorado Rapids,,BBVA Compass Stadium,,Head-to-Head,
2021,,,Sun,2021-10-31,20:30,Orlando City,,,,Nashville,,Exploria Stadium,,Head-to-Head,
2021,,,Mon,2021-11-01,20:00,Seattle,,,,LA Galaxy,,CenturyLink Field,,Head-to-Head,
2021,,,Mon,2021-11-01,20:30,Los Angeles FC,,,,Vancouver,,Banc of California Stadium,,Head-to-Head,
2021,,,Wed,2021-11-03,,NY Red Bulls,,,,Atlanta Utd,,Red Bull Arena,,Head-to-Head,
2021,,,Wed,2021-11-03,20:30,CF Montréal,,,,Houston Dynamo,,,,Head-to-Head,
2021,,,Wed,2021-11-03,21:00,Austin FC,,,,Sporting KC,,Q2 Stadium,,Head-to-Head,
2021,,,Wed,2021-11-03,20:30,Real Salt Lake,,,,Portland Timbers,,Rio Tinto Stadium,,Head-to-Head,
2021,,,Sun,2021-11-07,14:30,Nashville,,,,NY Red Bulls,,Nissan Stadium,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,Toronto FC,,,,D.C. United,,,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,CF Montréal,,,,Orlando City,,,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,New England,,,,Inter Miami,,Gillette Stadium,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,FC Cincinnati,,,,Atlanta Utd,,,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,NYCFC,,,,Philadelphia,,Yankee Stadium,,Head-to-Head,
2021,,,Sun,2021-11-07,15:30,Columbus Crew,,,,Chicago Fire,,Ohio Stadium,,Head-to-Head,
2021,,,Sun,2021-11-07,15:00,LA Galaxy,,,,Minnesota Utd,,Dignity Health Sports Park,,Head-to-Head,
2021,,,Sun,2021-11-07,15:00,Portland Timbers,,,,Austin FC,,Providence Park,,Head-to-Head,
2021,,,Sun,2021-11-07,15:00,Vancouver,,,,Seattle,,,,Head-to-Head,
2021,,,Sun,2021-11-07,16:00,Colorado Rapids,,,,Los Angeles FC,,Dick's Sporting Goods Park,,Head-to-Head,
2021,,,Sun,2021-11-07,17:00,Sporting KC,,,,Real Salt Lake,,Children's Mercy Park,,Head-to-Head,
2021,,,Mon,2021-11-08,,San Jose,,,,FC Dallas,,Avaya Stadium,,Head-to-Head,
