367314,367,000033,Tottenham Hotspur,336,E03A3E,Stoke City
367315,347,000099,Cardiff City,366,EB172B,Sunderland
367316,362,7A003C,Aston Villa,318,000000,Swansea City
367317,371,60223B,West Ham United,383,091453,West Bromwich Albion
367318,371,60223B,West Ham United,359,EF0107,Arsenal
367319,381,00a94f,Norwich City,370,1a1a1a,Fulham
367320,382,5CBFEB,Manchester City,364,D00027,Liverpool
367321,306,F5A12D,Hull City,360,DA020E,Manchester United
367322,347,000099,Cardiff City,376,ED1A3B,Southampton
367323,361,5CBFEB,Newcastle United,336,E03A3E,Stoke City
367324,368,274488,Everton,366,EB172B,Sunderland
367325,363,034694,Chelsea,318,000000,Swansea City
367326,367,000033,Tottenham Hotspur,383,C60000,West Bromwich Albion
367327,336,E03A3E,Stoke City,362,7A003C,Aston Villa
367328,364,D00027,Liverpool,347,000099,Cardiff City
367329,359,EF0107,Arsenal,363,034694,Chelsea
367330,318,000000,Swansea City,368,274488,Everton
367331,383,091453,West Bromwich Albion,306,F5A12D,Hull City
367332,370,1a1a1a,Fulham,382,5CBFEB,Manchester City
367333,366,EB172B,Sunderland,381,00a94f,Norwich City
367334,376,ED1A3B,Southampton,367,000033,Tottenham Hotspur
367335,360,DA020E,Manchester United,371,60223B,West Ham United
367336,382,5CBFEB,Manchester City,359,EF0107,Arsenal
367337,368,274488,Everton,370,1a1a1a,Fulham
367338,367,000033,Tottenham Hotspur,364,D00027,Liverpool
367339,362,7A003C,Aston Villa,360,DA020E,Manchester United
367340,361,5CBFEB,Newcastle United,376,ED1A3B,Southampton
367341,306,F5A12D,Hull City,336,E03A3E,Stoke City
367342,371,60223B,West Ham United,366,EB172B,Sunderland
367343,381,00a94f,Norwich City,318,000000,Swansea City
367344,347,000099,Cardiff City,383,C60000,West Bromwich Albion
367345,370,1a1a1a,Fulham,362,7A003C,Aston Villa
367346,336,E03A3E,Stoke City,363,034694,Chelsea
367347,359,EF0107,Arsenal,368,274488,Everton
367348,318,000000,Swansea City,306,F5A12D,Hull City
367349,376,ED1A3B,Southampton,382,5CBFEB,Manchester City
367350,360,DA020E,Manchester United,361,5CBFEB,Newcastle United
367351,383,091453,West Bromwich Albion,381,00a94f,Norwich City
367352,366,EB172B,Sunderland,367,000033,Tottenham Hotspur
367353,364,D00027,Liverpool,371,60223B,West Ham United
367354,370,1a1a1a,Fulham,367,347bc9,Tottenham Hotspur
367355,383,091453,West Bromwich Albion,382,5CBFEB,Manchester City
367356,364,D00027,Liverpool,381,00a94f,Norwich City
367357,376,ED1A3B,Southampton,362,7A003C,Aston Villa
367358,336,E03A3E,Stoke City,347,000099,Cardiff City
367359,366,EB172B,Sunderland,363,034694,Chelsea
367360,360,DA020E,Manchester United,368,274488,Everton
367361,359,EF0107,Arsenal,306,F5A12D,Hull City
367362,318,000000,Swansea City,361,5CBFEB,Newcastle United
367363,347,000099,Cardiff City,359,EF0107,Arsenal
367364,371,60223B,West Ham United,370,1a1a1a,Fulham
367365,306,F5A12D,Hull City,364,D00027,Liverpool
367366,367,000033,Tottenham Hotspur,360,DA020E,Manchester United
367367,363,034694,Chelsea,376,ED1A3B,Southampton
367368,368,274488,Everton,336,E03A3E,Stoke City
367369,362,7A003C,Aston Villa,366,EB172B,Sunderland
367370,382,5CBFEB,Manchester City,318,000000,Swansea City
367371,361,5CBFEB,Newcastle United,383,091453,West Bromwich Albion
367372,383,091453,West Bromwich Albion,362,7A003C,Aston Villa
367373,371,60223B,West Ham United,363,034694,Chelsea
367374,368,274488,Everton,364,D00027,Liverpool
367375,347,000099,Cardiff City,360,DA020E,Manchester United
367376,361,5CBFEB,Newcastle United,381,00a94f,Norwich City
367377,359,EF0107,Arsenal,376,00a94f,Southampton
367378,336,E03A3E,Stoke City,366,41a317,Sunderland
367379,370,1a1a1a,Fulham,318,00ff33,Swansea City
367380,382,5CBFEB,Manchester City,367,000033,Tottenham Hotspur
367381,360,DA020E,Manchester United,359,ffff00,Arsenal
367382,362,7A003C,Aston Villa,347,000099,Cardiff City
367383,364,D00027,Liverpool,370,1a1a1a,Fulham
367384,376,ED1A3B,Southampton,306,F5A12D,Hull City
367385,366,EB172B,Sunderland,382,5CBFEB,Manchester City
367386,367,000033,Tottenham Hotspur,361,5CBFEB,Newcastle United
367387,318,000000,Swansea City,336,E03A3E,Stoke City
367388,363,034694,Chelsea,383,091453,West Bromwich Albion
367389,381,00a94f,Norwich City,371,60223B,West Ham United
367390,371,60223B,West Ham United,362,ffff00,Aston Villa
367391,361,5CBFEB,Newcastle United,363,034694,Chelsea
367392,359,EF0107,Arsenal,364,1a1a1a,Liverpool
367393,370,1a1a1a,Fulham,360,DA020E,Manchester United
367394,382,5CBFEB,Manchester City,381,00a94f,Norwich City
367395,336,E03A3E,Stoke City,376,00a94f,Southampton
367396,306,F5A12D,Hull City,366,EB172B,Sunderland
367397,347,000099,Cardiff City,318,000000,Swansea City
367398,368,274488,Everton,367,000033,Tottenham Hotspur
367399,381,00a94f,Norwich City,347,000099,Cardiff City
367400,362,7A003C,Aston Villa,368,274488,Everton
367401,376,ED1A3B,Southampton,370,1a1a1a,Fulham
367402,367,000033,Tottenham Hotspur,306,F5A12D,Hull City
367403,363,034694,Chelsea,382,5CBFEB,Manchester City
367404,366,EB172B,Sunderland,361,5CBFEB,Newcastle United
367405,360,DA020E,Manchester United,336,000000,Stoke City
367406,364,D00027,Liverpool,383,091453,West Bromwich Albion
367407,318,000000,Swansea City,371,60223B,West Ham United
367408,363,034694,Chelsea,347,C8142F,Cardiff City
367409,368,274488,Everton,306,F5A12D,Hull City
367410,361,5CBFEB,Newcastle United,364,D00027,Liverpool
