rk,team,str,ofs,dfs,sos
1,Barcelona,0.64,0.55,-0.09,0.00
2,Atlético Madrid,0.59,0.30,-0.29,0.00
3,Real Madrid,0.53,0.31,-0.22,0.00
4,Sevilla,0.34,0.14,-0.20,0.01
5,Real Sociedad,0.27,0.17,-0.10,0.02
6,Villarreal,0.20,0.18,-0.02,0.01
7,Athletic Club,0.11,0.04,-0.07,0.02
8,Celta Vigo,0.01,0.13,0.12,0.02
9,Betis,0.01,0.05,0.05,0.04
10,Valencia,-0.04,0.05,0.09,0.04
11,Levante,-0.10,0.00,0.10,0.05
12,Osasuna,-0.15,-0.14,0.01,0.03
13,Granada,-0.15,0.04,0.19,0.05
14,Huesca,-0.26,-0.16,0.09,0.02
15,Cádiz,-0.28,-0.18,0.10,0.03
16,Getafe,-0.30,-0.33,-0.04,0.05
17,Valladolid,-0.30,-0.21,0.08,0.04
18,Alavés,-0.32,-0.21,0.12,0.05
19,Eibar,-0.33,-0.29,0.04,0.04
20,Elche,-0.38,-0.27,0.11,0.03
