home,away,w,d,l
AFC Bournemouth,Arsenal,0.374279244019581,0.284693309713294,0.341027437784336
AFC Bournemouth,Stoke City,0.413917521002036,0.295861666249791,0.290220668415776
AFC Bournemouth,Southampton,0.390307935127173,0.289512900006127,0.320179159399191
AFC Bournemouth,Swansea City,0.421536435919771,0.29772286517652,0.280740580082226
AFC Bournemouth,Manchester City,0.35181062122081,0.277226818835753,0.370962544644372
AFC Bournemouth,Liverpool,0.396314875401708,0.291212286334718,0.312472833646487
AFC Bournemouth,Chelsea,0.391459599839273,0.289843193125119,0.31869720174143
AFC Bournemouth,West Bromwich Albion,0.421279180326077,0.297661498552543,0.281059201508457
Arsenal,Southampton,0.440111855494949,0.273077988210091,0.286810142876114
Arsenal,Leicester City,0.407698215342374,0.266869825902426,0.32543192798046
Arsenal,Swansea City,0.472468634788625,0.277716133107354,0.249815226665767
Arsenal,West Bromwich Albion,0.472203212633149,0.277684330943976,0.250112450942225
Arsenal,Watford,0.455589132199507,0.275488746100047,0.268922112897381
Arsenal,Crystal Palace,0.465426493396462,0.276837557185266,0.257735942749984
Arsenal,Norwich City,0.453589934975839,0.275197251474755,0.271212804244146
Arsenal,Aston Villa,0.484401764450622,0.279040149553519,0.236557965658879
Aston Villa,Norwich City,0.363247169552948,0.30639443132082,0.33035830261582
Aston Villa,Liverpool,0.356577469920675,0.303803612510074,0.339618803135841
Aston Villa,Everton,0.32870633209501,0.292140193619756,0.379153469573973
Aston Villa,Tottenham Hotspur,0.325426606184015,0.290677142599408,0.383896246053549
Aston Villa,Chelsea,0.351936394956311,0.301955696274382,0.346107780150367
Aston Villa,AFC Bournemouth,0.366711337345146,0.307710119395096,0.325578455023969
Aston Villa,Southampton,0.350836256753114,0.301512198796102,0.347651412244811
Aston Villa,Newcastle United,0.371698465993777,0.30956851641323,0.318732940152652
Chelsea,Manchester United,0.425666003402789,0.28453612487147,0.289797865649049
Chelsea,Newcastle United,0.436013915087549,0.286622878717886,0.277363201671564
Chelsea,Stoke City,0.43786631882967,0.286979257555741,0.275154419328396
Chelsea,West Ham United,0.401950832272692,0.279133388424498,0.318915767699048
Chelsea,Manchester City,0.37436917385575,0.271741803117818,0.353888999480176
Chelsea,Tottenham Hotspur,0.386489977218855,0.275138762520762,0.338371242914758
Chelsea,Leicester City,0.382049244582861,0.273921468860897,0.344029267137513
Crystal Palace,AFC Bournemouth,0.394879851588577,0.298238272647609,0.306881734007952
Crystal Palace,Watford,0.393212139134007,0.297746292690459,0.309041420378497
Crystal Palace,Liverpool,0.384417932275953,0.295077526352008,0.320504357752614
Crystal Palace,Leicester City,0.34788242737296,0.282623962002064,0.369493600565164
Crystal Palace,Norwich City,0.391305415198441,0.297178303200435,0.311516126616642
Crystal Palace,Everton,0.355557155842727,0.285425644031464,0.359017191927784
Crystal Palace,Stoke City,0.401821694628359,0.300238092400069,0.297940094067533
Everton,Newcastle United,0.473935333273648,0.272116593669911,0.253948064351098
Everton,West Bromwich Albion,0.483464340049805,0.273103190209674,0.243432463115088
Everton,West Ham United,0.439046347848332,0.267378418379785,0.293575211538029
Everton,Arsenal,0.434367614211033,0.266607177258453,0.299025183481521
Everton,Southampton,0.451199735389511,0.269230949190065,0.279569299218391
