year	league_id	league_key	club_id	club_key	club_name	club_url
2016	15	spanish+primera+división	17534	leganes	Leganes	http://www.espnfc.us/club/leganes/17534/index
2016	10	german+bundesliga	11420	rb-leipzig	RB Leipzig	http://www.espnfc.us/club/rb-leipzig/11420/index
2016	27	english+national+league	13061	solihull-moors	Solihull Moors	http://www.espnfc.com/club/solihull-moors/13061/index
2016	2350	chinese+super+league	12009	guangzhou-evergrande	Guangzhou Evergrande	http://www.espnfc.com/club/guangzhou-evergrande/12009/index
2016	2350	chinese+super+league	15105	jiangsu-shuntian	Jiangsu Shuntian	http://www.espnfc.com/club/jiangsu-shuntian/15105/index
2016	2350	chinese+super+league	15515	shanghai-sipg	Shanghai SIPG	http://www.espnfc.com/club/shanghai-sipg/15515/index
2016	2350	chinese+super+league	18200	hebei-china-fortune-fc	Hebei China Fortune FC	http://www.espnfc.com/club/hebei-china-fortune-fc/18200/index
2016	2350	chinese+super+league	17688	guangzhou-randf	Guangzhou R&F	http://www.espnfc.com/club/guangzhou-randf/17688/index
2016	2350	chinese+super+league	18204	yanbian-fude-fc	Yanbian Fude FC	http://www.espnfc.com/club/yanbian-fude-fc/18204/index
2016	2350	chinese+super+league	18202	chongqing-lifan	Chongqing Lifan	http://www.espnfc.com/club/chongqing-lifan/18202/index
2016	2350	chinese+super+league	18203	hangzhou-greentown	Hangzhou Greentown	http://www.espnfc.com/club/hangzhou-greentown/18203/index
2016	2350	chinese+super+league	18199	shijiazhuang-ever-bright	Shijiazhuang Ever Bright	http://www.espnfc.com/club/shijiazhuang-ever-bright/18199/index
2016	17	swiss+super+league	11551	lausanne-sports	Lausanne Sports	http://www.espnfc.com/club/lausanne-sports/11551/index
2016	96	french+ligue+2	11884	red-star-fc-93	Red Star FC 93	http://www.espnfc.com/club/red-star-fc-93/11884/index
2016	96	french+ligue+2	11895	bourg-peronnas	Bourg-Peronnas	http://www.espnfc.com/club/bourg-peronnas/11895/index
2016	96	french+ligue+2	17483	orleans	Orléans	http://www.espnfc.com/club/orleans/17483/index
2016	97	german+2.+bundesliga	17491	wurzburger-kickers	Würzburger Kickers	http://www.espnfc.us/club/wurzburger-kickers/17491/fixtures
2016	99	italian+serie+b	11137	virtus-entella	Virtus Entella	http://www.espnfc.us/club/virtus-entella/11137/index
2016	99	italian+serie+b	11128	trapani	Trapani	http://www.espnfc.us/club/trapani/11128/index
2016	107	spanish+segunda+division	17884	reus-deportiu	Reus Deportiu	http://www.espnfc.us/club/reus-deportiu/17884/index
2016	107	spanish+segunda+division	12594	ucam-murcia	UCAM Murcia	http://www.espnfc.us/club/ucam-murcia/12594/index
2016	14	portuguese+liga	12705	gd-chaves	GD Chaves	http://www.espnfc.us/club/gd-chaves/12705/index
2016	14	portuguese+liga	15784	arouca	Arouca	http://www.espnfc.us/club/arouca/15784/index
2016	14	portuguese+liga	12706	tondela	Tondela	http://www.espnfc.us/club/tondela/12706/index
2016	508	northern+irish+premiership	12979	ards	Ards	http://www.espnfc.com/club/ards/12979/index
2016	508	northern+irish+premiership	13446	ballinamallard-utd	Ballinamallard Utd	http://www.espnfc.com/club/ballinamallard-utd/13446/index
2016	508	northern+irish+premiership	11691	carrick	Carrick	http://www.espnfc.us/club/carrick/11691/index
2016	116	league+of+ireland+premier+division	18173	wexford-youths	Wexford Youths	http://www.espnfc.com/club/wexford-youths/18173/index
2016	7	danish+sas-ligaen	11550	odense-boldklub	Odense Boldklub	http://www.espnfc.us/club/odense-boldklub/11550/index
2016	7	danish+sas-ligaen	12504	esbjerg-fb	Esbjerg FB	http://www.espnfc.us/club/esbjerg-fb/12504/index
