year	league_id	league_key	club_id	club_key	club_name	club_url
2000	15	spanish+primera+división	86	real-madrid	Real Madrid	http://www.espnfc.us/club/real-madrid/86/index
2000	15	spanish+primera+división	90	deportivo-la-coruna	Deportivo La Coruña	http://www.espnfc.us/club/deportivo-la-coruna/90/index
2000	15	spanish+primera+división	94	valencia	Valencia	http://www.espnfc.us/club/valencia/94/index
2000	15	spanish+primera+división	83	barcelona	Barcelona	http://www.espnfc.us/club/barcelona/83/index
2000	15	spanish+primera+división	84	mallorca	Mallorca	http://www.espnfc.us/club/mallorca/84/index
2000	15	spanish+primera+división	102	villarreal	Villarreal	http://www.espnfc.us/club/villarreal/102/index
2000	15	spanish+primera+división	85	celta-vigo	Celta Vigo	http://www.espnfc.us/club/celta-vigo/85/index
2000	15	spanish+primera+división	96	alaves	Alavés	http://www.espnfc.us/club/alaves/96/index
2000	15	spanish+primera+división	88	espanyol	Espanyol	http://www.espnfc.us/club/espanyol/88/index
2000	15	spanish+primera+división	99	malaga	Málaga	http://www.espnfc.us/club/malaga/99/index
2000	15	spanish+primera+división	101	rayo-vallecano	Rayo Vallecano	http://www.espnfc.us/club/rayo-vallecano/101/index
2000	15	spanish+primera+división	93	athletic-bilbao	Athletic Bilbao	http://www.espnfc.us/club/athletic-bilbao/93/index
2000	15	spanish+primera+división	98	las-palmas	Las Palmas	http://www.espnfc.us/club/las-palmas/98/index
2000	15	spanish+primera+división	91	real-zaragoza	Real Zaragoza	http://www.espnfc.us/club/real-zaragoza/91/index
2000	15	spanish+primera+división	95	real-valladolid	Real Valladolid	http://www.espnfc.us/club/real-valladolid/95/index
2000	15	spanish+primera+división	92	real-oviedo	Real Oviedo	http://www.espnfc.us/club/real-oviedo/92/index
2000	15	spanish+primera+división	97	osasuna	Osasuna	http://www.espnfc.us/club/osasuna/97/index
2000	15	spanish+primera+división	100	numancia	Numancia	http://www.espnfc.us/club/numancia/100/index
2000	15	spanish+primera+división	87	racing-santander	Racing Santander	http://www.espnfc.us/club/racing-santander/87/index
2000	15	spanish+primera+división	89	real-sociedad	Real Sociedad	http://www.espnfc.us/club/real-sociedad/89/index
2000	10	german+bundesliga	132	bayern-munich	Bayern Munich	http://www.espnfc.us/club/bayern-munich/132/index
2000	10	german+bundesliga	124	borussia-dortmund	Borussia Dortmund	http://www.espnfc.us/club/borussia-dortmund/124/index
2000	10	german+bundesliga	133	schalke-04	Schalke 04	http://www.espnfc.us/club/schalke-04/133/index
2000	10	german+bundesliga	131	bayer-leverkusen	Bayer Leverkusen	http://www.espnfc.us/club/bayer-leverkusen/131/index
2000	10	german+bundesliga	129	hertha-berlin	Hertha Berlin	http://www.espnfc.us/club/hertha-berlin/129/index
2000	10	german+bundesliga	130	kaiserslautern	Kaiserslautern	http://www.espnfc.us/club/kaiserslautern/130/index
2000	10	german+bundesliga	122	fc-cologne	FC Cologne	http://www.espnfc.us/club/fc-cologne/122/index
2000	10	german+bundesliga	137	werder-bremen	Werder Bremen	http://www.espnfc.us/club/werder-bremen/137/index
