league_id	league_key	league_name	league_url
23	english+premier+league	English Premier League	http://www.espnfc.us/english-premier-league/23/index
15	spanish+primera+división	Spanish Primera División	http://www.espnfc.us/spanish-primera-division/15/index
10	german+bundesliga	German Bundesliga	http://www.espnfc.us/german-bundesliga/10/index
12	italian+serie+a	Italian Serie A	http://www.espnfc.us/italian-serie-a/12/index
9	french+ligue+1	French Ligue 1	http://www.espnfc.us/french-ligue-1/9/index
19	major+league+soccer	Major League Soccer	http://www.espnfc.us/major-league-soccer/19/index
22	mexican+liga+mx	Mexican Liga MX	http://www.espnfc.us/mexican-liga-mx/22/index
24	english+league+championship	English League Championship	http://www.espnfc.us/english-league-championship/24/index
1308	australian+a-league	Australian A-League	http://www.espnfc.us/australian-a-league/1308/index
2334	indian+super+league	Indian Super League	http://www.espnfc.us/indian-super-league/2334/index
85	futebol+brasileiro	Futebol Brasileiro	http://www.espnfc.us/futebol-brasileiro/85/index
1	primera+división+de+argentina	Primera División de Argentina	http://www.espnfc.us/primera-division-de-argentina/1/index
45	scottish+premiership	Scottish Premiership	http://www.espnfc.us/scottish-premiership/45/index
2350	chinese+super+league	Chinese Super League	http://www.espnfc.us/chinese-super-league/2350/index
2330	north+american+soccer+league	North American Soccer League	http://www.espnfc.us/north-american-soccer-league/2330/index
11	dutch+eredivisie	Dutch Eredivisie	http://www.espnfc.us/dutch-eredivisie/11/index
14	portuguese+liga	Portuguese Liga	http://www.espnfc.us/portuguese-liga/14/index
18	turkish+super+lig	Turkish Super Lig	http://www.espnfc.us/turkish-super-lig/18/index
106	russian+premier+league	Russian Premier League	http://www.espnfc.us/russian-premier-league/106/index
98	greek+super+league	Greek Super League	http://www.espnfc.us/greek-super-league/98/index
6	belgian+jupiler+league	Belgian Jupiler League	http://www.espnfc.us/belgian-jupiler-league/6/index
7	danish+sas-ligaen	Danish SAS-Ligaen	http://www.espnfc.us/danish-sas-ligaen/7/index
5	austrian+bundesliga	Austrian Bundesliga	http://www.espnfc.us/austrian-bundesliga/5/index
16	swedish+allsvenskanliga	Swedish Allsvenskanliga	http://www.espnfc.us/swedish-allsvenskanliga/16/index
17	swiss+super+league	Swiss Super League	http://www.espnfc.us/swiss-super-league/17/index
508	northern+irish+premiership	Northern Irish Premiership	http://www.espnfc.us/northern-irish-premiership/508/index
116	league+of+ireland+premier+division	League of Ireland Premier Division	http://www.espnfc.us/league-of-ireland-premier-division/116/index
113	welsh+premier+league	Welsh Premier League	http://www.espnfc.us/welsh-premier-league/113/index
2342	nigeria+professional+league	Nigeria Professional League	http://www.espnfc.us/nigeria-professional-league/2342/index
2344	jamaica+premier+league	Jamaica Premier League	http://www.espnfc.us/jamaica-premier-league/2344/index
1949	liga+profesional+boliviana	Liga Profesional Boliviana	http://www.espnfc.us/liga-profesional-boliviana/1949/index
1543	fútbol+profesional+colombiano	Fútbol Profesional Colombiano	http://www.espnfc.us/futbol-profesional-colombiano/1543/index
86	primera+división+de+chile	Primera División de Chile	http://www.espnfc.us/primera-division-de-chile/86/index
1944	primera+a+de+ecuador	Primera A de Ecuador	http://www.espnfc.us/primera-a-de-ecuador/1944/index
1813	primera+profesional+de+perú	Primera Profesional de Perú	http://www.espnfc.us/primera-profesional-de-peru/1813/index
1892	primera+división+de+paraguay	Primera División de Paraguay	http://www.espnfc.us/primera-division-de-paraguay/1892/index
1592	primera+división+de+uruguay	Primera División de Uruguay	http://www.espnfc.us/primera-division-de-uruguay/1592/index
1947	primera+división+de+venezuela	Primera División de Venezuela	http://www.espnfc.us/primera-division-de-venezuela/1947/index
25	english+league+one	English League One	http://www.espnfc.us/english-league-one/25/index
26	english+league+two	English League Two	http://www.espnfc.us/english-league-two/26/index
96	french+ligue+2	French Ligue 2	http://www.espnfc.us/french-ligue-2/96/index
97	german+2.+bundesliga	German 2. Bundesliga	http://www.espnfc.us/german-2-bundesliga/97/index
99	italian+serie+b	Italian Serie B	http://www.espnfc.us/italian-serie-b/99/index
2199	japanese+j+league	Japanese J League	http://www.espnfc.us/japanese-j-league/2199/index
2338	singapore+s-league	Singapore S-League	http://www.espnfc.us/singapore-s-league/2338/index
2340	malaysian+super+league	Malaysian Super League	http://www.espnfc.us/malaysian-super-league/2340/index
2336	indonesian+super+league	Indonesian Super League	http://www.espnfc.us/indonesian-super-league/2336/index
2341	thai+premier+league	Thai Premier League	http://www.espnfc.us/thai-premier-league/2341/index
2306	ascenso+mx	Ascenso MX	http://www.espnfc.us/ascenso-mx/2306/index
13	norwegian+tippeligaen	Norwegian Tippeligaen	http://www.espnfc.us/norwegian-tippeligaen/13/index
27	english+national+league	English National League	http://www.espnfc.us/english-national-league/27/index
46	scottish+championship	Scottish Championship	http://www.espnfc.us/scottish-championship/46/index
47	scottish+league+one	Scottish League One	http://www.espnfc.us/scottish-league-one/47/index
48	scottish+league+two	Scottish League Two	http://www.espnfc.us/scottish-league-two/48/index
105	dutch+eerste+divisie	Dutch Eeerste Divisie	http://www.espnfc.us/dutch-eerste-divisie/105/index
107	spanish+segunda+division	Spanish Segunda Division	http://www.espnfc.us/spanish-segunda-division/107/index
2299	brasileirao+b	Brasileirao B	http://www.espnfc.us/brasileirao-b/2299/index
2354	romanian+first+division	Romanian First Division	http://www.espnfc.us/romanian-first-division/2354/index
2359	israeli+premier+league	Israeli Premier League	http://www.espnfc.us/israeli-premier-league/2359/index
2357	maltese+premier+league	Maltese Premier League	http://www.espnfc.us/maltese-premier-league/2357/index
2244	primera+division+de+el+salvador	Primera División de El Salvador	http://www.espnfc.us/primera-division-de-el-salvador/2244/index
2248	liga+nacional+de+guatemala	Liga Nacional de Guatemala	http://www.espnfc.us/liga-nacional-de-guatemala/2248/index
2197	south+african+premiership	South African Premiership	http://www.espnfc.us/south-african-premiership/2197/index
2294	nacional+b+de+argentina	Nacional B de Argentina	http://www.espnfc.us/nacional-b-de-argentina/2294/index
2308	primera+division+b+de+argentina	Primera Division B de Argentina	http://www.espnfc.us/primera-division-b-de-argentina/2308/index
2301	primera+division+c+de+argentina	Primera Division C de Argentina	http://www.espnfc.us/primera-division-c-de-argentina/2301/index
2304	primera+division+d+de+argentina	Primera Division D de Argentina	http://www.espnfc.us/primera-division-d-de-argentina/2304/index
