game_date,team_lg,team,site,opponent,opponent_lg,win,lose,draw
2016-03-19,australian+a-league,Western Sydney Wanderers,home,australian+a-league,Adelaide United,0.460,0.274,0.265
2016-03-20,portuguese+liga,Academica de Coimbra,home,portuguese+liga,Estoril,0.407,0.272,0.322
2016-03-20,italian+serie+a,AC Milan,home,italian+serie+a,Lazio,0.449,0.269,0.282
2016-03-20,dutch+eredivisie,ADO Den Haag,home,dutch+eredivisie,NEC Nijmegen,0.492,0.242,0.266
2016-03-20,italian+serie+a,Atalanta,home,italian+serie+a,Bologna,0.387,0.290,0.323
2016-03-20,french+ligue+1,Bordeaux,home,french+ligue+1,Bastia,0.484,0.220,0.296
2016-03-20,danish+sas-ligaen,Brøndby,home,danish+sas-ligaen,Esbjerg,0.453,0.266,0.281
2016-03-20,portuguese+liga,CD Nacional de Madeira,home,portuguese+liga,Guimaraes,0.444,0.259,0.298
2016-03-20,primera+división+de+uruguay,Cerro,home,primera+división+de+uruguay,Nacional,0.405,0.327,0.267
2016-03-20,primera+división+de+uruguay,Defensor Sporting,home,primera+división+de+uruguay,Liverpool,0.498,0.227,0.276
2016-03-20,spanish+primera+división,Espanyol,home,spanish+primera+división,Athletic Bilbao,0.347,0.363,0.290
2016-03-20,german+bundesliga,FC Augsburg,home,german+bundesliga,Borussia Dortmund,0.323,0.428,0.249
2016-03-20,dutch+eredivisie,FC Groningen,home,dutch+eredivisie,Vitesse Arnhem,0.395,0.326,0.279
2016-03-20,danish+sas-ligaen,FC Nordsjaelland,home,danish+sas-ligaen,FC Copenhagen,0.386,0.314,0.300
2016-03-20,swiss+super+league,FC Sion,home,swiss+super+league,FC Basel,0.331,0.413,0.256
2016-03-20,swiss+super+league,FC Vaduz,home,swiss+super+league,FC Zürich,0.390,0.309,0.301
2016-03-20,italian+serie+a,Frosinone,home,italian+serie+a,Fiorentina,0.347,0.361,0.292
2016-03-20,primera+división+de+uruguay,Juventud,home,primera+división+de+uruguay,Wanderers,0.396,0.315,0.289
2016-03-20,russian+premier+league,Krasnodar,home,russian+premier+league,Lokomotiv Moscow,0.460,0.268,0.271
2016-03-20,russian+premier+league,Krylia Sovetov,home,russian+premier+league,Zenit St Petersburg,0.295,0.409,0.296
2016-03-20,barclays+premier+league,Manchester City,home,barclays+premier+league,Manchester United,0.565,0.205,0.229
2016-03-20,australian+a-league,Melbourne Victory,home,australian+a-league,Newcastle Jets,0.498,0.222,0.280
2016-03-20,italian+serie+a,Napoli,home,italian+serie+a,Genoa,0.604,0.170,0.226
2016-03-20,barclays+premier+league,Newcastle United,home,barclays+premier+league,Sunderland,0.386,0.307,0.308
2016-03-20,french+ligue+1,Nice,home,french+ligue+1,GFC Ajaccio,0.490,0.226,0.284
2016-03-20,french+ligue+1,Paris Saint-Germain,home,french+ligue+1,AS Monaco,0.608,0.182,0.211
2016-03-20,dutch+eredivisie,PSV Eindhoven,home,dutch+eredivisie,Ajax Amsterdam,0.506,0.279,0.215
2016-03-20,spanish+primera+división,Real Madrid,home,spanish+primera+división,Sevilla FC,0.612,0.187,0.201
2016-03-20,italian+serie+a,Sampdoria,home,italian+serie+a,Chievo Verona,0.459,0.253,0.287
2016-03-20,italian+serie+a,Sassuolo,home,italian+serie+a,Udinese,0.457,0.245,0.298
2016-03-20,danish+sas-ligaen,Sonderjyske,home,danish+sas-ligaen,FC Midtjylland,0.488,0.251,0.261
2016-03-20,barclays+premier+league,Southampton,home,barclays+premier+league,Liverpool,0.436,0.283,0.280
2016-03-20,austrian+bundesliga,SV Josko Ried,home,austrian+bundesliga,Rapid Vienna,0.345,0.386,0.268
2016-03-20,italian+serie+a,Torino,home,italian+serie+a,Juventus,0.402,0.326,0.272
2016-03-20,barclays+premier+league,Tottenham Hotspur,home,barclays+premier+league,AFC Bournemouth,0.516,0.226,0.258
2016-03-20,dutch+eredivisie,Twente Enschede,home,dutch+eredivisie,AZ Alkmaar,0.412,0.330,0.258
2016-03-20,primera+división+de+chile,Universidad de Chile,home,primera+división+de+chile,Colo Colo,0.491,0.258,0.251
2016-03-20,primera+división+de+chile,Universidad de Concepción,home,primera+división+de+chile,Audax Italiano,0.477,0.259,0.264
2016-03-20,spanish+primera+división,Valencia,home,spanish+primera+división,Celta Vigo,0.420,0.296,0.284
2016-03-20,german+bundesliga,VfB Stuttgart,home,german+bundesliga,Bayer Leverkusen,0.486,0.260,0.254
2016-03-20,spanish+primera+división,Villarreal,home,spanish+primera+división,Barcelona,0.258,0.503,0.239
2016-03-20,australian+a-league,Wellington Phoenix FC,home,australian+a-league,Perth Glory,0.412,0.320,0.269
2016-03-21,primera+división+de+chile,Cobresal,home,primera+división+de+chile,Unión La Calera,0.474,0.245,0.281
2016-03-25,australian+a-league,Melbourne Victory,home,australian+a-league,Western Sydney Wanderers,0.435,0.294,0.272
