game_date,team,e_team,site,opponent,e_opponent,win,lose,draw
2020-02-27,LAFC,1.8,home,León,1.6,0.427,0.350,0.223
2020-02-29,DC United,1.6,home,Colorado Rapids,1.2,0.471,0.282,0.247
2020-02-29,FC Dallas,1.8,home,Philadelphia Union,1.4,0.477,0.294,0.228
2020-02-29,Houston Dynamo,1.8,home,LA Galaxy,1.5,0.447,0.322,0.231
2020-02-29,Montreal Impact,1.8,home,New England Revolution,1.2,0.511,0.258,0.231
2020-02-29,Nashville SC,1.5,home,Atlanta United FC,1.2,0.427,0.315,0.258
2020-02-29,Orlando City SC,1.4,home,Real Salt Lake,1.2,0.423,0.314,0.262
2020-02-29,San Jose Earthquakes,1.8,home,Toronto FC,1.5,0.441,0.329,0.230
2020-02-29,Vancouver Whitecaps,1.6,home,Sporting Kansas City,1.5,0.411,0.350,0.239
2020-03-01,Columbus Crew SC,1.3,home,New York City FC,1.3,0.365,0.371,0.264
2020-03-01,New York Red Bulls,2.3,home,FC Cincinnati,1.0,0.664,0.151,0.185
2020-03-01,Portland Timbers,1.5,home,Minnesota United FC,1.1,0.451,0.292,0.257
2020-03-01,Seattle Sounders FC,1.7,home,Chicago Fire,1.3,0.463,0.298,0.240
