country_id,country_name,country_url,leagues
england,England,http://www.football-data.co.uk/englandm.php,"Premiership & Divs 1,2,3 & Conference"
scotland,Scotland,http://www.football-data.co.uk/scotlandm.php,"Premiership & Divs 1,2 & 3"
germany,Germany,http://www.football-data.co.uk/germanym.php,Bundesligas 1 & 2
italy,Italy,http://www.football-data.co.uk/italym.php,Serie A & B
spain,Spain,http://www.football-data.co.uk/spainm.php,La Liga (Premera & Segunda)
france,France,http://www.football-data.co.uk/francem.php,Le Championnat & Division 2
netherlands,Netherlands,http://www.football-data.co.uk/netherlandsm.php,KPN Eredivisie
belgium,Belgium,http://www.football-data.co.uk/belgiumm.php,Jupiler League
portugal,Portugal,http://www.football-data.co.uk/portugalm.php,Liga I
turkey,Turkey,http://www.football-data.co.uk/turkeym.php,Ligi 1
greece,Greece,http://www.football-data.co.uk/greecem.php,Ethniki Katigoria
