year,round_id,team_id,team_name,bracket,p
2015,1,chi,Chile,"{1,1,1}",1.0
2015,1,per,Peru,"{2,1,1}",1.0
2015,1,arg,Argentina,"{3,2,1}",1.0
2015,1,par,Paraguay,"{4,2,1}",1.0
