team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Argentina,0.9,Chile,0.9,0.499,0.501,0.335,0.337,0.328,0.065,0.065,0.099,0.099
Argentina,1.2,Paraguay,0.4,0.726,0.274,0.537,0.143,0.320,0.089,0.031,0.100,0.100
Argentina,1.0,Peru,0.4,0.713,0.287,0.512,0.144,0.344,0.089,0.032,0.112,0.112
Chile,0.9,Argentina,0.9,0.501,0.499,0.337,0.335,0.328,0.065,0.065,0.099,0.099
Chile,1.4,Paraguay,0.5,0.749,0.251,0.581,0.143,0.276,0.088,0.029,0.079,0.079
Chile,1.3,Peru,0.5,0.735,0.265,0.557,0.145,0.298,0.089,0.030,0.090,0.090
Paraguay,0.4,Argentina,1.2,0.274,0.726,0.143,0.537,0.320,0.031,0.089,0.100,0.100
Paraguay,0.5,Chile,1.4,0.251,0.749,0.143,0.581,0.276,0.029,0.088,0.079,0.079
Paraguay,0.6,Peru,0.6,0.496,0.504,0.293,0.299,0.409,0.063,0.064,0.141,0.141
Peru,0.4,Argentina,1.0,0.287,0.713,0.144,0.512,0.344,0.032,0.089,0.112,0.112
Peru,0.5,Chile,1.3,0.265,0.735,0.145,0.557,0.298,0.030,0.089,0.090,0.090
Peru,0.6,Paraguay,0.6,0.504,0.496,0.299,0.293,0.409,0.064,0.063,0.141,0.141
