year,round_id,team_id,team_name,bracket,p
2015,1,chn,China PR,"{1,1,1,1,1}",1.0
2015,1,cmr,Cameroon,"{2,1,1,1,1}",1.0
2015,1,usa,USA,"{3,2,1,1,1}",1.0
2015,1,col,Colombia,"{4,2,1,1,1}",1.0
2015,1,ger,Germany,"{5,3,2,1,1}",1.0
2015,1,swe,Sweden,"{6,3,2,1,1}",1.0
2015,1,fra,France,"{7,4,2,1,1}",1.0
2015,1,prk,Korea DPR,"{8,4,2,1,1}",1.0
2015,1,bra,Brazil,"{9,5,3,2,1}",1.0
2015,1,aus,Australia,"{10,5,3,2,1}",1.0
2015,1,jpn,Japan,"{11,6,3,2,1}",1.0
2015,1,ned,Netherlands,"{12,6,3,2,1}",1.0
2015,1,nor,Norway,"{13,7,4,2,1}",1.0
2015,1,eng,England,"{14,7,4,2,1}",1.0
2015,1,can,Canada,"{15,8,4,2,1}",1.0
2015,1,sui,Switzerland,"{16,8,4,2,1}",1.0
