team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,tie_reg,win_ot,lose_ot,win_pk,lose_pk
Canada,1.9,Switzerland,0.6,0.820,0.180,0.684,0.111,0.205,0.089,0.022,0.047,0.047
Canada,0.6,USA,1.2,0.311,0.689,0.182,0.509,0.309,0.041,0.093,0.088,0.088
China PR,0.7,Australia,1.2,0.343,0.657,0.214,0.485,0.301,0.046,0.089,0.083,0.083
China PR,0.4,Brazil,1.0,0.283,0.717,0.133,0.500,0.367,0.032,0.099,0.118,0.118
China PR,0.8,Cameroon,0.3,0.680,0.320,0.449,0.147,0.404,0.095,0.037,0.136,0.136
China PR,0.3,Canada,1.1,0.254,0.746,0.118,0.539,0.343,0.028,0.100,0.107,0.107
China PR,0.7,Colombia,0.5,0.559,0.441,0.340,0.242,0.418,0.078,0.058,0.141,0.141
China PR,0.5,England,1.1,0.287,0.713,0.155,0.521,0.325,0.036,0.096,0.097,0.097
China PR,0.3,France,1.5,0.167,0.833,0.079,0.663,0.258,0.017,0.098,0.072,0.072
China PR,0.3,Germany,1.9,0.106,0.894,0.053,0.765,0.182,0.010,0.085,0.043,0.043
China PR,0.4,Japan,1.3,0.215,0.785,0.106,0.601,0.293,0.024,0.100,0.085,0.085
China PR,0.6,Korea Republic,0.7,0.472,0.528,0.277,0.324,0.398,0.064,0.074,0.130,0.130
China PR,0.6,Netherlands,0.9,0.390,0.610,0.229,0.415,0.356,0.052,0.085,0.109,0.109
China PR,0.6,Norway,0.9,0.380,0.620,0.220,0.424,0.356,0.051,0.087,0.109,0.109
China PR,0.5,Sweden,1.3,0.267,0.733,0.150,0.553,0.297,0.033,0.096,0.084,0.084
China PR,1.0,Switzerland,1.0,0.500,0.500,0.341,0.342,0.317,0.070,0.070,0.088,0.088
China PR,0.3,USA,1.8,0.108,0.892,0.051,0.759,0.190,0.010,0.087,0.046,0.046
Colombia,0.7,Australia,1.6,0.263,0.737,0.165,0.582,0.254,0.035,0.092,0.064,0.064
Colombia,0.3,Brazil,1.2,0.218,0.782,0.104,0.592,0.304,0.024,0.100,0.090,0.090
Colombia,0.8,Cameroon,0.4,0.636,0.364,0.417,0.187,0.396,0.089,0.046,0.131,0.131
Colombia,0.3,Canada,1.4,0.190,0.810,0.091,0.632,0.278,0.020,0.099,0.079,0.079
Colombia,0.5,China PR,0.7,0.441,0.559,0.242,0.340,0.418,0.058,0.078,0.141,0.141
Colombia,0.5,England,1.4,0.217,0.783,0.119,0.615,0.266,0.026,0.096,0.072,0.072
Colombia,0.3,France,1.9,0.112,0.888,0.055,0.755,0.191,0.011,0.087,0.046,0.046
Colombia,0.3,Germany,2.5,0.062,0.938,0.033,0.846,0.121,0.006,0.067,0.024,0.024
Colombia,0.4,Japan,1.6,0.152,0.848,0.077,0.695,0.227,0.016,0.094,0.059,0.059
Colombia,0.6,Korea Republic,0.9,0.404,0.596,0.237,0.400,0.363,0.054,0.084,0.112,0.112
Colombia,0.6,Netherlands,1.2,0.316,0.684,0.186,0.503,0.311,0.041,0.092,0.089,0.089
Colombia,0.6,Norway,1.2,0.306,0.694,0.178,0.513,0.309,0.040,0.093,0.088,0.088
Colombia,0.5,Sweden,1.6,0.196,0.804,0.112,0.650,0.239,0.024,0.094,0.061,0.061
Colombia,0.9,Switzerland,1.2,0.418,0.582,0.284,0.426,0.290,0.058,0.080,0.076,0.076
Colombia,0.3,USA,2.4,0.064,0.936,0.032,0.840,0.127,0.006,0.069,0.026,0.026
England,1.5,Australia,1.1,0.608,0.392,0.466,0.276,0.258,0.081,0.055,0.061,0.061
England,0.8,Brazil,0.9,0.463,0.537,0.294,0.356,0.350,0.064,0.075,0.105,0.105
England,1.8,Cameroon,0.3,0.878,0.122,0.736,0.059,0.205,0.090,0.012,0.051,0.051
England,0.7,Canada,1.0,0.427,0.573,0.268,0.392,0.340,0.059,0.080,0.100,0.100
England,1.1,China PR,0.5,0.713,0.287,0.521,0.155,0.325,0.096,0.036,0.097,0.097
England,1.4,Colombia,0.5,0.783,0.217,0.615,0.119,0.266,0.096,0.026,0.072,0.072
England,0.7,France,1.3,0.315,0.685,0.194,0.516,0.290,0.042,0.091,0.078,0.078
England,0.7,Germany,1.7,0.228,0.772,0.143,0.625,0.232,0.029,0.091,0.056,0.056
England,0.8,Japan,1.2,0.389,0.611,0.251,0.442,0.307,0.054,0.084,0.085,0.085
England,1.3,Korea Republic,0.6,0.707,0.293,0.535,0.176,0.289,0.093,0.038,0.079,0.079
England,1.3,Netherlands,0.8,0.633,0.367,0.472,0.240,0.288,0.086,0.051,0.076,0.076
England,1.2,Norway,0.8,0.620,0.380,0.457,0.250,0.293,0.084,0.053,0.078,0.078
England,1.1,Sweden,1.1,0.487,0.513,0.345,0.367,0.289,0.068,0.071,0.075,0.075
