men,1981,2,FIFA World Cup™ Qualifier,52,FIFA WC 1982 Prel. Comp. CONMEBOL,3 Matches,Sunday 22/02/1981,Group 1,784,19810222,bol,Bolivia,/world-match-centre/teams/country=bol/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,1-2,"Estadio Nacional Olimpico - La Paz , Bolivia"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Sunday 01/02/1981,"",49420,19810201,col,Colombia,/world-match-centre/teams/country=col/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,1-1,"BOGOTA - Bogota , Colombia"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Sunday 01/02/1981,"",49421,19810201,bol,Bolivia,/world-match-centre/teams/country=bol/index.html,bul,Bulgaria,/world-match-centre/teams/country=bul/index.html,1-3,"LA PAZ - La Paz , Bolivia"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Monday 02/02/1981,"",43419,19810202,gui,Guinea,/world-match-centre/teams/country=gui/index.html,gam,Gambia,/world-match-centre/teams/country=gam/index.html,1-1,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Monday 02/02/1981,"",43420,19810202,mli,Mali,/world-match-centre/teams/country=mli/index.html,mtn,Mauritania,/world-match-centre/teams/country=mtn/index.html,2-0,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Wednesday 04/02/1981,"",43421,19810204,mli,Mali,/world-match-centre/teams/country=mli/index.html,gui,Guinea,/world-match-centre/teams/country=gui/index.html,1-1,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Wednesday 04/02/1981,"",43422,19810204,mtn,Mauritania,/world-match-centre/teams/country=mtn/index.html,gam,Gambia,/world-match-centre/teams/country=gam/index.html,1-0,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Friday 06/02/1981,"",43423,19810206,gui,Guinea,/world-match-centre/teams/country=gui/index.html,mtn,Mauritania,/world-match-centre/teams/country=mtn/index.html,2-1,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Friday 06/02/1981,"",43424,19810206,mli,Mali,/world-match-centre/teams/country=mli/index.html,gam,Gambia,/world-match-centre/teams/country=gam/index.html,4-1,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Sunday 08/02/1981,"",49418,19810208,mas,Malaysia,/world-match-centre/teams/country=mas/index.html,jpn,Japan,/world-match-centre/teams/country=jpn/index.html,0-1,"Darul Makmur - Kuantan , Malaysia"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Tuesday 10/02/1981,"",49417,19810210,mas,Malaysia,/world-match-centre/teams/country=mas/index.html,jpn,Japan,/world-match-centre/teams/country=jpn/index.html,1-1,"Merdeka - Kuala Lumpur , Malaysia"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Tuesday 10/02/1981,"",43430,19810210,gui,Guinea,/world-match-centre/teams/country=gui/index.html,sen,Senegal,/world-match-centre/teams/country=sen/index.html,1-0,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Wednesday 11/02/1981,"",49416,19810211,mex,Mexico,/world-match-centre/teams/country=mex/index.html,kor,Korea Republic,/world-match-centre/teams/country=kor/index.html,4-0,"Estadio Azteca - Mexico City , Mexico"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Thursday 12/02/1981,"",49414,19810212,per,Peru,/world-match-centre/teams/country=per/index.html,bul,Bulgaria,/world-match-centre/teams/country=bul/index.html,1-2,"LIMA - Lima , Peru"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Friday 13/02/1981,"",43432,19810213,mli,Mali,/world-match-centre/teams/country=mli/index.html,gui,Guinea,/world-match-centre/teams/country=gui/index.html,0-0 (5-6) Win on penalty,"BAMAKO - Bamako , Mali"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Saturday 14/02/1981,"",49413,19810214,ecu,Ecuador,/world-match-centre/teams/country=ecu/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,0-6,"QUITO - Quito , Ecuador"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Sunday 15/02/1981,"",49412,19810215,mar,Morocco,/world-match-centre/teams/country=mar/index.html,syr,Syria,/world-match-centre/teams/country=syr/index.html,3-0,"Hassan II - Fes , Morocco"
men,1981,2,Friendly,2000010101,Friendlies,21 Matches,Tuesday 17/02/1981,"",49411,19810217,sin,Singapore,/world-match-centre/teams/country=sin/index.html,jpn,Japan,/world-match-centre/teams/country=jpn/index.html,0-1,"New National Stadium - Singapore , Singapore"
