men,1916,5,Friendly,2000010101,Friendlies,1 Match,Sunday 07/05/1916,"",45457,19160507,aut,Austria,/world-match-centre/teams/country=aut/index.html,hun,Hungary,/world-match-centre/teams/country=hun/index.html,3-1,"VIENNA - Vienna , Austria"
men,1916,6,Friendly,2000010101,Friendlies,3 Matches,Sunday 04/06/1916,"",45455,19160604,hun,Hungary,/world-match-centre/teams/country=hun/index.html,aut,Austria,/world-match-centre/teams/country=aut/index.html,2-1,"BUDAPEST - Budapest , Bulgaria"
men,1916,6,Friendly,2000010101,Friendlies,3 Matches,Sunday 04/06/1916,"",45456,19160604,den,Denmark,/world-match-centre/teams/country=den/index.html,swe,Sweden,/world-match-centre/teams/country=swe/index.html,2-0,"COPENHAGEN - Copenhagen , Denmark"
men,1916,6,Friendly,2000010101,Friendlies,3 Matches,Sunday 25/06/1916,"",45454,19160625,nor,Norway,/world-match-centre/teams/country=nor/index.html,den,Denmark,/world-match-centre/teams/country=den/index.html,0-2,"KRISTIANIA - Kristiania , Norway"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Sunday 02/07/1916,,40703,19160702,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,chi,Chile,/world-match-centre/teams/country=chi/index.html,4-0,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Thursday 06/07/1916,,40704,19160706,arg,Argentina,/world-match-centre/teams/country=arg/index.html,chi,Chile,/world-match-centre/teams/country=chi/index.html,6-1,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Saturday 08/07/1916,,40705,19160708,chi,Chile,/world-match-centre/teams/country=chi/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,1-1,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Monday 10/07/1916,,40706,19160710,arg,Argentina,/world-match-centre/teams/country=arg/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,1-1,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Wednesday 12/07/1916,,40707,19160712,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,2-1,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Continental Final,235770,Copa America 1916,6 Matches,Monday 17/07/1916,,40708,19160717,arg,Argentina,/world-match-centre/teams/country=arg/index.html,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,0-0,"Gimnasia y Esgrima - Buenos Aires , Argentina"
men,1916,7,Friendly,2000010101,Friendlies,4 Matches,Sunday 02/07/1916,"",45453,19160702,swe,Sweden,/world-match-centre/teams/country=swe/index.html,nor,Norway,/world-match-centre/teams/country=nor/index.html,6-0,"STOCKHOLM - Stockholm , Sweden"
men,1916,7,Friendly,2000010101,Friendlies,4 Matches,Wednesday 12/07/1916,"",45452,19160712,arg,Argentina,/world-match-centre/teams/country=arg/index.html,chi,Chile,/world-match-centre/teams/country=chi/index.html,1-0,"BUENOS AIRES - Buenos Aires , Argentina"
men,1916,7,Friendly,2000010101,Friendlies,4 Matches,Friday 14/07/1916,"",45451,19160714,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,chi,Chile,/world-match-centre/teams/country=chi/index.html,4-1,"MONTEVIDEO - Montevideo , Uruguay"
men,1916,7,Friendly,2000010101,Friendlies,4 Matches,Tuesday 18/07/1916,"",45450,19160718,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,bra,Brazil,/world-match-centre/teams/country=bra/index.html,0-1,"MONTEVIDEO - Montevideo , Uruguay"
men,1916,8,Friendly,2000010101,Friendlies,3 Matches,Tuesday 15/08/1916,"",45448,19160815,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,arg,Argentina,/world-match-centre/teams/country=arg/index.html,1-2,"MONTEVIDEO - Montevideo , Uruguay"
men,1916,8,Friendly,2000010101,Friendlies,3 Matches,Tuesday 15/08/1916,"",45449,19160815,arg,Argentina,/world-match-centre/teams/country=arg/index.html,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,3-1,"AVELLANEDA - Avellaneda , Argentina"
men,1916,8,Friendly,2000010101,Friendlies,3 Matches,Sunday 20/08/1916,"",45447,19160820,swe,Sweden,/world-match-centre/teams/country=swe/index.html,usa,USA,/world-match-centre/teams/country=usa/index.html,2-3,"STOCKHOLM - Stockholm , Sweden"
men,1916,9,Friendly,2000010101,Friendlies,5 Matches,Sunday 03/09/1916,"",45446,19160903,nor,Norway,/world-match-centre/teams/country=nor/index.html,usa,USA,/world-match-centre/teams/country=usa/index.html,1-1,"OSLO - Oslo , Norway"
men,1916,9,Friendly,2000010101,Friendlies,5 Matches,Sunday 01/10/1916,"",45442,19161001,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,arg,Argentina,/world-match-centre/teams/country=arg/index.html,0-1,"MONTEVIDEO - Montevideo , Uruguay"
men,1916,9,Friendly,2000010101,Friendlies,5 Matches,Sunday 01/10/1916,"",45443,19161001,nor,Norway,/world-match-centre/teams/country=nor/index.html,swe,Sweden,/world-match-centre/teams/country=swe/index.html,0-0,"KRISTIANIA - Kristiania , Norway"
men,1916,9,Friendly,2000010101,Friendlies,5 Matches,Sunday 01/10/1916,"",45444,19161001,hun,Hungary,/world-match-centre/teams/country=hun/index.html,aut,Austria,/world-match-centre/teams/country=aut/index.html,2-3,"BUDAPEST - Budapest , Bulgaria"
men,1916,9,Friendly,2000010101,Friendlies,5 Matches,Sunday 01/10/1916,"",45445,19161001,arg,Argentina,/world-match-centre/teams/country=arg/index.html,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,7-2,"AVELLANEDA - Avellaneda , Argentina"
men,1916,10,Friendly,2000010101,Friendlies,7 Matches,Sunday 01/10/1916,"",45442,19161001,uru,Uruguay,/world-match-centre/teams/country=uru/index.html,arg,Argentina,/world-match-centre/teams/country=arg/index.html,0-1,"MONTEVIDEO - Montevideo , Uruguay"
men,1916,10,Friendly,2000010101,Friendlies,7 Matches,Sunday 01/10/1916,"",45443,19161001,nor,Norway,/world-match-centre/teams/country=nor/index.html,swe,Sweden,/world-match-centre/teams/country=swe/index.html,0-0,"KRISTIANIA - Kristiania , Norway"
