gender_id,country_id,country_name,country_url
men,ger,Germany,http://www.fifa.com/fifa-world-ranking/associations/association=ger/men/index.html
men,bra,Brazil,http://www.fifa.com/fifa-world-ranking/associations/association=bra/men/index.html
men,bel,Belgium,http://www.fifa.com/fifa-world-ranking/associations/association=bel/men/index.html
men,por,Portugal,http://www.fifa.com/fifa-world-ranking/associations/association=por/men/index.html
men,arg,Argentina,http://www.fifa.com/fifa-world-ranking/associations/association=arg/men/index.html
men,sui,Switzerland,http://www.fifa.com/fifa-world-ranking/associations/association=sui/men/index.html
men,fra,France,http://www.fifa.com/fifa-world-ranking/associations/association=fra/men/index.html
men,pol,Poland,http://www.fifa.com/fifa-world-ranking/associations/association=pol/men/index.html
men,chi,Chile,http://www.fifa.com/fifa-world-ranking/associations/association=chi/men/index.html
men,esp,Spain,http://www.fifa.com/fifa-world-ranking/associations/association=esp/men/index.html
men,per,Peru,http://www.fifa.com/fifa-world-ranking/associations/association=per/men/index.html
men,den,Denmark,http://www.fifa.com/fifa-world-ranking/associations/association=den/men/index.html
men,eng,England,http://www.fifa.com/fifa-world-ranking/associations/association=eng/men/index.html
men,uru,Uruguay,http://www.fifa.com/fifa-world-ranking/associations/association=uru/men/index.html
men,mex,Mexico,http://www.fifa.com/fifa-world-ranking/associations/association=mex/men/index.html
men,col,Colombia,http://www.fifa.com/fifa-world-ranking/associations/association=col/men/index.html
men,ned,Netherlands,http://www.fifa.com/fifa-world-ranking/associations/association=ned/men/index.html
men,wal,Wales,http://www.fifa.com/fifa-world-ranking/associations/association=wal/men/index.html
men,ita,Italy,http://www.fifa.com/fifa-world-ranking/associations/association=ita/men/index.html
men,cro,Croatia,http://www.fifa.com/fifa-world-ranking/associations/association=cro/men/index.html
men,tun,Tunisia,http://www.fifa.com/fifa-world-ranking/associations/association=tun/men/index.html
men,isl,Iceland,http://www.fifa.com/fifa-world-ranking/associations/association=isl/men/index.html
men,crc,Costa Rica,http://www.fifa.com/fifa-world-ranking/associations/association=crc/men/index.html
men,swe,Sweden,http://www.fifa.com/fifa-world-ranking/associations/association=swe/men/index.html
men,usa,USA,http://www.fifa.com/fifa-world-ranking/associations/association=usa/men/index.html
men,aut,Austria,http://www.fifa.com/fifa-world-ranking/associations/association=aut/men/index.html
men,sen,Senegal,http://www.fifa.com/fifa-world-ranking/associations/association=sen/men/index.html
men,svk,Slovakia,http://www.fifa.com/fifa-world-ranking/associations/association=svk/men/index.html
men,nir,Northern Ireland,http://www.fifa.com/fifa-world-ranking/associations/association=nir/men/index.html
men,rou,Romania,http://www.fifa.com/fifa-world-ranking/associations/association=rou/men/index.html
men,irl,Republic of Ireland,http://www.fifa.com/fifa-world-ranking/associations/association=irl/men/index.html
men,par,Paraguay,http://www.fifa.com/fifa-world-ranking/associations/association=par/men/index.html
men,ven,Venezuela,http://www.fifa.com/fifa-world-ranking/associations/association=ven/men/index.html
men,srb,Serbia,http://www.fifa.com/fifa-world-ranking/associations/association=srb/men/index.html
men,ukr,Ukraine,http://www.fifa.com/fifa-world-ranking/associations/association=ukr/men/index.html
men,aus,Australia,http://www.fifa.com/fifa-world-ranking/associations/association=aus/men/index.html
