     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Palmeiras    | 25 | 14 |  6 |  5 | 43 | 24 |  19 |  48
 Flamengo     | 25 | 14 |  5 |  6 | 33 | 25 |   8 |  47
 Atlético MG  | 25 | 13 |  6 |  6 | 40 | 34 |   6 |  45
 Santos FC    | 25 | 13 |  3 |  9 | 40 | 23 |  17 |  42
 Corinthians  | 25 | 12 |  5 |  8 | 35 | 24 |  11 |  41
 Ponte Preta  | 25 | 11 |  5 |  9 | 34 | 36 |  -2 |  38
 Fluminense   | 25 | 10 |  7 |  8 | 30 | 27 |   3 |  37
 Gremio       | 25 | 10 |  7 |  8 | 32 | 31 |   1 |  37
 Chapecoense  | 25 |  9 | 10 |  6 | 36 | 40 |  -4 |  37
 Paranaense   | 25 | 11 |  3 | 11 | 23 | 23 |   0 |  36
 Botafogo     | 25 | 10 |  5 | 10 | 32 | 32 |   0 |  35
 São Paulo    | 25 |  9 |  7 |  9 | 27 | 25 |   2 |  34
 Coritiba FBC | 25 |  7 |  9 |  9 | 30 | 31 |  -1 |  30
 Sport        | 25 |  8 |  6 | 11 | 36 | 40 |  -4 |  30
 EC Vitória   | 25 |  7 |  8 | 10 | 32 | 37 |  -5 |  29
 Cruzeiro     | 25 |  8 |  5 | 12 | 32 | 38 |  -6 |  29
 Figueirense  | 25 |  6 | 10 |  9 | 24 | 32 |  -8 |  28
 Int'nacional | 25 |  7 |  6 | 12 | 26 | 30 |  -4 |  27
 Santa Cruz F | 25 |  6 |  5 | 14 | 28 | 38 | -10 |  23
 América Mine | 25 |  3 |  6 | 16 | 17 | 40 | -23 |  15
(20 rows)

