     team     | p  | w  | d  | l  | gf | ga | gd  | pts 
--------------+----+----+----+----+----+----+-----+-----
 Kawasaki     | 28 | 19 |  6 |  3 | 58 | 28 |  30 |  63
 Urawa Reds   | 28 | 18 |  4 |  6 | 47 | 25 |  22 |  58
 Kashima      | 28 | 16 |  5 |  7 | 46 | 27 |  19 |  53
 Gamba Osaka  | 28 | 14 |  5 |  9 | 39 | 29 |  10 |  47
 Sanfreece    | 28 | 13 |  7 |  8 | 50 | 31 |  19 |  46
 Kashiwa Reys | 28 | 13 |  7 |  8 | 43 | 38 |   5 |  46
 Omiya Ardija | 28 | 11 | 10 |  7 | 29 | 28 |   1 |  43
 Yokohama FC  | 28 | 11 |  9 |  8 | 39 | 29 |  10 |  42
 Vissel Kobe  | 28 | 12 |  6 | 10 | 44 | 38 |   6 |  42
 FC Tokyo     | 28 | 11 |  6 | 11 | 30 | 32 |  -2 |  39
 Sagan Tosu   | 28 | 10 |  8 | 10 | 25 | 26 |  -1 |  38
 Vegalta Send | 28 | 11 |  3 | 14 | 31 | 41 | -10 |  36
 Jubilo Iwata | 28 |  7 | 10 | 11 | 34 | 43 |  -9 |  31
 Albirex      | 28 |  7 |  6 | 15 | 28 | 37 |  -9 |  27
 V Kofu       | 28 |  6 |  9 | 13 | 29 | 49 | -20 |  27
 Nagoya       | 28 |  5 |  8 | 15 | 28 | 47 | -19 |  23
 Shonan Bellm | 28 |  5 |  4 | 19 | 24 | 50 | -26 |  19
 A Fukuoka    | 28 |  3 |  7 | 18 | 21 | 47 | -26 |  16
(18 rows)

