rk,team,str,ofs,dfs,sos
1,FC Bayern München,0.88,0.71,-0.17,0.02
2,RB Leipzig,0.65,0.30,-0.35,0.03
3,Borussia Dortmund,0.53,0.49,-0.05,0.03
4,VfL Wolfsburg,0.52,0.32,-0.20,0.04
5,Eintracht Frankfurt,0.45,0.45,0.01,0.07
6,Borussia Mönchengladbach,0.35,0.29,-0.06,0.06
7,Bayer 04 Leverkusen,0.20,0.14,-0.06,0.05
8,Sport-Club Freiburg,0.16,0.09,-0.07,0.07
9,TSG 1899 Hoffenheim,0.16,0.17,0.01,0.08
10,VfB Stuttgart,0.08,0.15,0.07,0.09
11,1. FC Union Berlin,0.05,-0.02,-0.07,0.03
12,TSG Hoffenheim,-0.06,-0.02,0.04,0.11
13,1. FSV Mainz 05,-0.11,-0.11,0.01,0.07
14,SV Werder Bremen,-0.24,-0.17,0.07,0.10
15,Hertha BSC,-0.25,-0.13,0.12,0.12
16,Fortuna Düsseldorf,-0.27,-0.17,0.10,0.07
17,FC Augsburg,-0.35,-0.29,0.05,0.10
18,DSC Arminia Bielefeld,-0.38,-0.43,-0.05,0.13
19,SC Paderborn 07,-0.41,-0.22,0.20,0.07
20,1. FC Köln,-0.42,-0.19,0.24,0.10
21,FC Schalke 04,-1.05,-0.68,0.37,0.16
