Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,Sat,2020-10-24,15:30,Kaizer Chiefs,0–3,Sundowns,,Soccer City,Luxolo Badi,Match Report,
2021,,Sat,2020-10-24,15:30,Baroka FC,2–1,Maritzburg Utd,,Peter Mokaba Stadium,Cheslin Plaatjies,Match Report,
2021,,Sat,2020-10-24,15:30,Bloem Celtic,1–1,Golden Arrows,,Dr. Petrus Molemela Stadium,Christopher Kistoor,Match Report,
2021,,Sat,2020-10-24,18:00,Cape Town City,1–1,Chippa Utd,,Cape Town Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2020-10-24,20:15,AmaZulu,1–1,Orlando Pirates,,Growthpoint Kings Park Stadium,Abongile Tom,Match Report,
2021,,Sat,2020-10-24,20:15,SuperSport,2–0,Black Leopards,,Lucas Masterpieces Moripe Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2020-10-25,15:30,TTM FC,1–1,TS Galaxy,,Thohoyandou Stadium,Sikhumbuzo Gasa,Match Report,
2021,,Sun,2020-10-25,15:30,Stellenbosch FC,1–1,Moroka Swallows,,Danie Craven Stadium,Olani Kwinda,Match Report,
2021,,Tue,2020-10-27,19:30,Chippa Utd,0–1,Kaizer Chiefs,,Nelson Mandela Bay Stadium,Jelly Chavani,Match Report,
2021,,Tue,2020-10-27,19:30,Black Leopards,1–3,Baroka FC,,Thohoyandou Stadium,Thokozani Mkhize,Match Report,
2021,,Wed,2020-10-28,19:30,TS Galaxy,1–0,AmaZulu,,Mbombela Stadium,Thando Ndzandzeka,Match Report,
2021,,Wed,2020-10-28,19:30,Sundowns,0–0,TTM FC,,Loftus Versfeld Stadium,Tshidiso Maruping,Match Report,
2021,,Wed,2020-10-28,19:30,Golden Arrows,3–1,SuperSport,,Sugar Ray Xulu Stadium,Thando Ndzandzeka,Match Report,
2021,,Wed,2020-10-28,19:30,Orlando Pirates,1–1,Stellenbosch FC,,Orlando Stadium,Facundo Andújar,Match Report,
2021,,Wed,2020-10-28,19:30,Moroka Swallows,1–0,Bloem Celtic,,Volkswagen Dobsonville Stadium,Sicelo Velapi,Match Report,
2021,,Wed,2020-10-28,19:30,Maritzburg Utd,0–1,Cape Town City,,Harry Gwala Stadium,Luxolo Badi,Match Report,
2021,,Tue,2020-11-03,19:30,Chippa Utd,3–1,Maritzburg Utd,,Nelson Mandela Bay Stadium,Thabo khabela,Match Report,
2021,,Wed,2020-11-04,19:30,TTM FC,0–2,Moroka Swallows,,Thohoyandou Stadium,Michael Mosemeng,Match Report,
2021,,Wed,2020-11-04,19:30,Baroka FC,1–1,Golden Arrows,,Peter Mokaba Stadium,Moreki Lekwape,Match Report,
2021,,Wed,2020-11-04,19:30,Cape Town City,0–2,Sundowns,,Cape Town Stadium,Masixole Bambiso,Match Report,
2021,,Wed,2020-11-04,19:30,Kaizer Chiefs,0–0,TS Galaxy,,Soccer City,Tshidiso Mkwanazi,Match Report,
2021,,Wed,2020-11-04,19:30,SuperSport,1–0,Stellenbosch FC,,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2020-11-04,19:30,AmaZulu,2–0,Black Leopards,,Growthpoint Kings Park Stadium,Xola Sitela,Match Report,
2021,,Wed,2020-11-04,19:30,Bloem Celtic,0–1,Orlando Pirates,,Dr. Petrus Molemela Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2020-11-21,15:30,Black Leopards,1–0,Maritzburg Utd,,Thohoyandou Stadium,Facundo Andújar,Match Report,
2021,,Sat,2020-11-21,15:30,Stellenbosch FC,2–0,Chippa Utd,,Danie Craven Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2020-11-21,15:30,Golden Arrows,2–2,Kaizer Chiefs,,Sugar Ray Xulu Stadium,Olani Kwinda,Match Report,
2021,,Sat,2020-11-21,18:00,Orlando Pirates,2–1,SuperSport,,Orlando Stadium,Victor Gomes,Match Report,
2021,,Sat,2020-11-21,20:15,Moroka Swallows,0–0,TS Galaxy,,Volkswagen Dobsonville Stadium,Victor Hlungwani,Match Report,
2021,,Sun,2020-11-22,15:30,TTM FC,1–0,Baroka FC,,Thohoyandou Stadium,Michael Mosemeng,Match Report,
2021,,Sun,2020-11-22,15:30,Sundowns,4–3,AmaZulu,,Loftus Versfeld Stadium,Cedrick Muvhali,Match Report,
2021,,Sun,2020-11-22,15:30,Cape Town City,4–2,Bloem Celtic,,Cape Town Stadium,Qunta Siyabulela,Match Report,
2021,,Tue,2020-11-24,19:30,Moroka Swallows,1–0,Kaizer Chiefs,,Volkswagen Dobsonville Stadium,Masixole Bambiso,Match Report,
2021,,Wed,2020-11-25,19:30,Bloem Celtic,1–0,Black Leopards,,Dr. Petrus Molemela Stadium,Eugene Mdluli,Match Report,
2021,,Fri,2020-11-27,20:00,Maritzburg Utd,1–2,SuperSport,,Harry Gwala Stadium,Tshidiso Maruping,Match Report,
2021,,Sat,2020-11-28,15:30,Orlando Pirates,1–1,Baroka FC,,Orlando Stadium,Michael Mosemeng,Match Report,
2021,,Sat,2020-11-28,15:30,TS Galaxy,1–1,Golden Arrows,,Mbombela Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2020-11-28,18:00,Sundowns,3–0,Stellenbosch FC,,Loftus Versfeld Stadium,Jelly Chavani,Match Report,
2021,,Sat,2020-11-28,20:15,AmaZulu,1–1,Cape Town City,,Growthpoint Kings Park Stadium,Victor Hlungwani,Match Report,
2021,,Sun,2020-11-29,15:30,Chippa Utd,1–1,TTM FC,,Nelson Mandela Bay Stadium,Sikhumbuzo Gasa,Match Report,
2021,,Sat,2020-12-05,15:30,Golden Arrows,1–1,Moroka Swallows,,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2021,,Sat,2020-12-05,15:30,Cape Town City,2–2,Orlando Pirates,,Cape Town Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2020-12-05,18:00,TTM FC,1–1,AmaZulu,,Thohoyandou Stadium,Cedrick Muvhali,Match Report,
2021,,Sat,2020-12-05,20:15,Maritzburg Utd,1–1,Sundowns,,Harry Gwala Stadium,Victor Gomes,Match Report,
2021,,Sun,2020-12-06,15:30,Baroka FC,2–1,Chippa Utd,,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2020-12-06,15:30,TS Galaxy,0–1,Stellenbosch FC,,Mbombela Stadium,Philangenkosi Khumalo,Match Report,
2021,,Wed,2020-12-09,19:30,Kaizer Chiefs,2–2,Black Leopards,,Soccer City,Luxolo Badi,Match Report,
2021,,Tue,2020-12-15,19:30,Stellenbosch FC,1–2,Cape Town City,,Danie Craven Stadium,Luxolo Badi,Match Report,
2021,,Tue,2020-12-15,19:30,Moroka Swallows,2–0,Maritzburg Utd,,Volkswagen Dobsonville Stadium,Masixole Bambiso,Match Report,
2021,,Tue,2020-12-15,19:30,SuperSport,2–1,Kaizer Chiefs,,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2021,,Tue,2020-12-15,19:30,Sundowns,2–0,TS Galaxy,,Loftus Versfeld Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2020-12-16,15:30,Black Leopards,1–1,TTM FC,,Thohoyandou Stadium,Philangenkosi Khumalo,Match Report,
2021,,Wed,2020-12-16,17:30,AmaZulu,0–2,Golden Arrows,,Growthpoint Kings Park Stadium,Abongile Tom,Match Report,
2021,,Wed,2020-12-16,19:00,Bloem Celtic,2–0,Baroka FC,,Dr. Petrus Molemela Stadium,Phillip Tinyani,Match Report,
2021,,Wed,2020-12-16,19:00,Orlando Pirates,1–0,Chippa Utd,,Orlando Stadium,Thando Ndzandzeka,Match Report,
2021,,Fri,2020-12-18,19:00,Maritzburg Utd,2–2,Stellenbosch FC,,Harry Gwala Stadium,Eugene Mdluli,Match Report,
2021,,Sat,2020-12-19,15:30,Golden Arrows,1–1,Sundowns,,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2021,,Sat,2020-12-19,15:30,Baroka FC,1–3,SuperSport,,Peter Mokaba Stadium,Christopher Kistoor,Match Report,
2021,,Sat,2020-12-19,18:00,Kaizer Chiefs,1–1,Bloem Celtic,,Soccer City,Tshepiso Mkhwanazi,Match Report,
2021,,Sat,2020-12-19,18:00,Cape Town City,3–2,TS Galaxy,,Cape Town Stadium,Thabo khabela,Match Report,
2021,,Sun,2020-12-20,15:30,Black Leopards,1–2,Moroka Swallows,,Thohoyandou Stadium,Thokozani Mkhize,Match Report,
2021,,Sun,2020-12-20,15:30,AmaZulu,3–1,Chippa Utd,,Growthpoint Kings Park Stadium,Masixole Bambiso,Match Report,
2021,,Sat,2021-01-02,15:30,Sundowns,1–0,Orlando Pirates,,Loftus Versfeld Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-01-02,17:30,Maritzburg Utd,2–1,Bloem Celtic,,Harry Gwala Stadium,Abongile Tom,Match Report,
2021,,Tue,2021-01-05,17:00,Moroka Swallows,3–2,Cape Town City,,Volkswagen Dobsonville Stadium,Thabo khabela,Match Report,
2021,,Tue,2021-01-05,17:00,TS Galaxy,2–2,Baroka FC,,Mbombela Stadium,Eugene Mdluli,Match Report,
2021,,Tue,2021-01-05,17:00,Stellenbosch FC,2–0,TTM FC,,Danie Craven Stadium,Masixole Bambiso,Match Report,
2021,,Wed,2021-01-06,17:00,SuperSport,2–2,Chippa Utd,,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2021,,Fri,2021-01-08,17:00,Stellenbosch FC,1–1,Black Leopards,,Danie Craven Stadium,Sikhumbuzo Gasa,Match Report,
2021,,Sat,2021-01-09,15:00,Baroka FC,0–2,Sundowns,,Peter Mokaba Stadium,Abongile Tom,Match Report,
2021,,Sat,2021-01-09,15:00,TS Galaxy,0–3,SuperSport,,Mbombela Stadium,Masixole Bambiso,Match Report,
2021,,Sat,2021-01-09,15:30,Golden Arrows,1–0,Chippa Utd,,Sugar Ray Xulu Stadium,Phillip Tinyani,Match Report,
2021,,Sat,2021-01-09,17:00,TTM FC,2–2,Cape Town City,,Thohoyandou Stadium,Philangenkosi Khumalo,Match Report,
2021,,Sat,2021-01-09,17:00,Kaizer Chiefs,0–2,Maritzburg Utd,,Soccer City,Eugene Mdluli,Match Report,
2021,,Sun,2021-01-10,15:30,Bloem Celtic,1–1,AmaZulu,,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
2021,,Sun,2021-01-10,15:30,Orlando Pirates,1–1,Moroka Swallows,,Orlando Stadium,Jelly Chavani,Match Report,
2021,,Wed,2021-01-13,15:00,AmaZulu,0–1,Kaizer Chiefs,,Growthpoint Kings Park Stadium,Philangenkosi Khumalo,Match Report,
2021,,Wed,2021-01-13,17:00,TTM FC,0–3,Orlando Pirates,,Thohoyandou Stadium,Luxolo Badi,Match Report,
2021,,Wed,2021-01-13,17:00,SuperSport,2–1,Bloem Celtic,,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2021,,Sat,2021-01-16,15:00,SuperSport,0–0,Sundowns,,Lucas Masterpieces Moripe Stadium,Victor Gomes,Match Report,
2021,,Sat,2021-01-16,15:00,Golden Arrows,1–0,TTM FC,,Sugar Ray Xulu Stadium,Luxolo Badi,Match Report,
2021,,Sat,2021-01-16,15:30,Bloem Celtic,1–1,Stellenbosch FC,,Dr. Petrus Molemela Stadium,Cheslin Plaatjies,Match Report,
2021,,Sat,2021-01-16,15:30,TS Galaxy,0–1,Chippa Utd,,Mbombela Stadium,Tshidiso Maruping,Match Report,
2021,,Sat,2021-01-16,17:00,Baroka FC,0–1,Moroka Swallows,,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2021,,Sat,2021-01-16,17:00,Cape Town City,1–2,Kaizer Chiefs,,Cape Town Stadium,Thokozani Mkhize,Match Report,
2021,,Sun,2021-01-17,15:30,Black Leopards,2–0,Orlando Pirates,,Thohoyandou Stadium,Masixole Bambiso,Match Report,
2021,,Sun,2021-01-17,15:30,AmaZulu,0–0,Maritzburg Utd,,Growthpoint Kings Park Stadium,Victor Hlungwani,Match Report,
2021,,Tue,2021-01-19,17:00,Sundowns,0–0,Bloem Celtic,,Lucas Masterpieces Moripe Stadium,Thokozani Mkhize,Match Report,
2021,,Tue,2021-01-19,17:00,Kaizer Chiefs,3–0,TTM FC,,Soccer City,Abongile Tom,Match Report,
2021,,Wed,2021-01-20,17:00,Moroka Swallows,1–1,Chippa Utd,,Volkswagen Dobsonville Stadium,Luxolo Badi,Match Report,
2021,,Wed,2021-01-20,17:00,Black Leopards,0–2,Cape Town City,,Thohoyandou Stadium,Eugene Mdluli,Match Report,
2021,,Wed,2021-01-20,17:00,Orlando Pirates,0–0,Golden Arrows,,Orlando Stadium,Victor Gomes,Match Report,
2021,,Wed,2021-01-20,17:00,Stellenbosch FC,2–3,Baroka FC,,Danie Craven Stadium,Philangenkosi Khumalo,Match Report,
2021,,Wed,2021-01-20,17:00,SuperSport,1–1,AmaZulu,,Lucas Masterpieces Moripe Stadium,Phillip Tinyani,Match Report,
