Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020,2,Sun,2019-08-11,15:00,Bloem Celtic,5–0,Golden Arrows,11500,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
2020,2,Wed,2019-08-14,19:30,SuperSport,3–0,Orlando Pirates,13500,Mbombela Stadium,Abongile Tom,Match Report,
2020,2,Wed,2019-08-14,19:30,Chippa Utd,1–1,Sundowns,9002,Nelson Mandela Bay Stadium,Victor Gomes,Match Report,
2020,3,Wed,2019-08-14,19:30,Polokwane City,0–1,Bidvest Wits,2500,Pietersburg Stadium,Kulasande Qongqo,Match Report,
2020,3,Tue,2019-08-20,19:30,AmaZulu,0–0,Orlando Pirates,20000,King Goodwill Zwelithini Stadium,Victor Hlungwani,Match Report,
2020,3,Tue,2019-08-20,19:30,Sundowns,1–1,Cape Town City,6000,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2020,3,Sat,2019-08-24,15:00,Golden Arrows,2–1,Chippa Utd,3000,Sugar Ray Xulu Stadium,Luxolo Badi,Match Report,
2020,3,Sat,2019-08-24,15:00,Black Leopards,1–1,Highlands Park,9000,Thohoyandou Stadium,Abongile Tom,Match Report,
2020,3,Sat,2019-08-24,18:00,Kaizer Chiefs,1–1,SuperSport,15000,Soccer City,Olani Kwinda,Match Report,
2020,3,Sun,2019-08-25,15:00,Baroka FC,0–0,Bloem Celtic,3000,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2020,3,Sun,2019-08-25,15:00,Stellenbosch FC,0–0,Maritzburg Utd,2200,Coetzenburg Stadium,Cedrick Muvhali,Match Report,
2020,4,Tue,2019-08-27,19:30,Cape Town City,1–2,Kaizer Chiefs,16500,Cape Town Stadium,Kulasande Qongqo,Match Report,
2020,4,Tue,2019-08-27,19:30,Highlands Park,2–1,AmaZulu,2000,Makhulong Stadium,Jelly Chavani,Match Report,
2020,4,Wed,2019-08-28,19:30,Orlando Pirates,0–0,Golden Arrows,5000,Orlando Stadium,Thando Ndzandzeka,Match Report,
2020,4,Wed,2019-08-28,19:30,Bloem Celtic,1–2,Sundowns,17000,Sisa Dukashe Stadium,Olani Kwinda,Match Report,
2020,4,Wed,2019-08-28,19:30,Chippa Utd,0–0,Polokwane City,1830,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
2020,4,Wed,2019-08-28,19:30,Baroka FC,0–2,SuperSport,2000,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2020,4,Wed,2019-08-28,19:30,Maritzburg Utd,0–1,Black Leopards,5000,Harry Gwala Stadium,Luxolo Badi,Match Report,
2020,4,Wed,2019-08-28,19:30,Bidvest Wits,2–1,Stellenbosch FC,1500,BidVest Stadium,Philangenkosi Khumalo,Match Report,
2020,5,Sat,2019-09-14,15:00,Golden Arrows,1–1,AmaZulu,5000,Sugar Ray Xulu Stadium,Thando Ndzandzeka,Match Report,
2020,5,Sat,2019-09-14,15:00,Orlando Pirates,2–1,Chippa Utd,10000,Orlando Stadium,Victor Hlungwani,Match Report,
2020,5,Sat,2019-09-14,18:00,Kaizer Chiefs,0–1,Polokwane City,4000,Soccer City,Masixole Bambiso,Match Report,
2020,5,Sat,2019-09-14,20:15,SuperSport,3–3,Cape Town City,3497,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2020,5,Sun,2019-09-15,15:00,Bloem Celtic,2–1,Stellenbosch FC,9800,Sisa Dukashe Stadium,Khulekani Thusi,Match Report,
2020,5,Sun,2019-09-15,15:00,Black Leopards,0–2,Baroka FC,10000,Thohoyandou Stadium,Abongile Tom,Match Report,
2020,6,Sat,2019-09-21,15:00,Stellenbosch FC,2–2,Black Leopards,1000,Coetzenburg Stadium,Philangenkosi Khumalo,Match Report,
2020,6,Sat,2019-09-21,15:00,Polokwane City,3–1,SuperSport,2478,Pietersburg Stadium,Khulekani Thusi,Match Report,
2020,6,Sat,2019-09-21,15:00,Chippa Utd,0–0,Bloem Celtic,3249,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2020,6,Sat,2019-09-21,18:00,Sundowns,2–1,Maritzburg Utd,6000,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2020,6,Sat,2019-09-21,20:15,Bidvest Wits,4–3,Orlando Pirates,15000,BidVest Stadium,Abongile Tom,Match Report,
2020,6,Sun,2019-09-22,15:00,Baroka FC,1–2,Highlands Park,2786,Peter Mokaba Stadium,Luxolo Badi,Match Report,
2020,6,Sun,2019-09-22,15:00,Cape Town City,1–1,Golden Arrows,4000,Cape Town Stadium,Victor Gomes,Match Report,
2020,6,Tue,2019-09-24,15:00,AmaZulu,0–2,Kaizer Chiefs,14000,King Goodwill Zwelithini Stadium,Cedrick Muvhali,Match Report,
2020,7,Fri,2019-09-27,20:00,Maritzburg Utd,1–0,Chippa Utd,5000,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
2020,7,Sat,2019-09-28,15:00,Golden Arrows,2–2,Stellenbosch FC,3000,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2020,7,Sat,2019-09-28,15:00,Orlando Pirates,3–3,Cape Town City,6000,Orlando Stadium,Thando Ndzandzeka,Match Report,
2020,7,Sat,2019-09-28,18:00,Kaizer Chiefs,1–0,Baroka FC,12000,Soccer City,Victor Gomes,Match Report,
2020,7,Sat,2019-09-28,20:15,SuperSport,1–0,AmaZulu,3000,Lucas Masterpieces Moripe Stadium,Olani Kwinda,Match Report,
2020,7,Sun,2019-09-29,15:00,Highlands Park,2–0,Polokwane City,3500,Makhulong Stadium,Abongile Tom,Match Report,
2020,7,Sun,2019-09-29,15:00,Black Leopards,1–0,Bloem Celtic,8000,Thohoyandou Stadium,Masixole Bambiso,Match Report,
2020,8,Tue,2019-10-01,19:30,AmaZulu,2–1,Cape Town City,2500,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
2020,8,Tue,2019-10-01,19:30,Kaizer Chiefs,2–0,Golden Arrows,3000,Soccer City,Olani Kwinda,Match Report,
2020,8,Tue,2019-10-01,19:30,Chippa Utd,0–1,Bidvest Wits,6572,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2020,8,Wed,2019-10-02,19:30,Maritzburg Utd,1–0,Baroka FC,4000,Harry Gwala Stadium,Victor Hlungwani,Match Report,
2020,8,Wed,2019-10-02,19:30,Polokwane City,0–2,Stellenbosch FC,1800,Pietersburg Stadium,Luxolo Badi,Match Report,
2020,8,Wed,2019-10-02,19:30,Black Leopards,1–2,Sundowns,18000,Thohoyandou Stadium,Cedrick Muvhali,Match Report,
2020,5,Wed,2019-10-23,19:30,Sundowns,1–0,Highlands Park,5000,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2020,9,Fri,2019-10-25,20:00,SuperSport,2–2,Black Leopards,3000,Lucas Masterpieces Moripe Stadium,Luxolo Badi,Match Report,
2020,9,Fri,2019-10-25,20:00,Cape Town City,0–1,Maritzburg Utd,2000,Cape Town Stadium,Jelly Chavani,Match Report,
2020,9,Sat,2019-10-26,15:30,Golden Arrows,2–1,Polokwane City,3000,Sugar Ray Xulu Stadium,Thando Ndzandzeka,Match Report,
2020,9,Sat,2019-10-26,15:30,Stellenbosch FC,1–0,Orlando Pirates,16900,Coetzenburg Stadium,Abongile Tom,Match Report,
2020,9,Sat,2019-10-26,20:15,Highlands Park,2–0,Chippa Utd,2000,Makhulong Stadium,Khulekani Thusi,Match Report,
2020,9,Sun,2019-10-27,15:30,Baroka FC,0–1,AmaZulu,300,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2020,9,Sun,2019-10-27,15:30,Sundowns,0–2,Kaizer Chiefs,35000,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2020,8,Tue,2019-10-29,19:30,Highlands Park,0–1,Orlando Pirates,11000,Makhulong Stadium,Abongile Tom,Match Report,
2020,8,Wed,2019-10-30,19:30,Bloem Celtic,1–1,SuperSport,11500,Sisa Dukashe Stadium,Philangenkosi Khumalo,Match Report,
2020,10,Tue,2019-11-05,19:30,Orlando Pirates,0–0,Maritzburg Utd,3220,Orlando Stadium,Kulasande Qongqo,Match Report,
2020,10,Tue,2019-11-05,19:30,SuperSport,0–0,Golden Arrows,1845,Lucas Masterpieces Moripe Stadium,Olani Qwinda,Match Report,
2020,10,Tue,2019-11-05,19:30,Bloem Celtic,3–1,Highlands Park,8100,Sisa Dukashe Stadium,Masixole Bambiso,Match Report,
2020,10,Wed,2019-11-06,19:30,Cape Town City,5–3,Polokwane City,300,Cape Town Stadium,Victor Hlungwani,Match Report,
2020,10,Wed,2019-11-06,19:30,Baroka FC,0–0,Sundowns,4000,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2020,10,Wed,2019-11-06,19:30,AmaZulu,2–0,Stellenbosch FC,3000,King Goodwill Zwelithini Stadium,Tshidiso Maruping,Match Report,
2020,10,Wed,2019-11-06,19:30,Chippa Utd,0–2,Kaizer Chiefs,17561,Nelson Mandela Bay Stadium,Khulekani Thusi,Match Report,
2020,11,Fri,2019-11-08,20:00,Bidvest Wits,0–1,SuperSport,1000,BidVest Stadium,Victor Hlungwani,Match Report,
2020,11,Fri,2019-11-08,20:00,Maritzburg Utd,2–2,Bloem Celtic,5000,Harry Gwala Stadium,Jelly Chavani,Match Report,
2020,11,Sat,2019-11-09,15:30,Stellenbosch FC,0–0,Highlands Park,200,Coetzenburg Stadium,Luxolo Badi,Match Report,
2020,11,Sat,2019-11-09,15:30,Polokwane City,0–1,Baroka FC,2800,Pietersburg Stadium,Kulasande Qongqo,Match Report,
2020,11,Sat,2019-11-09,15:30,Kaizer Chiefs,3–2,Orlando Pirates,88000,Soccer City,Thando Ndzandzeka,Match Report,
2020,11,Sat,2019-11-09,20:15,AmaZulu,0–2,Chippa Utd,2000,King Goodwill Zwelithini Stadium,Masixole Bambiso,Match Report,
2020,11,Sun,2019-11-10,15:30,Black Leopards,2–1,Cape Town City,5577,Thohoyandou Stadium,Khulekani Thusi,Match Report,
2020,11,Sun,2019-11-10,15:30,Golden Arrows,3–2,Sundowns,6000,Sugar Ray Xulu Stadium,Abongile Tom,Match Report,
2020,12,Tue,2019-11-26,19:30,Highlands Park,1–1,Bidvest Wits,2000,Makhulong Stadium,Victor Gomes,Match Report,
2020,12,Tue,2019-11-26,19:30,Sundowns,1–0,AmaZulu,4000,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2020,12,Tue,2019-11-26,19:30,Orlando Pirates,3–2,Polokwane City,4100,Orlando Stadium,Masixole Bambiso,Match Report,
2020,12,Wed,2019-11-27,19:30,Bloem Celtic,0–0,Cape Town City,11100,Sisa Dukashe Stadium,Phelelani Ndaba,Match Report,
2020,12,Wed,2019-11-27,19:30,Baroka FC,0–1,Golden Arrows,2500,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
2020,12,Wed,2019-11-27,19:30,Chippa Utd,3–0,Black Leopards,1863,Nelson Mandela Bay Stadium,Philangenkosi Khumalo,Match Report,
2020,12,Wed,2019-11-27,19:30,Maritzburg Utd,0–2,SuperSport,5000,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2020,12,Wed,2019-11-27,19:30,Stellenbosch FC,0–4,Kaizer Chiefs,15000,Coetzenburg Stadium,Khulekani Thusi,Match Report,
2020,13,Sat,2019-11-30,15:30,Polokwane City,0–1,Bloem Celtic,2300,Pietersburg Stadium,Luxolo Badi,Match Report,
2020,13,Sat,2019-11-30,18:00,Black Leopards,2–1,Golden Arrows,7000,Thohoyandou Stadium,Tshidiso Maruping,Match Report,
2020,13,Sat,2019-11-30,18:00,Cape Town City,0–0,Highlands Park,2000,Cape Town Stadium,Masixole Bambiso,Match Report,
2020,13,Sat,2019-11-30,20:15,SuperSport,1–1,Stellenbosch FC,2000,Lucas Masterpieces Moripe Stadium,Phelelani Ndaba,Match Report,
2020,13,Sun,2019-12-01,15:30,AmaZulu,0–0,Maritzburg Utd,3000,King Goodwill Zwelithini Stadium,Victor Hlungwani,Match Report,
2020,13,Sun,2019-12-01,15:30,Chippa Utd,0–0,Baroka FC,4728,Nelson Mandela Bay Stadium,Abongile Tom,Match Report,
2020,14,Fri,2019-12-06,20:00,SuperSport,2–0,Highlands Park,1000,Lucas Masterpieces Moripe Stadium,Khulekani Thusi,Match Report,
2020,14,Sat,2019-12-07,15:30,Baroka FC,2–2,Orlando Pirates,9722,Peter Mokaba Stadium,Abongile Tom,Match Report,
2020,14,Sat,2019-12-07,15:30,Black Leopards,0–0,AmaZulu,5141,Thohoyandou Stadium,Thando Ndzandzeka,Match Report,
2020,14,Sat,2019-12-07,18:00,Cape Town City,0–1,Chippa Utd,4300,Cape Town Stadium,Victor Gomes,Match Report,
2020,14,Sat,2019-12-07,20:15,Kaizer Chiefs,5–3,Bloem Celtic,22365,Soccer City,Jelly Chavani,Match Report,
2020,14,Sun,2019-12-08,15:30,Polokwane City,0–1,Maritzburg Utd,2500,Pietersburg Stadium,Eugene Mdluli,Match Report,
2020,14,Wed,2019-12-11,19:30,Sundowns,3–1,Stellenbosch FC,6000,Loftus Versfeld Stadium,Kulasande Qongqo,Match Report,
2020,14,Thu,2019-12-12,18:00,Golden Arrows,0–1,Bidvest Wits,600,Sugar Ray Xulu Stadium,Thando Ndzandzeka,Match Report,
2020,7,Tue,2019-12-17,19:30,Bidvest Wits,1–1,Sundowns,5166,BidVest Stadium,Victor Gomes,Match Report,
2020,15,Fri,2019-12-20,20:00,Bidvest Wits,2–0,Cape Town City,1000,BidVest Stadium,Victor Hlungwani,Match Report,
2020,15,Sat,2019-12-21,15:30,Highlands Park,2–0,Golden Arrows,1200,Makhulong Stadium,Luxolo Badi,Match Report,
2020,15,Sat,2019-12-21,15:30,Baroka FC,0–1,Stellenbosch FC,600,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2020,15,Sat,2019-12-21,15:30,Orlando Pirates,3–1,Black Leopards,25000,Orlando Stadium,Abongile Tom,Match Report,
2020,15,Sat,2019-12-21,18:00,Sundowns,1–0,Polokwane City,6000,Lucas Masterpieces Moripe Stadium,Khulekani Thusi,Match Report,
2020,15,Sat,2019-12-21,20:15,Chippa Utd,1–0,SuperSport,3852,Nelson Mandela Bay Stadium,Masixole Bambiso,Match Report,
2020,15,Sun,2019-12-22,15:30,Maritzburg Utd,1–1,Kaizer Chiefs,10000,Harry Gwala Stadium,Victor Gomes,Match Report,
2020,15,Sun,2019-12-22,15:30,Bloem Celtic,1–2,AmaZulu,12300,Sisa Dukashe Stadium,Jelly Chavani,Match Report,
2020,16,Fri,2020-01-03,20:00,Maritzburg Utd,2–1,Golden Arrows,4500,Harry Gwala Stadium,Abongile Tom,Match Report,
2020,16,Sat,2020-01-04,15:30,Polokwane City,2–0,Chippa Utd,500,Pietersburg Stadium,Thando Ndzandzeka,Match Report,
2020,16,Sat,2020-01-04,15:30,Stellenbosch FC,0–2,Bidvest Wits,500,Coetzenburg Stadium,Eugene Mdluli,Match Report,
2020,16,Sat,2020-01-04,15:30,Bloem Celtic,1–1,Orlando Pirates,20000,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
2020,16,Sat,2020-01-04,18:00,SuperSport,2–1,Kaizer Chiefs,21809,Lucas Masterpieces Moripe Stadium,Luxolo Badi,Match Report,
2020,16,Sat,2020-01-04,20:15,AmaZulu,0–3,Sundowns,5683,King Goodwill Zwelithini Stadium,Masixole Bambiso,Match Report,
2020,16,Sun,2020-01-05,15:30,Highlands Park,2–1,Black Leopards,4000,Makhulong Stadium,Victor Gomes,Match Report,
2020,16,Sun,2020-01-05,15:30,Cape Town City,1–0,Baroka FC,2500,Cape Town Stadium,Kulasande Qongqo,Match Report,
2020,17,Tue,2020-01-07,19:30,Sundowns,0–0,Bidvest Wits,6000,Lucas Masterpieces Moripe Stadium,Abongile Tom,Match Report,
2020,17,Tue,2020-01-07,19:30,Stellenbosch FC,1–2,Bloem Celtic,300,Coetzenburg Stadium,Cedrick Muvhali,Match Report,
2020,17,Tue,2020-01-07,19:30,Polokwane City,1–4,Orlando Pirates,7435,Pietersburg Stadium,Victor Gomes,Match Report,
2020,17,Wed,2020-01-08,19:30,SuperSport,2–2,Maritzburg Utd,2000,Lucas Masterpieces Moripe Stadium,Olani Kwinda,Match Report,
2020,17,Wed,2020-01-08,19:30,Golden Arrows,1–0,Baroka FC,700,Sugar Ray Xulu Stadium,Victor Hlungwani,Match Report,
2020,17,Wed,2020-01-08,19:30,Kaizer Chiefs,3–0,Highlands Park,65000,Soccer City,Jelly Chavani,Match Report,
2020,17,Wed,2020-01-08,19:30,Black Leopards,1–2,Chippa Utd,4020,Thohoyandou Stadium,Tshidiso Maruping,Match Report,
2020,17,Wed,2020-01-08,19:30,Cape Town City,2–2,AmaZulu,5000,Cape Town Stadium,Thando Ndzandzeka,Match Report,
2020,18,Sat,2020-01-11,15:30,Baroka FC,1–0,Polokwane City,3500,Peter Mokaba Stadium,Congqo Khulasande,Match Report,
2020,18,Sat,2020-01-11,15:30,Highlands Park,1–4,Stellenbosch FC,3200,Makhulong Stadium,Masixole Bambiso,Match Report,
2020,18,Sat,2020-01-11,20:15,Chippa Utd,0–0,Maritzburg Utd,8647,Nelson Mandela Bay Stadium,Jelly Chavani,Match Report,
2020,18,Sun,2020-01-12,15:30,Bloem Celtic,4–2,Black Leopards,11150,Sisa Dukashe Stadium,Thando Ndzandzeka,Match Report,
2020,18,Sun,2020-01-12,15:30,AmaZulu,0–2,SuperSport,3000,King Goodwill Zwelithini Stadium,Philangenkosi Khumalo,Match Report,
2020,18,Sun,2020-01-12,15:30,Kaizer Chiefs,3–0,Cape Town City,7800,Soccer City,Victor Hlungwani,Match Report,
2020,9,Wed,2020-01-15,19:30,Bidvest Wits,3–2,Bloem Celtic,1200,BidVest Stadium,Luxolo Badi,Match Report,
2020,18,Wed,2020-01-15,19:30,Orlando Pirates,1–0,Sundowns,28000,Orlando Stadium,Victor Gomes,Match Report,
2020,19,Fri,2020-01-17,20:00,Maritzburg Utd,1–0,AmaZulu,6000,Harry Gwala Stadium,Tshidiso Maruping,Match Report,
2020,19,Fri,2020-01-17,20:00,Stellenbosch FC,1–0,Baroka FC,750,Coetzenburg Stadium,Jelly Chavani,Match Report,
2020,19,Sat,2020-01-18,15:30,Black Leopards,1–1,Kaizer Chiefs,18000,Thohoyandou Stadium,Luxolo Badi,Match Report,
2020,19,Sat,2020-01-18,18:00,Orlando Pirates,3–1,Highlands Park,5800,Orlando Stadium,Philangenkosi Khumalo,Match Report,
2020,19,Sat,2020-01-18,20:15,Cape Town City,2–0,Bidvest Wits,2000,Cape Town Stadium,Masixole Bambiso,Match Report,
2020,19,Sun,2020-01-19,15:30,SuperSport,1–2,Sundowns,12000,Lucas Masterpieces Moripe Stadium,Eugene Mdluli,Match Report,
2020,19,Sun,2020-01-19,15:30,Bloem Celtic,1–1,Chippa Utd,3782,Sisa Dukashe Stadium,Thokozani Mkhize,Match Report,
2020,19,Sun,2020-01-19,15:30,Polokwane City,1–1,Golden Arrows,2000,Pietersburg Stadium,Thando Ndzandzeka,Match Report,
2020,20,Fri,2020-01-24,20:00,Cape Town City,1–0,Black Leopards,3500,Cape Town Stadium,Thokozani Mkhize,Match Report,
2020,20,Fri,2020-01-24,20:00,SuperSport,3–0,Chippa Utd,3000,Lucas Masterpieces Moripe Stadium,Cedrick Muvhali,Match Report,
2020,20,Sat,2020-01-25,15:30,Golden Arrows,0–1,Kaizer Chiefs,25687,Sugar Ray Xulu Stadium,Kulasande Qongqo,Match Report,
2020,20,Sat,2020-01-25,15:30,Stellenbosch FC,1–0,Polokwane City,500,Coetzenburg Stadium,Victor Hlungwani,Match Report,
2020,20,Sat,2020-01-25,18:00,Orlando Pirates,1–0,AmaZulu,9700,Orlando Stadium,Thando Ndzandzeka,Match Report,
2020,20,Sun,2020-01-26,15:30,Baroka FC,2–1,Maritzburg Utd,3000,Peter Mokaba Stadium,Masixole Bambiso,Match Report,
2020,21,Fri,2020-01-31,20:00,Maritzburg Utd,1–1,Cape Town City,6000,Harry Gwala Stadium,Luxolo Badi,Match Report,
2020,21,Sat,2020-02-01,15:30,Golden Arrows,1–0,SuperSport,1300,Sugar Ray Xulu Stadium,Olani Kwinda,Match Report,
2020,21,Sat,2020-02-01,18:00,Chippa Utd,1–2,Orlando Pirates,27000,Nelson Mandela Bay Stadium,Victor Hlungwani,Match Report,
2020,21,Sat,2020-02-01,20:15,Highlands Park,1–0,Baroka FC,3244,Makhulong Stadium,Jelly Chavani,Match Report,
2020,21,Sun,2020-02-02,15:30,AmaZulu,1–0,Polokwane City,1500,King Goodwill Zwelithini Stadium,Kulasande Qongqo,Match Report,
2020,21,Sun,2020-02-02,15:30,Black Leopards,2–1,Stellenbosch FC,6000,Thohoyandou Stadium,Eugene Mdluli,Match Report,
2020,5,Wed,2020-02-12,19:30,Bidvest Wits,0–1,Maritzburg Utd,2500,BidVest Stadium,Jelly Chavani,Match Report,
2020,22,Fri,2020-02-14,20:00,Stellenbosch FC,1–0,SuperSport,1000,Coetzenburg Stadium,Tshidiso Maruping,Match Report,
2020,22,Sat,2020-02-15,15:30,Sundowns,3–0,Chippa Utd,5000,Lucas Masterpieces Moripe Stadium,Jelly Chavani,Match Report,
2020,22,Sat,2020-02-15,15:30,Highlands Park,2–0,Bloem Celtic,2000,Makhulong Stadium,Luxolo Badi,Match Report,
2020,22,Sat,2020-02-15,15:30,Baroka FC,0–1,Bidvest Wits,3500,Peter Mokaba Stadium,Kulasande Qongqo,Match Report,
2020,22,Sat,2020-02-15,18:00,Kaizer Chiefs,1–2,Maritzburg Utd,8000,Soccer City,Eugene Mdluli,Match Report,
2020,22,Sat,2020-02-15,20:15,AmaZulu,1–2,Golden Arrows,3000,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2020,22,Sun,2020-02-16,15:30,Black Leopards,0–1,Orlando Pirates,18000,Thohoyandou Stadium,Masixole Bambiso,Match Report,
2020,22,Sun,2020-02-16,15:30,Polokwane City,3–2,Cape Town City,3000,Pietersburg Stadium,Victor Hlungwani,Match Report,
2020,20,Wed,2020-02-19,19:30,Sundowns,2–1,Bloem Celtic,10000,Lucas Masterpieces Moripe Stadium,Cedrick Muvhali,Match Report,
2020,20,Wed,2020-02-19,19:30,Bidvest Wits,2–2,Highlands Park,2000,BidVest Stadium,Masixole Bambiso,Match Report,
2020,23,Fri,2020-02-28,20:00,Maritzburg Utd,3–0,Stellenbosch FC,5500,Harry Gwala Stadium,Thando Ndzandzeka,Match Report,
2020,23,Sat,2020-02-29,15:30,Golden Arrows,1–1,Highlands Park,500,Sugar Ray Xulu Stadium,Cedrick Muvhali,Match Report,
2020,23,Sat,2020-02-29,15:30,Orlando Pirates,0–1,Kaizer Chiefs,80808,Orlando Stadium,Luxolo Badi,Match Report,
2020,23,Sat,2020-02-29,18:00,Chippa Utd,1–0,AmaZulu,2641,Nelson Mandela Bay Stadium,Abongile Tom,Match Report,
2020,23,Sat,2020-02-29,20:15,SuperSport,2–0,Bidvest Wits,2630,Lucas Masterpieces Moripe Stadium,Kulasande Qongqo,Match Report,
2020,23,Sun,2020-03-01,15:30,Polokwane City,2–1,Black Leopards,3500,Pietersburg Stadium,Thokozani Mkhize,Match Report,
2020,23,Sun,2020-03-01,15:30,Bloem Celtic,2–1,Baroka FC,12350,Sisa Dukashe Stadium,Akhona Makhalima,Match Report,
2020,24,Fri,2020-03-06,20:00,Maritzburg Utd,1–0,Polokwane City,6000,Harry Gwala Stadium,Tshidiso Maruping,Match Report,
2020,24,Sat,2020-03-07,15:30,Baroka FC,2–0,Black Leopards,4000,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
2020,24,Sat,2020-03-07,18:00,Golden Arrows,0–0,Orlando Pirates,8000,Sugar Ray Xulu Stadium,Jelly Chavani,Match Report,
2020,24,Sat,2020-03-07,20:15,Kaizer Chiefs,0–1,AmaZulu,12000,Soccer City,Masixole Bambiso,Match Report,
2020,24,Sat,2020-03-07,20:15,Bidvest Wits,0–0,Chippa Utd,2000,BidVest Stadium,Victor Hlungwani,Match Report,
2020,24,Sun,2020-03-08,15:30,Cape Town City,2–0,Bloem Celtic,2500,Cape Town Stadium,Eugene Mdluli,Match Report,
2020,24,Sun,2020-03-08,15:30,Highlands Park,0–2,SuperSport,2500,Makhulong Stadium,Luxolo Badi,Match Report,
2020,10,Tue,2020-03-10,19:30,Bidvest Wits,1–0,Black Leopards,2300,BidVest Stadium,Abongile Tom,Match Report,
2020,24,Wed,2020-03-11,19:30,Stellenbosch FC,0–1,Sundowns,5000,Athlone Stadium,Philangenkosi Khumalo,Match Report,
2020,13,Tue,2020-08-11,18:00,Sundowns,0–0,Orlando Pirates,,Volkswagen Dobsonville Stadium,Victor Gomes,Match Report,
2020,13,Wed,2020-08-12,18:00,Kaizer Chiefs,1–1,Bidvest Wits,,Orlando Stadium,Abongile Tom,Match Report,
2020,25,Fri,2020-08-14,15:30,Chippa Utd,0–1,Cape Town City,,Orlando Stadium,Thokozani Mkhize,Match Report,
2020,25,Fri,2020-08-14,18:00,Highlands Park,1–1,Sundowns,,Volkswagen Dobsonville Stadium,Jelly Chavani,Match Report,
2020,25,Sat,2020-08-15,13:30,Stellenbosch FC,1–0,Golden Arrows,,ABSA Tuks Stadium,Olani Kwinda,Match Report,
2020,25,Sat,2020-08-15,13:30,AmaZulu,0–0,Baroka FC,,Lucas Masterpieces Moripe Stadium,Cedrick Muvhali,Match Report,
2020,25,Sat,2020-08-15,15:30,Polokwane City,2–3,Kaizer Chiefs,,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
2020,25,Sat,2020-08-15,18:00,Orlando Pirates,0–0,Bidvest Wits,,Emirates Airline Park,Eugene Mdluli,Match Report,
