A&M-Corpus Christi,26172,"Royal Blue, Green & White"
Abilene Christian,2,Purple & White
Academy of Art,30123,Black & Red
Adams St.,929,Green & White
Adelphi,3,Brown & Gold
Adrian,4,Gold & Black
Agnes Scott,11324,Purple & White
Air Force,721,Blue & Silver
Akron,5,Blue & Gold
Ala.-Huntsville,10,Royal Blue & White
Alabama,8,Crimson & White
Alabama A&M,6,Maroon & White
Alabama St.,7,Black & Old Gold
Alas. Anchorage,11,Green & Gold
Alas. Fairbanks,12,Blue & Gold
Albany (NY),14,Purple & Gold
Albany St. (GA),13,Royal Blue & Gold
Albertus Magnus,2798,Royal Blue & White
Albion,15,Purple & Gold
Albright,16,Red & White
Alcorn St.,17,Purple & Gold
Alderson-Broaddus,934,"Blue, Gray & Gold"
Alfred,18,Purple & Gold
Allegheny,19,Blue & Gold
Alma,21,Maroon & Cream
Alvernia,938,Maroon & Gold
Alverno,28746,"Red, Black, White"
American,23,"Red, White & Blue"
American (PR),1466,Navy & Gold
American Intl,22,"Gold, White & Black"
Amherst,24,Purple & White
Anderson (IN),939,Orange & Black
Anderson (SC),13028,Gold & Black
Angelo St.,25,Blue & Gold
Anna Maria,26,"Cardinal, Black, and White"
Appalachian St.,27,Black & Gold
Arcadia,966,Scarlet & Gray
Arizona,29,Cardinal & Navy
Arizona St.,28,Maroon & Gold
Ark.-Fort Smith,30105,"Navy, White, Burgandy"
Ark.-Monticello,8411,Kelly Green & White
Ark.-Pine Bluff,2678,Black & Gold
Arkansas,31,Cardinal & White
Arkansas St.,30,Scarlet & Black
Arkansas Tech,947,Green & Yellow-Gold
Armstrong Atlantic,33,Maroon & Gold
Army,725,"Black,Gold & Gray"
Ashland,35,Purple & Gold
Assumption,36,Blue & White
Auburn,37,Burnt Orange & Navy Blue
Augsburg,38,Maroon & Gray
Augusta St.,39,Jaguar Blue & Silver/Grey
Augustana (IL),40,Gold & Blue
Augustana (SD),41,Navy Blue & Gold
Aurora,42,Royal Blue & White
Austin,953,Crimson & Gold
Austin Peay,43,Red & White
Averett,44,Navy & Gold
Babson,45,Green & White
Baldwin-Wallace,46,Brown & Gold
Ball St.,47,Cardinal & White
Baptist Bible (PA),958,Royal Blue & White
Baptist Bible (PA),500367,""
Bard,962,Black & White
Barry,49,"Red, Black & Silver"
Barton,15646,Royal Blue & White
Baruch,58,"Navy Blue, Columbia Blue, White"
Bates,50,Garnet
Bay Path,26520,Maroon & White
Baylor,51,Green & Gold
Becker,26107,"Royal Blue, White & Black"
Bellarmine,52,Scarlet & Silver
Belmont,14927,"Navy, Red and White"
Belmont Abbey,2683,Red & White
Beloit,53,Blue & Gold
Bemidji St.,54,Green & White
Benedict,55,Purple & Gold
Benedictine (IL),296,Red & White
Bennett,14770,""
Bentley,56,"Blue, Black, Gray, Gold & White"
Berry,973,Navy and Silver
Bethany (WV),59,Kelly Green & White
Bethany Lutheran,30038,"Red, white & black"
Bethel (MN),60,Navy Blue & Vegas Gold
Bethune-Cookman,61,Maroon & Gold
Binghamton,62,Green & Black
Birmingham-So.,28593,Black & Gold
Blackburn,64,Scarlet & Black
Bloomfield,984,Maroon & Gold
Bloomsburg,65,Maroon & Gold
Bluefield St.,985,Blue & Gold
Bluffton,987,Royal Purple and White
Boise St.,66,Blue & Orange
Boston College,67,Maroon & Gold
Boston U.,68,Scarlet & White
Bowdoin,69,White
Bowie St.,70,Black & Gold
Bowling Green,71,Orange & Brown
Bradley,72,Red & White
Brandeis,73,Blue & White
Brevard,30094,Royal Blue and White
Bridgeport,74,Purple & White
Bridgewater (VA),75,Cardinal & Vegas Gold
Bridgewater St.,76,Crimson & White
Brockport,78,Green & Gold
Brooklyn,79,Maroon & Gold
Brown,80,"Brown, Red & White"
Bryant,81,Black & Gold
Bryn Mawr,82,Yellow and White
Bucknell,83,Orange & Blue
Buena Vista,84,Navy Blue & Gold
Buffalo,86,Royal Blue & White
Buffalo St.,85,Orange & Black
Butler,87,Blue & White
BYU,77,Dark Blue and White
BYU-Hawaii,2685,"Crimson, Gold & Black"
C.W. Post,362,Green & Gold
Cabrini,88,Blue & White
Cal Lutheran,105,Violet & Gold
Cal Poly,90,"Forest Green, Copper, Vegas Gold"
Cal Poly Pomona,91,Green & Gold
Cal St. Bakersfield,94,Blue & Gold
Cal St. Chico,95,Cardinal & White
Cal St. Dom. Hills,92,Cardinal & Gold
Cal St. East Bay,98,Red & Black
Cal St. Fullerton,97,"Navy, Orange & White"
Cal St. L.A.,100,Black & Gold
Cal St. Monterey Bay,30055,Blue (PMS 540) & Gold (PMS 871)
Cal St. Monterey Bay,506122,""
Cal St. Northridge,101,"Red, White & Black"
Cal St. San Bdino,93,Blue & Black
Cal St. Stanislaus,103,Red & Gold
Caldwell,995,Scarlet & Gold
California,107,Blue & Gold
California (PA),106,Red & Black
Caltech,89,"Orange, Black, & White"
Calvin,114,Maroon & Gold
Cameron,996,Black & Gold
Campbell,115,Orange & Black
Canisius,116,Blue & Gold
Capital,117,Purple & White
Carleton,118,Maize & Blue
Carnegie Mellon,119,"Cardinal, White & Grey"
Carroll (WI),120,Orange & White
Carson-Newman,1000,Orange & Blue
Carthage,121,"Red, White & Black"
Case,122,"Blue, Gray & White"
Castleton,123,Green & White
Catawba,1001,Blue & White
Catholic,124,Cardinal Red & Black
Cazenovia,23624,Navy Blue & Gold
CCNY,480,Lavender & Black
Cedar Crest,14795,Yellow and White
Centenary (LA),125,Maroon & White
Centenary (NJ),12884,Blue & White
Central (IA),126,Red & White
Central Ark.,1004,Purple & Gray
Central Conn. St.,127,Blue & White
Central Mich.,129,Maroon & Gold
Central Mo.,130,Cardinal & Black
Central Okla.,1009,Bronze & Blue
Central St. (OH),506028,""
Central St. (OH),30049,Maroon & Gold
Central Wash.,1010,Crimson & Black
Centre,132,Gold & White
Chadron St.,1012,Cardinal & White
Chaminade,133,Royal Blue & White
Chapman,134,Cardinal & Gray
Charleston (WV),1013,Maroon & Gold
Charleston So.,48,Blue & Gold
Charlotte,458,Green & White
Chatham,10972,Purple & White
Chattanooga,693,Navy Blue & Old Gold
Chestnut Hill,21323,"Scarlet, Gold, and White"
Cheyney,135,Blue & White
Chicago,137,Maroon & White
Chicago St.,136,Green & White
Chowan,8875,Blue & White
Chris. Newport,139,Blue & Silver
Christian Bros.,1015,Red & Gray
Cincinnati,140,Red & Black
Cincinnati-Clermont,30087,Red & black
Citadel,141,Citadel Blue & White
City Tech,8580,Royal Blue & Gold
Claflin,500990,""
Claflin,30058,Orange & Maroon
Claremont-M-S,142,Cardinal & Gold
Clarion,143,Blue & Gold
Clark (MA),145,Scarlet & White
Clark Atlanta,144,"Red, Black & Grey"
Clarke,1020,Navy & Gold
Clarkson,146,Green & Gold
Clayton St.,20576,Blue & Orange
Clemson,147,Clemson Orange & Regalia
Cleveland St.,148,Forest Green & White
Coast Guard,722,Blue & White
Coastal Caro.,149,"Teal, Bronze & Black"
Cobleskill St.,30083,"Black, Orange & White"
Coe,150,Crimson & Vegas Gold
Coker,1023,Navy Blue & Yellow
Col. of Charleston,1014,Maroon & Gold
Colby,151,Blue & Gray
Colby-Sawyer,152,Royal Blue and White
Colgate,153,Maroon and White
