Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2020-08-01,12:30 (07:30),Aberdeen,0–1,Rangers,,Pittodrie Stadium,Bobby Madden,Match Report,
1,Sat,2020-08-01,15:00 (10:00),Dundee United,1–1,St Johnstone,,Tannadice Park,Kevin Clancy,Match Report,
1,Sat,2020-08-01,15:00 (10:00),St Mirren,1–0,Livingston,50,The Simple Digital Arena,Don Robertson,Match Report,
1,Sat,2020-08-01,15:00 (10:00),Hibernian,2–1,Kilmarnock,,Easter Road Stadium,John Beaton,Match Report,
1,Sun,2020-08-02,16:30 (11:30),Celtic,5–1,Hamilton,,Celtic Park,William Collum,Match Report,
1,Mon,2020-08-03,19:45 (14:45),Ross County,1–0,Motherwell,,Global Energy Stadium,Nick Walsh,Match Report,
2,Sat,2020-08-08,15:00 (10:00),Hamilton,0–1,Ross County,,The Hope CBD Stadium,Bobby Madden,Match Report,
2,Sat,2020-08-08,15:00 (10:00),Motherwell,0–1,Dundee United,,Fir Park,Steven McLean,Match Report,
2,Sat,2020-08-08,15:00 (10:00),Livingston,1–4,Hibernian,,Tony Macaroni Arena,Euan Anderson,Match Report,
2,Sun,2020-08-09,15:00 (10:00),Rangers,3–0,St Mirren,,Ibrox Stadium,Andrew Dallas,Match Report,
2,Sun,2020-08-09,16:30 (11:30),Kilmarnock,1–1,Celtic,,Rugby Park,Alan Muir,Match Report,
3,Tue,2020-08-11,18:00 (13:00),Dundee United,0–1,Hibernian,,Tannadice Park,Don Robertson,Match Report,
3,Wed,2020-08-12,19:45 (14:45),Rangers,3–0,St Johnstone,,Ibrox Stadium,Euan Anderson,Match Report,
3,Wed,2020-08-12,19:45 (14:45),Ross County,2–2,Kilmarnock,,Global Energy Stadium,Gavin Duncan,Match Report,
3,Wed,2020-08-12,19:45 (14:45),Motherwell,2–2,Livingston,,Fir Park,Colin Steven,Match Report,
4,Sat,2020-08-15,15:00 (10:00),Kilmarnock,1–2,St Johnstone,,Rugby Park,Andrew Dallas,Match Report,
4,Sat,2020-08-15,15:00 (10:00),Ross County,1–2,Dundee United,,Global Energy Stadium,Craig Napier,Match Report,
4,Sat,2020-08-15,15:00 (10:00),Hamilton,0–1,St Mirren,,The Hope CBD Stadium,Steven Kirkland,Match Report,
4,Sat,2020-08-15,17:30 (12:30),Hibernian,0–0,Motherwell,,Easter Road Stadium,Greg Aitken,Match Report,
4,Sun,2020-08-16,16:30 (11:30),Livingston,0–0,Rangers,,Tony Macaroni Arena,Nick Walsh,Match Report,
2,Thu,2020-08-20,19:30 (14:30),St Johnstone,0–1,Aberdeen,,McDiarmid Park,William Collum,Match Report,
5,Sat,2020-08-22,15:00 (10:00),St Mirren,1–1,Ross County,,The Simple Digital Arena,Mike Roncone,Match Report,
