group,team_id,home
A,fra,France,True
A,alb,Albania,False
A,rou,Romania,False
A,sui,Switzerland,False
B,eng,England,False
B,rus,Russia,False
B,svk,Slovakia,False
B,wal,Wales,False
C,ger,Germany,False
C,nir,Northern Ireland,False
C,pol,Poland,False
C,ukr,Ukraine,False
D,cro,Croatia,False
D,cze,Czech Republic,False
D,esp,Spain,False
D,tur,Turkey,False
E,bel,Belgium,False
E,ita,Italy,False
E,irl,Republic of Ireland,False
E,swe,Sweden,False
F,aut,Austria,False
F,hun,Hungary,False
F,isl,Iceland,False
F,por,Portugal,False
