team_name,eg_reg,opponent_name,eg_reg,win,lose,win_reg,lose_reg,draw_reg,win_ot,lose_ot,win_pk,lose_pk
Albania,0.6,Austria,1.0,0.390,0.610,0.230,0.421,0.349,0.047,0.076,0.113,0.113
Albania,0.4,Belgium,1.3,0.236,0.764,0.121,0.586,0.293,0.025,0.087,0.090,0.090
Albania,0.4,Croatia,1.0,0.297,0.703,0.150,0.503,0.347,0.032,0.086,0.115,0.115
Albania,0.6,Czech Republic,0.8,0.432,0.568,0.246,0.362,0.393,0.052,0.071,0.135,0.135
Albania,0.4,England,1.1,0.255,0.745,0.125,0.552,0.323,0.026,0.088,0.104,0.104
Albania,0.3,France,1.3,0.188,0.812,0.079,0.630,0.291,0.016,0.090,0.092,0.092
Albania,0.5,Germany,1.7,0.186,0.814,0.102,0.665,0.233,0.020,0.084,0.064,0.064
Albania,0.6,Hungary,0.8,0.439,0.561,0.261,0.366,0.373,0.053,0.070,0.125,0.125
Albania,0.6,Iceland,0.9,0.384,0.616,0.221,0.422,0.357,0.046,0.077,0.117,0.117
Albania,0.4,Italy,1.0,0.310,0.690,0.157,0.486,0.357,0.034,0.085,0.120,0.120
Albania,0.6,Northern Ireland,0.5,0.534,0.466,0.311,0.253,0.437,0.065,0.055,0.158,0.158
Albania,0.5,Poland,0.8,0.377,0.623,0.198,0.409,0.393,0.043,0.078,0.136,0.136
Albania,0.4,Portugal,0.9,0.323,0.677,0.161,0.466,0.373,0.035,0.084,0.127,0.127
Albania,0.5,Republic of Ireland,0.7,0.433,0.567,0.239,0.353,0.407,0.051,0.070,0.143,0.143
Albania,0.5,Romania,0.8,0.394,0.606,0.209,0.390,0.400,0.045,0.076,0.140,0.140
Albania,0.5,Russia,0.9,0.377,0.623,0.209,0.422,0.369,0.044,0.078,0.124,0.124
Albania,0.6,Slovakia,0.8,0.429,0.571,0.242,0.363,0.395,0.051,0.071,0.137,0.137
Albania,0.4,Spain,1.4,0.203,0.797,0.098,0.625,0.276,0.020,0.088,0.084,0.084
Albania,0.5,Sweden,0.9,0.378,0.622,0.208,0.418,0.374,0.044,0.078,0.126,0.126
Albania,0.5,Switzerland,0.8,0.378,0.622,0.198,0.407,0.394,0.043,0.078,0.137,0.137
Albania,0.5,Turkey,0.9,0.366,0.634,0.206,0.438,0.357,0.043,0.079,0.117,0.117
Albania,0.5,Ukraine,0.8,0.372,0.628,0.197,0.417,0.387,0.042,0.078,0.133,0.133
Albania,0.5,Wales,0.7,0.432,0.568,0.239,0.355,0.406,0.051,0.071,0.142,0.142
Austria,1.0,Albania,0.6,0.610,0.390,0.421,0.230,0.349,0.076,0.047,0.113,0.113
Austria,0.8,Belgium,1.6,0.292,0.708,0.188,0.558,0.254,0.036,0.081,0.068,0.068
Austria,0.8,Croatia,1.2,0.366,0.634,0.235,0.471,0.294,0.046,0.078,0.085,0.085
Austria,1.1,Czech Republic,0.9,0.542,0.458,0.382,0.308,0.310,0.068,0.058,0.092,0.092
Austria,0.7,England,1.4,0.311,0.689,0.194,0.529,0.277,0.038,0.081,0.079,0.079
Austria,0.5,France,1.6,0.214,0.786,0.120,0.631,0.249,0.024,0.085,0.070,0.070
Austria,0.9,Germany,2.0,0.236,0.764,0.158,0.635,0.208,0.029,0.079,0.050,0.050
Austria,1.2,Hungary,1.0,0.557,0.443,0.404,0.304,0.292,0.070,0.056,0.083,0.083
Austria,1.1,Iceland,1.1,0.489,0.511,0.345,0.364,0.290,0.062,0.065,0.082,0.082
Austria,0.8,Italy,1.2,0.382,0.618,0.246,0.453,0.301,0.048,0.076,0.088,0.088
Austria,1.1,Northern Ireland,0.6,0.656,0.344,0.477,0.204,0.320,0.081,0.041,0.099,0.099
Austria,0.9,Poland,1.0,0.466,0.534,0.309,0.369,0.321,0.059,0.068,0.097,0.097
Austria,0.8,Portugal,1.1,0.395,0.605,0.252,0.436,0.312,0.049,0.075,0.094,0.094
Austria,1.0,Republic of Ireland,0.9,0.539,0.461,0.373,0.305,0.322,0.068,0.058,0.098,0.098
Austria,0.9,Romania,0.9,0.488,0.512,0.328,0.348,0.324,0.062,0.065,0.099,0.099
Austria,1.0,Russia,1.1,0.474,0.526,0.326,0.372,0.302,0.060,0.067,0.087,0.087
Austria,1.0,Slovakia,0.9,0.537,0.463,0.376,0.311,0.313,0.068,0.059,0.093,0.093
Austria,0.7,Spain,1.7,0.244,0.756,0.151,0.609,0.240,0.029,0.083,0.064,0.064
