Round Number,Date,Location,Home Team,Away Team,Result
1,11/08/2017 19:45,Emirates Stadium,Arsenal,Leicester,4 - 3
1,12/08/2017 12:30,Vicarage Road,Watford,Liverpool,3 - 3
1,12/08/2017 15:00,Stamford Bridge,Chelsea,Burnley,2 - 3
1,12/08/2017 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 3
1,12/08/2017 15:00,Goodison Park,Everton,Stoke,1 - 0
1,12/08/2017 15:00,St. Mary's Stadium,Southampton,Swansea,0 - 0
1,12/08/2017 15:00,The Hawthorns,West Brom,Bournemouth,1 - 0
1,12/08/2017 17:30,Amex Stadium,Brighton,Man City,0 - 2
1,13/08/2017 13:30,St. James' Park,Newcastle,Spurs,0 - 2
1,13/08/2017 16:00,Old Trafford,Man Utd,West Ham,4 - 0
2,19/08/2017 12:30,Liberty Stadium,Swansea,Man Utd,0 - 4
2,19/08/2017 15:00,Vitality Stadium,Bournemouth,Watford,0 - 2
2,19/08/2017 15:00,Turf Moor,Burnley,West Brom,0 - 1
2,19/08/2017 15:00,King Power Stadium,Leicester,Brighton,2 - 0
2,19/08/2017 15:00,Anfield,Liverpool,Crystal Palace,1 - 0
2,19/08/2017 15:00,St. Mary's Stadium,Southampton,West Ham,3 - 2
2,19/08/2017 17:30,bet365 Stadium,Stoke,Arsenal,1 - 0
2,20/08/2017 13:30,John Smith's Stadium,Huddersfield,Newcastle,1 - 0
2,20/08/2017 16:00,Wembley Stadium,Spurs,Chelsea,1 - 2
2,21/08/2017 20:00,Etihad Stadium,Man City,Everton,1 - 1
3,26/08/2017 12:30,Vitality Stadium,Bournemouth,Man City,1 - 2
3,26/08/2017 15:00,Selhurst Park,Crystal Palace,Swansea,0 - 2
3,26/08/2017 15:00,John Smith's Stadium,Huddersfield,Southampton,0 - 0
3,26/08/2017 15:00,St. James' Park,Newcastle,West Ham,3 - 0
3,26/08/2017 15:00,Vicarage Road,Watford,Brighton,0 - 0
3,26/08/2017 17:30,Old Trafford,Man Utd,Leicester,2 - 0
3,27/08/2017 13:30,Stamford Bridge,Chelsea,Everton,2 - 0
3,27/08/2017 13:30,The Hawthorns,West Brom,Stoke,1 - 1
3,27/08/2017 16:00,Anfield,Liverpool,Arsenal,4 - 0
3,27/08/2017 16:00,Wembley Stadium,Spurs,Burnley,1 - 1
4,09/09/2017 12:30,Etihad Stadium,Man City,Liverpool,5 - 0
4,09/09/2017 15:00,Emirates Stadium,Arsenal,Bournemouth,3 - 0
4,09/09/2017 15:00,Amex Stadium,Brighton,West Brom,3 - 1
4,09/09/2017 15:00,Goodison Park,Everton,Spurs,0 - 3
4,09/09/2017 15:00,King Power Stadium,Leicester,Chelsea,1 - 2
4,09/09/2017 15:00,St. Mary's Stadium,Southampton,Watford,0 - 2
4,09/09/2017 17:30,bet365 Stadium,Stoke,Man Utd,2 - 2
4,10/09/2017 13:30,Turf Moor,Burnley,Crystal Palace,1 - 0
4,10/09/2017 16:00,Liberty Stadium,Swansea,Newcastle,0 - 1
4,11/09/2017 20:00,London Stadium,West Ham,Huddersfield,2 - 0
5,15/09/2017 20:00,Vitality Stadium,Bournemouth,Brighton,2 - 1
