Round Number,Date,Location,Home Team,Away Team,Result
1,10/08/2018 20:00,Old Trafford,Man Utd,Leicester,2 - 1
1,11/08/2018 12:30,St. James' Park,Newcastle,Spurs,1 - 2
1,11/08/2018 15:00,Vitality Stadium,Bournemouth,Cardiff,2 - 0
1,11/08/2018 15:00,Craven Cottage,Fulham,Crystal Palace,0 - 2
1,11/08/2018 15:00,John Smith's Stadium,Huddersfield,Chelsea,0 - 3
1,11/08/2018 15:00,Vicarage Road,Watford,Brighton,2 - 0
1,11/08/2018 17:30,Molineux Stadium,Wolves,Everton,2 - 2
1,12/08/2018 13:30,Anfield,Liverpool,West Ham,4 - 0
1,12/08/2018 13:30,St. Mary's Stadium,Southampton,Burnley,0 - 0
1,12/08/2018 16:00,Emirates Stadium,Arsenal,Man City,0 - 2
2,18/08/2018 12:30,Cardiff City Stadium,Cardiff,Newcastle,0 - 0
2,18/08/2018 15:00,Goodison Park,Everton,Southampton,2 - 1
2,18/08/2018 15:00,King Power Stadium,Leicester,Wolves,2 - 0
2,18/08/2018 15:00,Wembley Stadium,Spurs,Fulham,3 - 1
2,18/08/2018 15:00,London Stadium,West Ham,Bournemouth,1 - 2
2,18/08/2018 17:30,Stamford Bridge,Chelsea,Arsenal,3 - 2
2,19/08/2018 13:30,Turf Moor,Burnley,Watford,1 - 3
2,19/08/2018 13:30,Etihad Stadium,Man City,Huddersfield,6 - 1
2,19/08/2018 16:00,Amex Stadium,Brighton,Man Utd,3 - 2
2,20/08/2018 20:00,Selhurst Park,Crystal Palace,Liverpool,0 - 2
3,25/08/2018 12:30,Molineux Stadium,Wolves,Man City,1 - 1
3,25/08/2018 15:00,Emirates Stadium,Arsenal,West Ham,3 - 1
3,25/08/2018 15:00,Vitality Stadium,Bournemouth,Everton,2 - 2
3,25/08/2018 15:00,John Smith's Stadium,Huddersfield,Cardiff,0 - 0
3,25/08/2018 15:00,St. Mary's Stadium,Southampton,Leicester,1 - 2
3,25/08/2018 17:30,Anfield,Liverpool,Brighton,1 - 0
3,26/08/2018 13:30,Vicarage Road,Watford,Crystal Palace,2 - 1
3,26/08/2018 16:00,Craven Cottage,Fulham,Burnley,4 - 2
3,26/08/2018 16:00,St. James' Park,Newcastle,Chelsea,1 - 2
3,27/08/2018 20:00,Old Trafford,Man Utd,Spurs,0 - 3
4,01/09/2018 12:30,King Power Stadium,Leicester,Liverpool,1 - 2
4,01/09/2018 15:00,Amex Stadium,Brighton,Fulham,2 - 2
4,01/09/2018 15:00,Stamford Bridge,Chelsea,Bournemouth,2 - 0
4,01/09/2018 15:00,Selhurst Park,Crystal Palace,Southampton,0 - 2
4,01/09/2018 15:00,Goodison Park,Everton,Huddersfield,1 - 1
4,01/09/2018 15:00,London Stadium,West Ham,Wolves,0 - 1
4,01/09/2018 17:30,Etihad Stadium,Man City,Newcastle,2 - 1
4,02/09/2018 13:30,Cardiff City Stadium,Cardiff,Arsenal,2 - 3
4,02/09/2018 16:00,Turf Moor,Burnley,Man Utd,0 - 2
4,02/09/2018 16:00,Vicarage Road,Watford,Spurs,2 - 1
5,15/09/2018 12:30,Wembley Stadium,Spurs,Liverpool,1 - 2
5,15/09/2018 15:00,Vitality Stadium,Bournemouth,Leicester,4 - 2
5,15/09/2018 15:00,Stamford Bridge,Chelsea,Cardiff,4 - 1
5,15/09/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,0 - 1
5,15/09/2018 15:00,Etihad Stadium,Man City,Fulham,3 - 0
5,15/09/2018 15:00,St. James' Park,Newcastle,Arsenal,1 - 2
5,15/09/2018 17:30,Vicarage Road,Watford,Man Utd,1 - 2
5,16/09/2018 13:30,Molineux Stadium,Wolves,Burnley,1 - 0
5,16/09/2018 16:00,Goodison Park,Everton,West Ham,1 - 3
5,17/09/2018 20:00,St. Mary's Stadium,Southampton,Brighton,2 - 2
6,22/09/2018 12:30,Craven Cottage,Fulham,Watford,1 - 1
6,22/09/2018 15:00,Turf Moor,Burnley,Bournemouth,4 - 0
6,22/09/2018 15:00,Cardiff City Stadium,Cardiff,Man City,0 - 5
6,22/09/2018 15:00,Selhurst Park,Crystal Palace,Newcastle,0 - 0
6,22/09/2018 15:00,King Power Stadium,Leicester,Huddersfield,3 - 1
6,22/09/2018 15:00,Anfield,Liverpool,Southampton,3 - 0
6,22/09/2018 15:00,Old Trafford,Man Utd,Wolves,1 - 1
6,22/09/2018 17:30,Amex Stadium,Brighton,Spurs,1 - 2
6,23/09/2018 13:30,London Stadium,West Ham,Chelsea,0 - 0
6,23/09/2018 16:00,Emirates Stadium,Arsenal,Everton,2 - 0
7,29/09/2018 12:30,London Stadium,West Ham,Man Utd,3 - 1
7,29/09/2018 15:00,Emirates Stadium,Arsenal,Watford,2 - 0
7,29/09/2018 15:00,Goodison Park,Everton,Fulham,3 - 0
7,29/09/2018 15:00,John Smith's Stadium,Huddersfield,Spurs,0 - 2
7,29/09/2018 15:00,Etihad Stadium,Man City,Brighton,2 - 0
7,29/09/2018 15:00,St. James' Park,Newcastle,Leicester,0 - 2
7,29/09/2018 15:00,Molineux Stadium,Wolves,Southampton,2 - 0
7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool,1 - 1
7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley,1 - 2
7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1
8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham,1 - 0
8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,1 - 1
8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,0 - 1
8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,1 - 2
8,06/10/2018 15:00,Wembley Stadium,Spurs,Cardiff,1 - 0
8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,0 - 4
8,06/10/2018 17:30,Old Trafford,Man Utd,Newcastle,3 - 2
8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,1 - 5
8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,0 - 3
8,07/10/2018 16:30,Anfield,Liverpool,Man City,0 - 0
9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man Utd,2 - 2
9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton,0 - 0
9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham,4 - 2
9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley,5 - 0
9,20/10/2018 15:00,St. James' Park,Newcastle,Brighton,0 - 1
9,20/10/2018 15:00,London Stadium,West Ham,Spurs,0 - 1
9,20/10/2018 15:00,Molineux Stadium,Wolves,Watford,0 - 2
9,20/10/2018 17:30,John Smith's Stadium,Huddersfield,Liverpool,0 - 1
9,21/10/2018 16:00,Goodison Park,Everton,Crystal Palace,2 - 0
9,22/10/2018 20:00,Emirates Stadium,Arsenal,Leicester,3 - 1
10,27/10/2018 15:00,Amex Stadium,Brighton,Wolves,1 - 0
10,27/10/2018 15:00,Craven Cottage,Fulham,Bournemouth,0 - 3
10,27/10/2018 15:00,Anfield,Liverpool,Cardiff,4 - 1
10,27/10/2018 15:00,St. Mary's Stadium,Southampton,Newcastle,0 - 0
10,27/10/2018 15:00,Vicarage Road,Watford,Huddersfield,3 - 0
10,27/10/2018 17:30,King Power Stadium,Leicester,West Ham,1 - 1
10,28/10/2018 13:30,Turf Moor,Burnley,Chelsea,0 - 4
10,28/10/2018 13:30,Selhurst Park,Crystal Palace,Arsenal,2 - 2
10,28/10/2018 16:00,Old Trafford,Man Utd,Everton,2 - 1
10,29/10/2018 20:00,Wembley Stadium,Spurs,Man City,0 - 1
11,03/11/2018 12:30,Vitality Stadium,Bournemouth,Man Utd,1 - 2
11,03/11/2018 15:00,Cardiff City Stadium,Cardiff,Leicester,0 - 1
11,03/11/2018 15:00,Goodison Park,Everton,Brighton,3 - 1
11,03/11/2018 15:00,St. James' Park,Newcastle,Watford,1 - 0
11,03/11/2018 15:00,London Stadium,West Ham,Burnley,4 - 2
11,03/11/2018 17:30,Emirates Stadium,Arsenal,Liverpool,1 - 1
11,03/11/2018 19:45,Molineux Stadium,Wolves,Spurs,2 - 3
11,04/11/2018 15:00,Etihad Stadium,Man City,Southampton,6 - 1
11,04/11/2018 16:00,Stamford Bridge,Chelsea,Crystal Palace,3 - 1
11,05/11/2018 20:00,John Smith's Stadium,Huddersfield,Fulham,1 - 0
12,10/11/2018 12:30,Cardiff City Stadium,Cardiff,Brighton,2 - 1
12,10/11/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,1 - 1
12,10/11/2018 15:00,King Power Stadium,Leicester,Burnley,0 - 0
12,10/11/2018 15:00,St. James' Park,Newcastle,Bournemouth,2 - 1
12,10/11/2018 15:00,St. Mary's Stadium,Southampton,Watford,1 - 1
12,10/11/2018 17:30,Selhurst Park,Crystal Palace,Spurs,0 - 1
12,11/11/2018 12:00,Anfield,Liverpool,Fulham,2 - 0
12,11/11/2018 14:15,Stamford Bridge,Chelsea,Everton,0 - 0
12,11/11/2018 16:30,Emirates Stadium,Arsenal,Wolves,1 - 1
12,11/11/2018 16:30,Etihad Stadium,Man City,Man Utd,3 - 1
13,24/11/2018 15:00,Amex Stadium,Brighton,Leicester,1 - 1
13,24/11/2018 15:00,Goodison Park,Everton,Cardiff,1 - 0
13,24/11/2018 15:00,Craven Cottage,Fulham,Southampton,3 - 2
13,24/11/2018 15:00,Old Trafford,Man Utd,Crystal Palace,0 - 0
13,24/11/2018 15:00,Vicarage Road,Watford,Liverpool,0 - 3
13,24/11/2018 15:00,London Stadium,West Ham,Man City,0 - 4
13,24/11/2018 17:30,Tottenham Hotspur Stadium,Spurs,Chelsea,3 - 1
13,25/11/2018 13:30,Vitality Stadium,Bournemouth,Arsenal,1 - 2
13,25/11/2018 16:00,Molineux Stadium,Wolves,Huddersfield,0 - 2
13,26/11/2018 20:30,Turf Moor,Burnley,Newcastle,1 - 2
14,30/11/2018 20:00,Cardiff City Stadium,Cardiff,Wolves,2 - 1
14,01/12/2018 15:00,Selhurst Park,Crystal Palace,Burnley,2 - 0
14,01/12/2018 15:00,John Smith's Stadium,Huddersfield,Brighton,1 - 2
14,01/12/2018 15:00,King Power Stadium,Leicester,Watford,2 - 0
14,01/12/2018 15:00,Etihad Stadium,Man City,Bournemouth,3 - 1
14,01/12/2018 15:00,St. James' Park,Newcastle,West Ham,0 - 3
14,01/12/2018 17:30,St. Mary's Stadium,Southampton,Man Utd,2 - 2
14,02/12/2018 12:00,Stamford Bridge,Chelsea,Fulham,2 - 0
14,02/12/2018 14:05,Emirates Stadium,Arsenal,Spurs,4 - 2
14,02/12/2018 16:15,Anfield,Liverpool,Everton,1 - 0
15,04/12/2018 19:45,Vitality Stadium,Bournemouth,Huddersfield,2 - 1
15,04/12/2018 19:45,Amex Stadium,Brighton,Crystal Palace,3 - 1
15,04/12/2018 19:45,London Stadium,West Ham,Cardiff,3 - 1
15,04/12/2018 20:00,Vicarage Road,Watford,Man City,1 - 2
15,05/12/2018 19:45,Turf Moor,Burnley,Liverpool,1 - 3
15,05/12/2018 19:45,Craven Cottage,Fulham,Leicester,1 - 1
15,05/12/2018 19:45,Molineux Stadium,Wolves,Chelsea,2 - 1
15,05/12/2018 19:45,Goodison Park,Everton,Newcastle,1 - 1
15,05/12/2018 20:00,Old Trafford,Man Utd,Arsenal,2 - 2
15,05/12/2018 20:00,Tottenham Hotspur Stadium,Spurs,Southampton,3 - 1
16,08/12/2018 12:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4
16,08/12/2018 15:00,Emirates Stadium,Arsenal,Huddersfield,1 - 0
16,08/12/2018 15:00,Turf Moor,Burnley,Brighton,1 - 0
16,08/12/2018 15:00,Cardiff City Stadium,Cardiff,Southampton,1 - 0
16,08/12/2018 15:00,Old Trafford,Man Utd,Fulham,4 - 1
16,08/12/2018 15:00,London Stadium,West Ham,Crystal Palace,3 - 2
16,08/12/2018 17:30,Stamford Bridge,Chelsea,Man City,2 - 0
16,08/12/2018 19:45,King Power Stadium,Leicester,Spurs,0 - 2
16,09/12/2018 16:00,St. James' Park,Newcastle,Wolves,1 - 2
16,10/12/2018 20:00,Goodison Park,Everton,Watford,2 - 2
17,15/12/2018 12:30,Etihad Stadium,Man City,Everton,3 - 1
17,15/12/2018 15:00,Selhurst Park,Crystal Palace,Leicester,1 - 0
17,15/12/2018 15:00,John Smith's Stadium,Huddersfield,Newcastle,0 - 1
17,15/12/2018 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,1 - 0
17,15/12/2018 15:00,Vicarage Road,Watford,Cardiff,3 - 2
17,15/12/2018 15:00,Molineux Stadium,Wolves,Bournemouth,2 - 0
17,15/12/2018 17:30,Craven Cottage,Fulham,West Ham,0 - 2
17,16/12/2018 13:30,Amex Stadium,Brighton,Chelsea,1 - 2
17,16/12/2018 13:30,St. Mary's Stadium,Southampton,Arsenal,3 - 2
17,16/12/2018 16:00,Anfield,Liverpool,Man Utd,3 - 1
18,21/12/2018 20:00,Molineux Stadium,Wolves,Liverpool,0 - 2
