Season,Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2020,Regular Season,1,Fri,2019-08-16,20:30 (14:30),Bayern Munich,2.6,2–2,1.0,Hertha BSC,75000,Allianz Arena,Harm Osmers,Match Report,
2020,Regular Season,1,Sat,2019-08-17,15:30 (09:30),Freiburg,1.8,3–0,0.9,Mainz 05,24000,Schwarzwald-Stadion,Robert Hartmann,Match Report,
2020,Regular Season,1,Sat,2019-08-17,15:30 (09:30),Dortmund,2.7,5–1,0.7,Augsburg,81365,Signal Iduna Park,Frank Willenborg,Match Report,
2020,Regular Season,1,Sat,2019-08-17,15:30 (09:30),Leverkusen,2.7,3–2,1.2,Paderborn 07,26208,BayArena,Tobias Stieler,Match Report,
2020,Regular Season,1,Sat,2019-08-17,15:30 (09:30),Werder Bremen,2.4,1–3,0.9,Düsseldorf,42100,Weserstadion,Felix Zwayer,Match Report,
2020,Regular Season,1,Sat,2019-08-17,15:30 (09:30),Wolfsburg,0.9,2–1,1.2,Köln,25099,Volkswagen Arena,Sven Jablonski,Match Report,
2020,Regular Season,1,Sat,2019-08-17,18:30 (12:30),M'Gladbach,1.6,0–0,0.6,Schalke 04,54022,Stadion im Borussia-Park,Felix Brych,Match Report,
2020,Regular Season,1,Sun,2019-08-18,15:30 (09:30),Eint Frankfurt,1.1,1–0,0.6,Hoffenheim,50200,Commerzbank-Arena,Daniel Siebert,Match Report,
2020,Regular Season,1,Sun,2019-08-18,18:00 (12:00),Union Berlin,0.5,0–4,3.1,RB Leipzig,22467,Stadion An der Alten Försterei,Markus Schmidt,Match Report,
2020,Regular Season,2,Fri,2019-08-23,20:30 (14:30),Köln,0.7,1–3,1.4,Dortmund,50000,RheinEnergieSTADION,Christian Dingert,Match Report,
2020,Regular Season,2,Sat,2019-08-24,15:30 (09:30),Paderborn 07,1.7,1–3,2.2,Freiburg,14322,Benteler-Arena,Tobias Welz,Match Report,
2020,Regular Season,2,Sat,2019-08-24,15:30 (09:30),Hoffenheim,0.7,3–2,1.3,Werder Bremen,27333,PreZero Arena,Sascha Stegemann,Match Report,
2020,Regular Season,2,Sat,2019-08-24,15:30 (09:30),Augsburg,1.3,1–1,1.1,Union Berlin,27703,WWK Arena,Robert Schröder,Match Report,
2020,Regular Season,2,Sat,2019-08-24,15:30 (09:30),Düsseldorf,1.0,1–3,1.8,Leverkusen,44538,Merkur Spielarena,Patrick Ittrich,Match Report,
2020,Regular Season,2,Sat,2019-08-24,15:30 (09:30),Mainz 05,1.3,1–3,1.6,M'Gladbach,28005,Opel Arena,Martin Petersen,Match Report,
2020,Regular Season,2,Sat,2019-08-24,18:30 (12:30),Schalke 04,1.0,0–3,1.5,Bayern Munich,62271,Veltins-Arena,Marco Fritz,Match Report,
2020,Regular Season,2,Sun,2019-08-25,15:30 (09:30),RB Leipzig,1.4,2–1,1.0,Eint Frankfurt,40108,Red Bull Arena,Benjamin Cortus,Match Report,
2020,Regular Season,2,Sun,2019-08-25,18:00 (12:00),Hertha BSC,1.1,0–3,1.3,Wolfsburg,42738,Olympiastadion Berlin,Guido Winkmann,Match Report,
2020,Regular Season,3,Fri,2019-08-30,20:30 (14:30),M'Gladbach,1.1,1–3,2.2,RB Leipzig,47327,Stadion im Borussia-Park,Sven Jablonski,Match Report,
2020,Regular Season,3,Sat,2019-08-31,15:30 (09:30),Schalke 04,1.0,3–0,0.8,Hertha BSC,58875,Veltins-Arena,Tobias Stieler,Match Report,
2020,Regular Season,3,Sat,2019-08-31,15:30 (09:30),Bayern Munich,2.7,6–1,0.4,Mainz 05,75000,Allianz Arena,Markus Schmidt,Match Report,
2020,Regular Season,3,Sat,2019-08-31,15:30 (09:30),Wolfsburg,0.6,1–1,0.7,Paderborn 07,23750,Volkswagen Arena,Daniel Schlager,Match Report,
2020,Regular Season,3,Sat,2019-08-31,15:30 (09:30),Leverkusen,0.8,0–0,0.3,Hoffenheim,26506,BayArena,Felix Zwayer,Match Report,
2020,Regular Season,3,Sat,2019-08-31,15:30 (09:30),Freiburg,0.7,1–2,1.3,Köln,24000,Schwarzwald-Stadion,Robert Kampka,Match Report,
2020,Regular Season,3,Sat,2019-08-31,18:30 (12:30),Union Berlin,1.9,3–1,1.9,Dortmund,22012,Stadion An der Alten Försterei,Felix Brych,Match Report,
2020,Regular Season,3,Sun,2019-09-01,15:30 (09:30),Werder Bremen,2.5,3–2,1.5,Augsburg,40041,Weserstadion,Sören Storks,Match Report,
2020,Regular Season,3,Sun,2019-09-01,18:00 (12:00),Eint Frankfurt,1.2,2–1,0.6,Düsseldorf,49800,Commerzbank-Arena,Frank Willenborg,Match Report,
2020,Regular Season,4,Fri,2019-09-13,20:30 (14:30),Düsseldorf,0.5,1–1,1.3,Wolfsburg,36758,Merkur Spielarena,Manuel Gräfe,Match Report,
2020,Regular Season,4,Sat,2019-09-14,15:30 (09:30),Mainz 05,1.7,2–1,2.2,Hertha BSC,22798,Opel Arena,Marco Fritz,Match Report,
2020,Regular Season,4,Sat,2019-09-14,15:30 (09:30),Augsburg,2.0,2–1,1.0,Eint Frankfurt,28513,WWK Arena,Harm Osmers,Match Report,
2020,Regular Season,4,Sat,2019-09-14,15:30 (09:30),Köln,0.9,0–1,1.7,M'Gladbach,50000,RheinEnergieSTADION,Deniz Aytekin,Match Report,
2020,Regular Season,4,Sat,2019-09-14,15:30 (09:30),Union Berlin,1.6,1–2,2.7,Werder Bremen,22012,Stadion An der Alten Försterei,Tobias Welz,Match Report,
2020,Regular Season,4,Sat,2019-09-14,15:30 (09:30),Dortmund,2.5,4–0,0.8,Leverkusen,81365,Signal Iduna Park,Daniel Siebert,Match Report,
2020,Regular Season,4,Sat,2019-09-14,18:30 (12:30),RB Leipzig,1.5,1–1,1.5,Bayern Munich,42146,Red Bull Arena,Sascha Stegemann,Match Report,
2020,Regular Season,4,Sun,2019-09-15,15:30 (09:30),Hoffenheim,1.5,0–3,1.2,Freiburg,29395,PreZero Arena,Guido Winkmann,Match Report,
2020,Regular Season,4,Sun,2019-09-15,18:00 (12:00),Paderborn 07,1.1,1–5,2.7,Schalke 04,15000,Benteler-Arena,Robert Schröder,Match Report,
2020,Regular Season,5,Fri,2019-09-20,20:30 (14:30),Schalke 04,1.3,2–1,1.2,Mainz 05,58687,Veltins-Arena,Daniel Schlager,Match Report,
2020,Regular Season,5,Sat,2019-09-21,15:30 (09:30),Freiburg,1.0,1–1,1.0,Augsburg,23800,Schwarzwald-Stadion,Bastian Dankert,Match Report,
2020,Regular Season,5,Sat,2019-09-21,15:30 (09:30),Bayern Munich,2.7,4–0,0.8,Köln,75000,Allianz Arena,Patrick Ittrich,Match Report,
2020,Regular Season,5,Sat,2019-09-21,15:30 (09:30),Hertha BSC,1.3,2–1,1.3,Paderborn 07,43588,Olympiastadion Berlin,Frank Willenborg,Match Report,
2020,Regular Season,5,Sat,2019-09-21,15:30 (09:30),Leverkusen,1.7,2–0,0.2,Union Berlin,27430,BayArena,Robert Hartmann,Match Report,
2020,Regular Season,5,Sat,2019-09-21,18:30 (12:30),Werder Bremen,0.7,0–3,1.5,RB Leipzig,40550,Weserstadion,Tobias Stieler,Match Report,
2020,Regular Season,5,Sun,2019-09-22,15:30 (09:30),M'Gladbach,2.8,2–1,0.9,Düsseldorf,52413,Stadion im Borussia-Park,Christian Dingert,Match Report,
2020,Regular Season,5,Sun,2019-09-22,18:00 (12:00),Eint Frankfurt,1.1,2–2,2.2,Dortmund,51500,Commerzbank-Arena,Markus Schmidt,Match Report,
2020,Regular Season,5,Mon,2019-09-23,20:30 (14:30),Wolfsburg,1.2,1–1,0.7,Hoffenheim,21120,Volkswagen Arena,Benjamin Cortus,Match Report,
2020,Regular Season,6,Fri,2019-09-27,20:30 (14:30),Union Berlin,0.6,1–2,1.5,Eint Frankfurt,22012,Stadion An der Alten Försterei,Sascha Stegemann,Match Report,
2020,Regular Season,6,Sat,2019-09-28,15:30 (09:30),Paderborn 07,0.3,2–3,3.5,Bayern Munich,15000,Benteler-Arena,Felix Zwayer,Match Report,
2020,Regular Season,6,Sat,2019-09-28,15:30 (09:30),RB Leipzig,1.6,1–3,2.6,Schalke 04,42146,Red Bull Arena,Manuel Gräfe,Match Report,
2020,Regular Season,6,Sat,2019-09-28,15:30 (09:30),Augsburg,0.3,0–3,1.2,Leverkusen,27113,WWK Arena,Robert Kampka,Match Report,
2020,Regular Season,6,Sat,2019-09-28,15:30 (09:30),Mainz 05,0.7,0–1,0.4,Wolfsburg,24303,Opel Arena,Felix Brych,Match Report,
2020,Regular Season,6,Sat,2019-09-28,15:30 (09:30),Hoffenheim,1.5,0–3,2.2,M'Gladbach,29030,PreZero Arena,Harm Osmers,Match Report,
2020,Regular Season,6,Sat,2019-09-28,18:30 (12:30),Dortmund,2.1,2–2,1.4,Werder Bremen,81365,Signal Iduna Park,Deniz Aytekin,Match Report,
2020,Regular Season,6,Sun,2019-09-29,15:30 (09:30),Düsseldorf,1.3,1–2,1.6,Freiburg,39244,Merkur Spielarena,Daniel Siebert,Match Report,
2020,Regular Season,6,Sun,2019-09-29,18:00 (12:00),Köln,0.8,0–4,1.5,Hertha BSC,49700,RheinEnergieSTADION,Sören Storks,Match Report,
2020,Regular Season,7,Fri,2019-10-04,20:30 (14:30),Hertha BSC,1.7,3–1,1.2,Düsseldorf,37128,Olympiastadion Berlin,Martin Petersen,Match Report,
2020,Regular Season,7,Sat,2019-10-05,15:30 (09:30),Leverkusen,1.3,1–1,1.5,RB Leipzig,26355,BayArena,Marco Fritz,Match Report,
2020,Regular Season,7,Sat,2019-10-05,15:30 (09:30),Paderborn 07,1.6,1–2,2.7,Mainz 05,14217,Benteler-Arena,Patrick Ittrich,Match Report,
2020,Regular Season,7,Sat,2019-10-05,15:30 (09:30),Bayern Munich,1.5,1–2,0.8,Hoffenheim,75000,Allianz Arena,Tobias Stieler,Match Report,
2020,Regular Season,7,Sat,2019-10-05,15:30 (09:30),Freiburg,0.4,2–2,0.7,Dortmund,24000,Schwarzwald-Stadion,Sven Jablonski,Match Report,
2020,Regular Season,7,Sat,2019-10-05,18:30 (12:30),Schalke 04,1.6,1–1,0.6,Köln,61883,Veltins-Arena,Tobias Welz,Match Report,
2020,Regular Season,7,Sun,2019-10-06,13:30 (07:30),M'Gladbach,3.0,5–1,1.2,Augsburg,50352,Stadion im Borussia-Park,Robert Schröder,Match Report,
2020,Regular Season,7,Sun,2019-10-06,15:30 (09:30),Wolfsburg,2.3,1–0,0.5,Union Berlin,27012,Volkswagen Arena,Bastian Dankert,Match Report,
2020,Regular Season,7,Sun,2019-10-06,18:00 (12:00),Eint Frankfurt,2.1,2–2,1.7,Werder Bremen,51500,Commerzbank-Arena,Guido Winkmann,Match Report,
2020,Regular Season,8,Fri,2019-10-18,20:30 (14:30),Eint Frankfurt,2.5,3–0,1.5,Leverkusen,50800,Commerzbank-Arena,Christian Dingert,Match Report,
2020,Regular Season,8,Sat,2019-10-19,15:30 (09:30),Augsburg,2.0,2–2,2.8,Bayern Munich,30660,WWK Arena,Daniel Siebert,Match Report,
2020,Regular Season,8,Sat,2019-10-19,15:30 (09:30),Werder Bremen,1.0,1–1,0.5,Hertha BSC,41447,Weserstadion,Felix Brych,Match Report,
2020,Regular Season,8,Sat,2019-10-19,15:30 (09:30),RB Leipzig,1.3,1–1,1.5,Wolfsburg,39182,Red Bull Arena,Deniz Aytekin,Match Report,
2020,Regular Season,8,Sat,2019-10-19,15:30 (09:30),Union Berlin,1.0,2–0,0.5,Freiburg,22012,Stadion An der Alten Försterei,Benjamin Cortus,Match Report,
2020,Regular Season,8,Sat,2019-10-19,15:30 (09:30),Düsseldorf,1.3,1–0,0.2,Mainz 05,40660,Merkur Spielarena,Felix Zwayer,Match Report,
2020,Regular Season,8,Sat,2019-10-19,18:30 (12:30),Dortmund,2.2,1–0,2.5,M'Gladbach,81365,Signal Iduna Park,Sascha Stegemann,Match Report,
2020,Regular Season,8,Sun,2019-10-20,15:30 (09:30),Köln,2.3,3–0,0.4,Paderborn 07,50000,RheinEnergieSTADION,Manuel Gräfe,Match Report,
2020,Regular Season,8,Sun,2019-10-20,18:00 (12:00),Hoffenheim,1.1,2–0,1.1,Schalke 04,29477,PreZero Arena,Robert Hartmann,Match Report,
2020,Regular Season,9,Fri,2019-10-25,20:30 (14:30),Mainz 05,1.5,3–1,1.9,Köln,31999,Opel Arena,Frank Willenborg,Match Report,
2020,Regular Season,9,Sat,2019-10-26,15:30 (09:30),Schalke 04,1.1,0–0,0.4,Dortmund,61873,Veltins-Arena,Felix Brych,Match Report,
2020,Regular Season,9,Sat,2019-10-26,15:30 (09:30),Freiburg,1.6,2–1,2.1,RB Leipzig,24000,Schwarzwald-Stadion,Harm Osmers,Match Report,
