Season,Round,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,,1,Fri,2020-09-18,20:30,Bayern Munich,5.1,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,Match Report,
2021,,1,Sat,2020-09-19,15:30,Köln,2.1,2–3,3.1,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,Match Report,
2021,,1,Sat,2020-09-19,15:30,Eint Frankfurt,1.6,1–1,1.0,Arminia,6500,Commerzbank-Arena,Benjamin Brand,Match Report,
2021,,1,Sat,2020-09-19,15:30,Werder Bremen,1.0,1–4,2.1,Hertha BSC,8400,Weserstadion,Sascha Stegemann,Match Report,
2021,,1,Sat,2020-09-19,15:30,Union Berlin,1.3,1–3,1.1,Augsburg,4600,Stadion An der Alten Försterei,Marco Fritz,Match Report,
2021,,1,Sat,2020-09-19,15:30,Stuttgart,3.1,2–3,2.0,Freiburg,7123,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
2021,,1,Sat,2020-09-19,18:30,Dortmund,1.6,3–0,0.6,M'Gladbach,9300,Signal Iduna Park,Felix Brych,Match Report,
2021,,1,Sun,2020-09-20,15:30,RB Leipzig,2.8,3–1,1.2,Mainz 05,8500,Red Bull Arena,Manuel Gräfe,Match Report,
2021,,1,Sun,2020-09-20,18:00,Wolfsburg,1.0,0–0,0.7,Leverkusen,,Volkswagen Arena,Sven Jablonski,Match Report,
2021,,2,Fri,2020-09-25,20:30,Hertha BSC,1.1,1–3,1.7,Eint Frankfurt,4000,Olympiastadion Berlin,Bastian Dankert,Match Report,
2021,,2,Sat,2020-09-26,15:30,Mainz 05,1.2,1–4,2.7,Stuttgart,3403,Opel Arena,Daniel Schlager,Match Report,
2021,,2,Sat,2020-09-26,15:30,Leverkusen,0.8,1–1,0.8,RB Leipzig,6042,BayArena,Harm Osmers,Match Report,
2021,,2,Sat,2020-09-26,15:30,Arminia,0.2,1–0,0.9,Köln,5460,SchücoArena,Patrick Ittrich,Match Report,
2021,,2,Sat,2020-09-26,15:30,M'Gladbach,1.3,1–1,0.9,Union Berlin,10383,Stadion im Borussia-Park,Tobias Stieler,Match Report,
