      team      | p | w | d | l | gf | ga | gd | pts 
----------------+---+---+---+---+----+----+----+-----
 Stade de Reims | 7 | 3 | 4 | 0 |  8 |  4 |  4 |  13
 Brest          | 6 | 3 | 2 | 1 | 10 |  7 |  3 |  11
 Sochaux        | 7 | 2 | 5 | 0 |  8 |  5 |  3 |  11
 Valenciennes   | 7 | 2 | 4 | 1 |  9 |  6 |  3 |  10
 GFC Ajaccio    | 6 | 2 | 3 | 1 |  5 |  5 |  0 |   9
 Lens           | 7 | 1 | 5 | 1 |  7 |  6 |  1 |   8
 AC Ajaccio     | 7 | 2 | 2 | 3 |  8 |  9 | -1 |   8
 Troyes         | 7 | 2 | 2 | 3 |  8 | 10 | -2 |   8
 AJ Auxerre     | 6 | 1 | 3 | 2 |  5 |  5 |  0 |   6
 Niort          | 7 | 0 | 4 | 0 | 11 |  8 |  3 |   4
 Tours          | 7 | 0 | 3 | 0 | 14 |  9 |  5 |   3
 Le Havre AC    | 7 | 0 | 3 | 0 |  8 |  7 |  1 |   3
 Strasbourg     | 7 | 0 | 3 | 0 |  6 |  9 | -3 |   3
 Nimes          | 7 | 0 | 2 | 0 | 12 |  6 |  6 |   2
 Clermont Foot  | 7 | 0 | 2 | 0 |  7 |  6 |  1 |   2
 Stade Laval    | 7 | 0 | 2 | 0 |  3 |  8 | -5 |   2
 SC Amiens      | 6 | 0 | 1 | 0 |  6 |  9 | -3 |   1
(17 rows)

