    team    | p | w | d | l | gf | ga | gd | pts 
------------+---+---+---+---+----+----+----+-----
 Cologne    | 3 | 2 | 1 | 0 |  5 |  0 |  5 |   7
 Bayern     | 2 | 2 | 0 | 0 |  8 |  0 |  8 |   6
 Hertha     | 2 | 2 | 0 | 0 |  4 |  1 |  3 |   6
 Wolfsburg  | 2 | 1 | 1 | 0 |  2 |  0 |  2 |   4
 RB Leipzig | 2 | 1 | 1 | 0 |  3 |  2 |  1 |   4
 Leverkusen | 2 | 1 | 0 | 1 |  4 |  3 |  1 |   3
 Dortmund   | 2 | 1 | 0 | 1 |  2 |  2 |  0 |   3
 Frankfurt  | 2 | 1 | 0 | 1 |  1 |  1 |  0 |   3
 Gladbach   | 2 | 1 | 0 | 1 |  3 |  4 | -1 |   3
 Augsburg   | 2 | 1 | 0 | 1 |  2 |  3 | -1 |   3
 Darmstadt  | 2 | 1 | 0 | 1 |  1 |  2 | -1 |   3
 Freiburg   | 3 | 1 | 0 | 2 |  4 |  6 | -2 |   3
 Hoffenheim | 2 | 0 | 2 | 0 |  6 |  6 |  0 |   2
 Mainz      | 2 | 0 | 1 | 1 |  5 |  6 | -1 |   1
 Hamburg    | 2 | 0 | 1 | 1 |  2 |  4 | -2 |   1
 Ingolstadt | 2 | 0 | 1 | 1 |  1 |  3 | -2 |   1
 Schalke    | 2 | 0 | 0 | 2 |  0 |  3 | -3 |   0
 Bremen     | 2 | 0 | 0 | 2 |  1 |  8 | -7 |   0
(18 rows)

