A&M-Corpus Christi,26172,2013,-,0,-,2012-13,-,-,-,-,-,-,-,-,-,-,-,-
Abilene Christian,2,2013,-,0,-,2012-13,-,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Barrera, Luis",1256709,Jr.,2012-13,7,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Bartelle, Leonardo",1264836,Jr.,2012-13,17,1,0.06,1,0.06,3,0.18,-,-,-,-,-
Academy of Art,30123,2013,"Bozlak, Brazer",1056282,Sr.,2012-13,15,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Bui, Eric",1256693,So.,2012-13,6,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Condon, Carson",1362813,So.,2012-13,1,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Durano, Andrew",1159901,Jr.,2012-13,18,-,-,1,0.06,-,0.06,-,-,-,-,-
Academy of Art,30123,2013,"Ekberg, Aron",1256690,Jr.,2012-13,18,1,0.06,5,0.28,7,0.39,-,-,-,-,-
Academy of Art,30123,2013,"Fiero, Brady",1256694,So.,2012-13,7,-,-,1,0.14,-,0.14,-,-,-,-,-
Academy of Art,30123,2013,"Fleschhut, Lennart",1362814,Fr.,2012-13,18,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Gretarsson, Jonmundur",1264835,So.,2012-13,17,1,0.06,3,0.18,5,0.29,-,-,-,-,-
Academy of Art,30123,2013,"Grimsson, Grimur",1162552,Sr.,2012-13,17,4,0.24,3,0.18,11,0.65,-,-,-,-,-
Academy of Art,30123,2013,"Gudbjartsson, Runar",1373295,So.,2012-13,16,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Gyan, Sylvester",1380585,Jr.,2012-13,17,2,0.12,-,-,-,0.24,-,-,-,-,-
Academy of Art,30123,2013,"Heinemann, Patrick",1170950,Jr.,2012-13,18,2,0.11,2,0.11,6,0.33,-,-,-,-,-
Academy of Art,30123,2013,"Hernandez, Carlos",1363717,Jr.,2012-13,3,1,0.33,-,-,-,0.67,-,-,-,-,-
Academy of Art,30123,2013,"Infante, Antonio Diaz",1368875,So.,2012-13,1,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Lenz, Sean",1362817,Fr.,2012-13,4,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Nagel, Frederik",1256689,So.,2012-13,17,1,0.06,-,-,-,0.12,-,-,-,-,-
Academy of Art,30123,2013,"Rodrigues, Vincent",1362820,Fr.,2012-13,4,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Sanchez, Jesus",1362816,Fr.,2012-13,17,3,0.18,-,-,-,0.35,-,-,-,-,-
Academy of Art,30123,2013,"Sutherland, Ian",1056298,Sr.,2012-13,18,-,-,-,-,-,-,1667:53,39,0.04,96,1
Academy of Art,30123,2013,"Sveinsson, Thorvaldur",1362815,So.,2012-13,12,3,0.25,1,0.08,7,0.58,-,-,-,-,-
Academy of Art,30123,2013,"Urbanyi, Kristof",1362819,Fr.,2012-13,16,1,0.06,-,-,-,0.13,-,-,-,-,-
Academy of Art,30123,2013,"Velado, Eduardo",1391599,Fr.,2012-13,1,-,-,-,-,-,-,-,-,-,-,-
Academy of Art,30123,2013,"Zuniga, Sebastian",1362818,Fr.,2012-13,15,-,-,1,0.07,-,0.07,-,-,-,-,-
Adams St.,929,2013,"Anderson, Matt",1267327,So.,2012-13,9,1,0.11,-,-,-,0.22,-,-,-,-,-
Adams St.,929,2013,"Campbell, Jacob",1373311,Jr.,2012-13,11,-,-,1,0.09,-,0.09,-,-,-,-,-
Adams St.,929,2013,"Clinton, Chris",1373315,Fr.,2012-13,1,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Cowles, Solomon",1149133,So.,2012-13,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Dennis, J..J.",1373319,Fr.,2012-13,16,1,0.06,-,-,-,0.13,-,-,-,-,-
Adams St.,929,2013,"Forrest, Gus",1373318,Fr.,2012-13,12,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Fox, Aaron",1373323,Fr.,2012-13,14,1,0.07,-,-,-,0.14,-,-,-,-,-
Adams St.,929,2013,"Hanna, Hawken",1149131,Jr.,2012-13,15,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Heckart, Brooks",1267331,Fr.,2012-13,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Henrickson, Erik",1267332,So.,2012-13,18,1,0.06,2,0.11,4,0.22,-,-,-,-,-
Adams St.,929,2013,"Hindmarch, Tyler",1373303,Jr.,2012-13,17,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Hinkle, Andrew",1279068,So.,2012-13,15,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Hughes, Jake",1385396,Jr.,2012-13,15,1,0.07,1,0.07,3,0.20,-,-,-,-,-
Adams St.,929,2013,"Lee, Kevin",1149116,Jr.,2012-13,-,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Lopez, Norberto",1149117,Jr.,2012-13,18,1,0.06,-,-,-,0.11,-,-,-,-,-
Adams St.,929,2013,"Magana, Miguel",1373312,Fr.,2012-13,8,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Miller, Michael",1267336,So.,2012-13,14,-,-,-,-,-,-,1137:43,30,0.04,61,1
Adams St.,929,2013,"Munford-Loughrin, J.P.",1373317,Fr.,2012-13,3,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Neubert, Michael",1373313,Fr.,2012-13,1,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Omana-Marin, Fabian",1373310,Jr.,2012-13,17,-,-,1,0.06,-,0.06,-,-,-,-,-
Adams St.,929,2013,"Petrov, Steve",1373316,Fr.,2012-13,6,-,-,-,-,-,-,-,-,-,-,-
Adams St.,929,2013,"Pizza, Paul",1149138,Jr.,2012-13,1,-,-,-,-,-,-,53:21,3,0.08,5,-
Adams St.,929,2013,"Rickard, Eric",1149113,Jr.,2012-13,14,-,-,1,0.07,-,0.07,-,-,-,-,-
