Akron,5,2003,"Beattie, Pat",3025,Jr.,2002-03,20,1,0.05,4,0.20,6,0.30,,,,,
Akron,5,2003,"Boswell, Matt",3022,Sr.,2002-03,17,6,0.35,0,,12,0.71,,,,,
Akron,5,2003,"Campbell, Kurt",3051,So.,2002-03,16,0,,0,,0,,,,,,
Akron,5,2003,"Campellone, Dino",229435,Fr.,2002-03,20,1,0.05,1,0.05,3,0.15,,,,,
Akron,5,2003,"Christafaris, Justin",3059,So.,2002-03,10,0,,0,,0,,10:05,12,1.79,28,
Akron,5,2003,"DiFranco, Amico",229440,Fr.,2002-03,14,0,,1,0.07,1,0.07,,,,,
Akron,5,2003,"Fisher, Tom",3053,So.,2002-03,,,,,,,,,,,,
Akron,5,2003,"Frank, Dan",229446,Fr.,2002-03,,,,,,,,,,,,
Akron,5,2003,"Gable, T.J.",3023,Jr.,2002-03,12,0,,0,,0,,,,,,
Akron,5,2003,"Gnandt, Chris",3020,Sr.,2002-03,20,5,0.25,6,0.30,16,0.80,,,,,
Akron,5,2003,"Harwat, Kirk",229441,Jr.,2002-03,20,9,0.45,4,0.20,22,1.10,,,,,
Akron,5,2003,"Haugland, Hans Jorgen",3021,So.,2002-03,17,1,0.06,5,0.29,7,0.41,,,,,
Akron,5,2003,"Huntington, Todd",3052,So.,2002-03,8,0,,0,,0,,,,,,
Akron,5,2003,"Kletzien, Will",3014,Jr.,2002-03,20,1,0.05,3,0.15,5,0.25,,,,,
Akron,5,2003,"Knowles, Cameron",3027,So.,2002-03,18,1,0.06,0,,2,0.11,,,,,
Akron,5,2003,"Laguardia, Paul",3057,So.,2002-03,5,0,,0,,0,,,,,,
Akron,5,2003,"Mansell, Greg",229439,Fr.,2002-03,1,0,,0,,0,,,,,,
Akron,5,2003,"Marich, Michael",3016,Sr.,2002-03,20,2,0.10,2,0.10,6,0.30,,,,,
Akron,5,2003,"McKenzie, Ross",229438,Fr.,2002-03,20,5,0.25,6,0.30,16,0.80,,,,,
Akron,5,2003,"Odwell, Alex",3028,So.,2002-03,19,5,0.26,1,0.05,11,0.58,,,,,
Akron,5,2003,"Pihno, Daniel",3011,Sr.,2002-03,14,0,,0,,0,,20:55,17,1.22,46,
Akron,5,2003,"Scheall, Brian",229436,So.,2002-03,17,0,,0,,0,,,,,,
Akron,5,2003,"Schultz, Burke",229442,Fr.,2002-03,,,,,,,,,,,,
Akron,5,2003,"Senn, David",3018,Jr.,2002-03,7,0,,0,,0,,,,,,
Akron,5,2003,"Singh, Davendar",229437,Fr.,2002-03,1,0,,1,1.00,1,1.00,,,,,
Akron,5,2003,"Sprockhoff, Tyler",229444,Fr.,2002-03,,,,,,,,,,,,
Akron,5,2003,"Veris, Kyle",3050,So.,2002-03,19,1,0.05,3,0.16,5,0.26,,,,,
Ala.-Huntsville,10,2003,"Bell, Micah",74721,So.,2002-03,16,1,0.06,1,0.06,3,0.19,,,,,
Ala.-Huntsville,10,2003,"Carr, Brandon",250115,Fr.,2002-03,17,0,,1,0.06,1,0.06,,,,,
Ala.-Huntsville,10,2003,"Daniel, Nathan",75060,Jr.,2002-03,17,0,,1,0.06,1,0.06,23:23,35,2.25,77,
Ala.-Huntsville,10,2003,"Green, Kevin",250114,Fr.,2002-03,17,0,,1,0.06,1,0.06,,,,,
Ala.-Huntsville,10,2003,"Grey, Jason",270514,Fr.,2002-03,9,1,0.11,0,,2,0.22,,,,,
Ala.-Huntsville,10,2003,"Griffin, Mark",74714,Jr.,2002-03,15,1,0.07,0,,2,0.13,,,,,
Ala.-Huntsville,10,2003,"Henninger, Andrew",250116,Fr.,2002-03,12,0,,0,,0,,,,,,
