A&M-Corpus Christi,26172,"Corpus Christi,  TX"
Abilene Christian,2,"Abilene,  TX"
Academy of Art,30123,"San Francisco,  CA"
Adams St.,929,"Alamosa,  CO"
Adelphi,3,"Garden City,  NY"
Adrian,4,"Adrian,  MI"
Agnes Scott,11324,"Decatur,  GA"
Air Force,721,"USAF Academy,  CO"
Akron,5,"Akron,  OH"
Ala.-Huntsville,10,"Huntsville,  AL"
Alabama,8,"Tuscaloosa,  AL"
Alabama A&M,6,"Normal,  AL"
Alabama St.,7,"Montgomery,  AL"
Alas. Anchorage,11,"Anchorage,  AK"
Alas. Fairbanks,12,"Fairbanks,  AK"
Albany (NY),14,"Albany,  NY"
Albany St. (GA),13,"Albany,  GA"
Albertus Magnus,2798,"New Haven,  CT"
Albion,15,"Albion,  MI"
Albright,16,"Reading,  PA"
Alcorn St.,17,"Alcorn State,  MS"
Alderson-Broaddus,934,"Philippi,  WV"
Alfred,18,"Alfred,  NY"
Allegheny,19,"Meadville,  PA"
Alma,21,"Alma,  MI"
Alvernia,938,"Reading,  PA"
Alverno,28746,"Milwaukee,  WI"
American,23,"Washington,  DC"
American (PR),1466,"Bayamon,  PR"
American Intl,22,"Springfield,  MA"
Amherst,24,"Amherst,  MA"
Anderson (IN),939,"Anderson,  IN"
Anderson (SC),13028,"Anderson,  SC"
Angelo St.,25,"San Angelo,  TX"
Anna Maria,26,"Paxton,  MA"
Appalachian St.,27,"Boone,  NC"
Arcadia,966,"Glenside,  PA"
Arizona,29,"Tucson,  AZ"
Arizona St.,28,"Tempe,  AZ"
Ark.-Fort Smith,30105,"Fort Smith,  AR"
Ark.-Monticello,8411,"Monticello,  AR"
Ark.-Pine Bluff,2678,"Pine Bluff,  AR"
Arkansas,31,"Fayetteville,  AR"
Arkansas St.,30,"State University,  AR"
Arkansas Tech,947,"Russellville,  AR"
Armstrong Atlantic,33,"Savannah,  GA"
Army,725,"West Point,  NY"
Ashland,35,"Ashland,  OH"
Assumption,36,"Worcester,  MA"
Auburn,37,"Auburn,  AL"
Augsburg,38,"Minneapolis,  MN"
Augusta St.,39,"Augusta,  GA"
Augustana (IL),40,"Rock Island,  IL"
Augustana (SD),41,"Sioux Falls,  SD"
Aurora,42,"Aurora,  IL"
Austin,953,"Sherman,  TX"
Austin Peay,43,"Clarksville,  TN"
Averett,44,"Danville,  VA"
Babson,45,"Babson Park,  MA"
Baldwin-Wallace,46,"Berea,  OH"
Ball St.,47,"Muncie,  IN"
Baptist Bible (PA),958,"Clarks Summit,  PA"
Baptist Bible (PA),500367,","
Bard,962,"Annandale-On-Hudson,  NY"
Barry,49,"Miami Shores,  FL"
Barton,15646,"Wilson,  NC"
Baruch,58,"New York,  NY"
Bates,50,"Lewiston,  ME"
Bay Path,26520,"Longmeadow,  MA"
Baylor,51,"Waco,  TX"
Becker,26107,"Leicester,  MA"
Bellarmine,52,"Louisville,  KY"
Belmont,14927,"Nashville,  TN"
Belmont Abbey,2683,"Belmont,  NC"
Beloit,53,"Beloit,  WI"
Bemidji St.,54,"Bemidji,  MN"
Benedict,55,"Columbia,  SC"
Benedictine (IL),296,"Lisle,  IL"
Bennett,14770,"Greensboro,  NC"
Bentley,56,"Waltham,  MA"
Berry,973,"Mount Berry,  GA"
Bethany (WV),59,"Bethany,  WV"
Bethany Lutheran,30038,"Mankato,  MN"
Bethel (MN),60,"St. Paul,  MN"
Bethune-Cookman,61,"Daytona Beach,  FL"
Binghamton,62,"Binghamton,  NY"
Birmingham-So.,28593,"Birmingham,  AL"
Blackburn,64,"Carlinville,  IL"
Bloomfield,984,"Bloomfield,  NJ"
Bloomsburg,65,"Bloomsburg,  PA"
Bluefield St.,985,"Bluefield,  WV"
Bluffton,987,"Bluffton,  OH"
Boise St.,66,"Boise,  ID"
Boston College,67,"Chestnut Hill,  MA"
Boston U.,68,"Boston,  MA"
Bowdoin,69,"Brunswick,  ME"
Bowie St.,70,"Bowie,  MD"
Bowling Green,71,"Bowling Green,  OH"
Bradley,72,"Peoria,  IL"
Brandeis,73,"Waltham,  MA"
Brevard,30094,"Brevard,  NC"
Bridgeport,74,"Bridgeport,  CT"
Bridgewater (VA),75,"Bridgewater,  VA"
Bridgewater St.,76,"Bridgewater,  MA"
Brockport,78,"Brockport,  NY"
Brooklyn,79,"Brooklyn,  NY"
Brown,80,"Providence,  RI"
Bryant,81,"Smithfield,  RI"
Bryn Mawr,82,"Bryn Mawr,  PA"
Bucknell,83,"Lewisburg,  PA"
Buena Vista,84,"Storm Lake,  IA"
Buffalo,86,"Buffalo,  NY"
Buffalo St.,85,"Buffalo,  NY"
Butler,87,"Indianapolis,  IN"
BYU,77,"Provo,  UT"
BYU-Hawaii,2685,"Laie,  HI"
C.W. Post,362,"Brookville,  NY"
Cabrini,88,"Radnor,  PA"
Cal Lutheran,105,"Thousand Oaks,  CA"
Cal Poly,90,"San Luis Obispo,  CA"
Cal Poly Pomona,91,"Pomona,  CA"
Cal St. Bakersfield,94,"Bakersfield,  CA"
Cal St. Chico,95,"Chico,  CA"
Cal St. Dom. Hills,92,"Carson,  CA"
Cal St. East Bay,98,"Hayward,  CA"
Cal St. Fullerton,97,"Fullerton,  CA"
Cal St. L.A.,100,"Los Angeles,  CA"
Cal St. Monterey Bay,30055,"Seaside,  CA"
Cal St. Monterey Bay,506122,","
Cal St. Northridge,101,"Northridge,  CA"
Cal St. San Bdino,93,"San Bernardino,  CA"
Cal St. Stanislaus,103,"Turlock,  CA"
Caldwell,995,"Caldwell,  NJ"
California,107,"Berkeley,  CA"
California (PA),106,"California,  PA"
Caltech,89,"Pasadena,  CA"
Calvin,114,"Grand Rapids,  MI"
Cameron,996,"Lawton,  OK"
Campbell,115,"Buies Creek,  NC"
Canisius,116,"Buffalo,  NY"
Capital,117,"Columbus,  OH"
Carleton,118,"Northfield,  MN"
Carnegie Mellon,119,"Pittsburgh,  PA"
Carroll (WI),120,"Waukesha,  WI"
Carson-Newman,1000,"Jefferson City,  TN"
Carthage,121,"Kenosha,  WI"
Case,122,"Cleveland,  OH"
Castleton,123,"Castleton,  VT"
Catawba,1001,"Salisbury,  NC"
Catholic,124,"Washington,  DC"
Cazenovia,23624,"Cazenovia,  NY"
CCNY,480,"New York,  NY"
Cedar Crest,14795,"Allentown,  PA"
Centenary (LA),125,"Shreveport,  LA"
Centenary (NJ),12884,"Hackettstown,  NJ"
Central (IA),126,"Pella,  IA"
Central Ark.,1004,"Conway,  AR"
Central Conn. St.,127,"New Britain,  CT"
Central Mich.,129,"Mount Pleasant,  MI"
Central Mo.,130,"Warrensburg,  MO"
Central Okla.,1009,"Edmond,  OK"
Central St. (OH),506028,","
Central St. (OH),30049,"Wilberforce,  OH"
Central Wash.,1010,"Ellensburg,  WA"
Centre,132,"Danville,  KY"
Chadron St.,1012,"Chadron,  NE"
Chaminade,133,"Honolulu,  HI"
Chapman,134,"Orange,  CA"
Charleston (WV),1013,"Charleston,  WV"
Charleston So.,48,"Charleston,  SC"
Charlotte,458,"Charlotte,  NC"
Chatham,10972,"Pittsburgh,  PA"
Chattanooga,693,"Chattanooga,  TN"
Chestnut Hill,21323,"Philadelphia,  PA"
Cheyney,135,"Cheyney,  PA"
Chicago,137,"Chicago,  IL"
Chicago St.,136,"Chicago,  IL"
Chowan,8875,"Murfreesboro,  NC"
Chris. Newport,139,"Newport News,  VA"
Christian Bros.,1015,"Memphis,  TN"
Cincinnati,140,"Cincinnati,  OH"
Cincinnati-Clermont,30087,"Batavia,  OH"
Citadel,141,"Charleston,  SC"
City Tech,8580,"Brooklyn,  NY"
Claflin,500990,","
Claflin,30058,"Orangeburg,  SC"
Claremont-M-S,142,"Claremont,  CA"
Clarion,143,"Clarion,  PA"
Clark (MA),145,"Worcester,  MA"
Clark Atlanta,144,"Atlanta,  GA"
Clarke,1020,"Dubuque,  IA"
Clarkson,146,"Potsdam,  NY"
Clayton St.,20576,"Morrow,  GA"
Clemson,147,"Clemson,  SC"
Cleveland St.,148,"Cleveland,  OH"
Coast Guard,722,"New London,  CT"
Coastal Caro.,149,"Conway,  SC"
Cobleskill St.,30083,"Cobleskill,  NY"
Coe,150,"Cedar Rapids,  IA"
Coker,1023,"Hartsville,  SC"
Col. of Charleston,1014,"Charleston,  SC"
Colby,151,"Waterville,  ME"
Colby-Sawyer,152,"New London,  NH"
Colgate,153,"Hamilton,  NY"
Colo. Christian,11403,"Lakewood,  CO"
Colorado,157,"Boulder,  CO"
Colorado Col.,154,"Colorado Springs,  CO"
Colorado Mines,155,"Golden,  CO"
Colorado St.,156,"Fort Collins,  CO"
Colorado St.-Pueblo,2720,"Pueblo,  CO"
Columbia,158,"New York,  NY"
Columbus St.,159,"Columbus,  GA"
Concord,1028,"Athens,  WV"
Concordia (NY),162,"Bronxville,  NY"
Concordia (TX),24400,"Austin,  TX"
Concordia (WI),1036,"Mequon,  WI"
Concordia Chicago,160,"River Forest,  IL"
Concordia-Mhead,161,"Moorhead,  MN"
Concordia-St. Paul,9081,"St. Paul,  MN"
Connecticut,164,"Storrs,  CT"
Connecticut Col.,163,"New London,  CT"
Converse,8935,"Spartanburg,  SC"
Coppin St.,165,"Baltimore,  MD"
