pts
72
75
72
74
75
75
79
75
73
80
80
75
75
78
68
72
81
70
75
75
77
81
77
85
71
78
77
72
76
81
76
77
75
70
79
71
77
71
70
73
76
80
75
73
73
70
75
81
73
73
72
70
73
80
78
74
80
75
69
74
71
72
78
71
68
77
70
75
76
75
74
73
70
77
77
74
77
72
74
75
75
77
73
75
75
73
80
80
77
73
69
82
76
74
75
74
69
70
72
71
71
81
73
71
74
68
75
78
79
74
82
75
73
77
74
75
77
75
77
71
77
70
71
74
77
74
76
67
75
70
79
70
74
79
80
75
74
82
70
72
82
74
70
76
73
73
71
74
71
75
77
71
73
73
75
70
72
79
77
74
79
76
71
73
76
75
69
76
71
69
77
75
71
70
72
71
79
76
73
77
78
77
73
71
76
77
74
75
76
70
78
80
80
73
76
77
71
69
81
81
76
76
77
72
71
78
75
76
68
72
77
75
74
76
76
77
77
72
81
81
74
75
72
77
75
74
77
72
78
77
79
72
76
73
73
72
80
71
73
75
76
77
73
77
74
74
75
72
70
71
71
74
76
73
75
72
75
73
74
77
76
82
75
73
69
78
77
69
76
70
82
77
71
73
76
71
75
76
72
77
71
74
73
74
70
75
73
70
71
77
77
69
76
74
70
74
74
77
75
70
77
77
72
73
71
76
76
71
74
77
71
71
74
78
75
74
69
74
71
76
80
77
75
78
73
79
72
70
77
69
73
77
72
68
76
78
78
75
76
79
72
75
71
75
77
75
80
72
72
79
81
72
77
75
75
75
73
79
75
78
72
74
75
76
82
77
77
77
76
72
72
76
77
72
70
77
71
74
77
76
77
80
72
73
68
73
74
73
72
72
75
79
73
78
80
75
73
69
76
73
69
75
78
78
75
73
73
81
70
74
75
78
76
78
78
76
74
74
78
77
68
75
77
73
73
71
73
70
72
74
78
75
77
75
72
77
76
73
79
74
80
70
80
75
68
79
75
69
71
73
72
73
73
66
75
80
76
77
76
75
77
69
78
79
69
74
75
72
75
75
69
78
77
75
74
80
80
74
72
77
75
76
74
74
71
77
74
74
77
81
73
75
74
77
68
80
75
74
80
73
77
82
69
79
74
74
72
76
68
75
69
75
72
76
81
80
71
77
79
79
71
74
72
73
71
77
76
77
73
71
74
73
77
72
80
74
75
72
74
74
75
75
67
76
76
76
81
75
82
75
75
71
74
73
82
77
76
77
71
74
74
71
77
77
76
74
73
72
79
78
77
73
74
73
73
76
73
78
80
72
81
81
78
81
79
72
79
73
71
73
76
76
72
77
69
74
74
84
79
75
70
75
76
75
71
77
75
80
74
71
75
74
77
71
81
74
74
76
76
73
70
76
73
78
74
76
75
72
74
71
78
75
75
73
74
77
73
72
74
72
73
74
72
75
74
76
79
74
74
77
71
77
71
72
71
70
79
78
70
75
77
73
72
72
73
68
77
72
75
78
75
78
70
76
73
78
77
72
72
79
71
81
78
72
78
75
75
76
72
77
73
73
78
74
79
73
72
72
75
70
75
72
68
76
76
82
70
80
76
79
72
72
70
74
80
73
70
76
77
75
73
82
75
75
73
70
73
71
77
81
75
72
77
73
83
76
76
75
74
79
74
72
77
73
82
71
77
75
78
74
75
71
70
78
74
71
78
78
73
74
70
74
76
75
73
72
70
69
79
75
75
71
72
75
80
74
74
82
79
77
77
74
74
77
75
72
73
75
73
79
76
73
76
71
76
76
83
77
75
71
72
80
71
73
70
75
77
73
74
77
77
71
77
74
76
75
81
77
74
82
79
76
75
76
72
72
71
75
70
78
75
72
72
74
76
78
70
78
74
70
78
72
72
77
79
72
77
69
69
81
80
80
78
72
78
73
76
73
78
70
73
71
75
76
76
78
74
71
69
71
79
76
75
78
77
73
76
76
74
73
75
74
78
73
74
80
77
79
77
73
72
77
78
70
71
78
72
77
78
70
72
79
79
74
76
70
77
76
73
77
76
71
79
74
78
76
82
71
74
82
73
77
78
73
73
78
76
70
72
73
75
77
69
71
76
78
76
76
80
73
77
70
75
75
79
75
73
70
73
78
79
76
74
75
74
70
79
74
79
69
76
73
77
72
75
78
74
71
82
78
70
76
71
77
78
73
72
70
71
75
75
79
72
76
76
74
76
73
72
73
78
79
76
74
80
81
72
70
71
70
77
74
69
71
72
71
72
77
76
75
74
76
69
77
75
70
79
71
79
70
74
73
72
77
77
72
75
76
74
76
77
77
75
72
72
74
75
76
74
77
69
79
80
75
70
69
74
77
82
78
74
76
74
77
76
71
