team,rnk_avg,rnk_min,rnk_max,pts_avg,pts_min,pts_max
AFC Bournemouth,13.2,8,18,46.1,41,53
Arsenal,3.7,1,8,68.0,60,75
Aston Villa,20.0,19,20,20.5,16,28
Chelsea,10.0,5,16,50.8,44,59
Crystal Palace,14.4,9,19,43.9,39,51
Everton,12.0,7,18,47.1,41,53
Leicester City,1.1,1,3,78.9,73,85
Liverpool,6.9,3,12,58.9,51,66
Manchester City,3.5,1,8,68.5,60,75
Manchester United,5.5,2,9,63.1,56,71
Newcastle United,18.4,14,20,34.2,28,43
Norwich City,18.0,13,19,35.8,31,43
Southampton,7.7,3,12,56.4,51,63
Stoke City,9.8,5,16,51.6,47,59
Sunderland,17.5,11,19,36.7,30,45
Swansea City,14.4,8,19,44.2,40,52
Tottenham Hotspur,1.9,1,5,74.4,68,80
Watford,12.4,6,18,47.0,41,56
West Bromwich Albion,13.7,7,18,45.2,40,55
West Ham United,5.9,3,11,61.2,53,68
