 passes |   n    
--------+--------
      0 | 199719
      1 |   6909
      2 |   3886
      3 |   2743
      4 |   2171
      5 |   1623
      6 |   1097
      7 |    818
      8 |    636
      9 |    453
     10 |    330
     11 |    264
     12 |    203
     13 |    161
     14 |    152
     15 |    101
     16 |     57
     17 |     68
     18 |     48
     19 |     36
     20 |     24
     21 |     28
     22 |     12
     23 |     10
     24 |      2
     25 |     10
     26 |      8
     28 |      2
     29 |      6
     30 |      2
     31 |      4
     33 |      4
     34 |      4
     36 |      4
     37 |      2
(35 rows)

COPY 35
