rk,team,str,ofs,dfs,sos
1,Inter,0.89,0.53,-0.37,0.05
2,Juventus,0.80,0.41,-0.39,0.03
3,Atalanta,0.71,0.53,-0.17,0.04
4,Lazio,0.57,0.28,-0.28,0.05
5,Napoli,0.48,0.35,-0.13,0.05
6,Milan,0.44,0.30,-0.14,0.07
7,Roma,0.36,0.36,-0.01,0.06
8,Genoa,0.07,-0.02,-0.09,0.07
9,Sampdoria,0.06,0.07,0.01,0.08
10,Hellas Verona,0.05,-0.06,-0.11,0.07
11,Sassuolo,0.03,0.13,0.10,0.06
12,Spezia,-0.01,-0.01,0.01,0.10
13,Fiorentina,-0.04,-0.15,-0.10,0.09
14,Udinese,-0.06,-0.17,-0.10,0.08
15,Torino,-0.06,0.00,0.06,0.08
16,Bologna,-0.16,-0.12,0.04,0.08
17,Lecce,-0.34,0.01,0.35,0.09
18,Benevento,-0.49,-0.29,0.20,0.10
19,Brescia,-0.56,-0.24,0.32,0.10
20,Cagliari,-0.57,-0.48,0.09,0.12
21,Crotone,-0.60,-0.20,0.40,0.11
22,Parma,-0.62,-0.36,0.26,0.13
23,Spal,-0.75,-0.39,0.37,0.12
