Season,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2020,1,Fri,2019-08-09,20:45 (14:45),Monaco,0.8,0–3,0.8,Lyon,10000,Stade Louis II.,Ruddy Buquet,Match Report,
2020,1,Sat,2019-08-10,17:30 (11:30),Marseille,0.5,0–2,1.5,Reims,52887,Orange Vélodrome,Jérôme Brisard,Match Report,
2020,1,Sat,2019-08-10,20:00 (14:00),Brest,1.7,1–1,2.0,Toulouse,14238,Stade Francis-Le Blé,Olivier Thual,Match Report,
2020,1,Sat,2019-08-10,20:00 (14:00),Angers,1.4,3–1,1.0,Bordeaux,10749,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
2020,1,Sat,2019-08-10,20:00 (14:00),Dijon,2.1,1–2,1.3,Saint-Étienne,14334,Stade Gaston Gérard,Thomas Léonard,Match Report,
2020,1,Sat,2019-08-10,20:00 (14:00),Nice,1.7,2–1,0.9,Amiens,17719,Stade de Nice,Jérémie Pignard,Match Report,
2020,1,Sat,2019-08-10,20:00 (14:00),Montpellier,2.0,0–1,1.1,Rennes,15212,Stade de la Mosson,Willy Delajod,Match Report,
2020,1,Sun,2019-08-11,15:00 (09:00),Lille,1.5,2–1,0.7,Nantes,34494,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
2020,1,Sun,2019-08-11,17:00 (11:00),Strasbourg,1.3,1–1,0.7,Metz,25476,Stade de la Meinau,Antony Gautier,Match Report,
2020,1,Sun,2019-08-11,21:00 (15:00),Paris S-G,3.0,3–0,0.3,Nîmes,47151,Parc des Princes,Clément Turpin,Match Report,
2020,2,Fri,2019-08-16,20:45 (14:45),Lyon,1.3,6–0,0.3,Angers,49871,Groupama Stadium,Benoît Millot,Match Report,
2020,2,Sat,2019-08-17,17:30 (11:30),Nantes,0.6,0–0,1.1,Marseille,34832,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
2020,2,Sat,2019-08-17,20:00 (14:00),Metz,2.3,3–0,0.8,Monaco,19088,Stade Saint-Symphorien,Eric Wattellier,Match Report,
2020,2,Sat,2019-08-17,20:00 (14:00),Nîmes,1.2,1–2,1.6,Nice,13243,Stade des Costières,François Letexier,Match Report,
2020,2,Sat,2019-08-17,20:00 (14:00),Bordeaux,0.9,1–1,0.5,Montpellier,30192,Stade Matmut-Atlantique,Franck Schneider,Match Report,
2020,2,Sat,2019-08-17,20:00 (14:00),Toulouse,1.9,1–0,1.3,Dijon,10583,Stadium Municipal,Ruddy Buquet,Match Report,
2020,2,Sat,2019-08-17,20:00 (14:00),Amiens,1.3,1–0,0.2,Lille,12481,Stade de la Licorne,Karim Abed,Match Report,
2020,2,Sun,2019-08-18,15:00 (09:00),Saint-Étienne,1.7,1–1,0.5,Brest,28645,Stade Geoffroy-Guichard,Johan Hamel,Match Report,
2020,2,Sun,2019-08-18,17:00 (11:00),Reims,0.4,0–0,0.4,Strasbourg,13714,Stade Auguste-Delaune II,Florent Batta,Match Report,
2020,2,Sun,2019-08-18,21:00 (15:00),Rennes,0.8,2–1,0.7,Paris S-G,28596,Roazhon Park,Antony Gautier,Match Report,
2020,3,Sat,2019-08-24,20:00 (14:00),Angers,1.4,3–0,0.1,Metz,9001,Stade Raymond Kopa,Stéphanie Frappart,Match Report,
2020,3,Sat,2019-08-24,20:00 (14:00),Amiens,0.4,1–2,2.2,Nantes,11393,Stade de la Licorne,Jeremy Stinat,Match Report,
2020,3,Sat,2019-08-24,20:00 (14:00),Brest,0.6,1–0,0.8,Reims,13958,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Match Report,
2020,3,Sat,2019-08-24,20:00 (14:00),Dijon,0.5,0–2,0.7,Bordeaux,12471,Stade Gaston Gérard,François Letexier,Match Report,
2020,3,Sun,2019-08-25,15:00 (09:00),Monaco,3.0,2–2,1.3,Nîmes,7438,Stade Louis II.,Amaury Delerue,Match Report,
2020,3,Sun,2019-08-25,17:00 (11:00),Strasbourg,1.8,0–2,0.4,Rennes,24951,Stade de la Meinau,Ruddy Buquet,Match Report,
2020,3,Sun,2019-08-25,21:00 (15:00),Paris S-G,3.5,4–0,0.3,Toulouse,47325,Parc des Princes,Jérôme Brisard,Match Report,
2020,3,Tue,2019-08-27,19:00 (13:00),Montpellier,2.0,1–0,0.8,Lyon,19387,Stade de la Mosson,Mikael Lesage,Match Report,
2020,3,Wed,2019-08-28,19:00 (13:00),Lille,2.6,3–0,0.5,Saint-Étienne,36138,Stade Pierre-Mauroy,Olivier Thual,Match Report,
2020,3,Wed,2019-08-28,21:00 (15:00),Nice,1.5,1–2,1.6,Marseille,31825,Stade de Nice,Clément Turpin,Match Report,
2020,4,Fri,2019-08-30,20:45 (14:45),Metz,0.4,0–2,1.5,Paris S-G,20685,Stade Saint-Symphorien,Franck Schneider,Match Report,
2020,4,Sat,2019-08-31,17:30 (11:30),Lyon,0.8,1–1,1.1,Bordeaux,52327,Groupama Stadium,Antony Gautier,Match Report,
2020,4,Sat,2019-08-31,20:00 (14:00),Angers,1.0,2–0,0.7,Dijon,8988,Stade Raymond Kopa,Jérémie Pignard,Match Report,
2020,4,Sat,2019-08-31,20:00 (14:00),Toulouse,0.9,2–0,0.4,Amiens,10184,Stadium Municipal,Florent Batta,Match Report,
2020,4,Sat,2019-08-31,20:00 (14:00),Nîmes,2.2,3–0,1.1,Brest,12488,Stade des Costières,Thomas Léonard,Match Report,
